percentile,thresh_ly49C,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,3.0,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.995,2.8599999999999994,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.99,2.719999999999999,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.985,2.5799999999999983,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.98,2.4399999999999977,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.975,2.3000000000000007,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.97,2.16,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.965,2.0199999999999996,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.96,2.0,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.955,2.0,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.95,2.0,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.945,2.0,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.94,2.0,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.935,2.0,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.9299999999999999,2.0,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.925,2.0,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.92,2.0,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.915,2.0,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.91,2.0,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.905,2.0,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.9,2.0,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.895,2.0,17,100.0,3,3,3,0.0,0.0,0.0,0.0
0.89,1.9200000000000017,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.885,1.7800000000000011,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.88,1.6400000000000006,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.875,1.5,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.87,1.3599999999999994,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.865,1.2199999999999989,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.86,1.0799999999999983,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.855,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.85,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.845,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.84,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.835,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.83,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.825,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.8200000000000001,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.815,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.81,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.8049999999999999,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.8,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.7949999999999999,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.79,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.785,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.78,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.775,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.77,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.765,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.76,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.755,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.75,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.745,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.74,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.735,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.73,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.725,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.72,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.715,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.71,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.7050000000000001,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.7,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.6950000000000001,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.69,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.685,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.6799999999999999,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.675,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
