sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-B10BR_HTxB,1.0,24.0,0.0,0.0,31,301
BL6-B10BR_HTxB,1.0,24.0,1.0,0.0,31,301
BL6-B10BR_HTxB,1.0,24.0,2.0,0.0,31,301
BL6-B10BR_HTxB,1.0,24.0,5.0,0.0,31,301
BL6-B10BR_HTxB,0.995,6.659999999999968,0.0,-0.0014414529801335433,31,300
BL6-B10BR_HTxB,0.995,6.659999999999968,1.0,5.8405089183909085e-05,31,300
BL6-B10BR_HTxB,0.995,6.659999999999968,2.0,-7.784015631927221e-05,31,300
BL6-B10BR_HTxB,0.995,6.659999999999968,5.0,-0.00039407770367556747,31,300
BL6-B10BR_HTxB,0.99,3.0,0.0,-0.004019078160020136,31,299
BL6-B10BR_HTxB,0.99,3.0,1.0,-0.0005316553314816773,31,299
BL6-B10BR_HTxB,0.99,3.0,2.0,-5.060207227297071e-05,31,299
BL6-B10BR_HTxB,0.99,3.0,5.0,-0.0003269462263848804,31,299
BL6-B10BR_HTxB,0.985,3.0,0.0,-0.004019078160020136,31,299
BL6-B10BR_HTxB,0.985,3.0,1.0,-0.0005316553314816773,31,299
BL6-B10BR_HTxB,0.985,3.0,2.0,-5.060207227297071e-05,31,299
BL6-B10BR_HTxB,0.985,3.0,5.0,-0.0003269462263848804,31,299
BL6-B10BR_HTxB,0.98,2.519999999999982,0.0,-0.00805939648463098,31,295
BL6-B10BR_HTxB,0.98,2.519999999999982,1.0,0.00502424318721207,31,295
BL6-B10BR_HTxB,0.98,2.519999999999982,2.0,0.006646406641291125,31,295
BL6-B10BR_HTxB,0.98,2.519999999999982,5.0,0.005746141249644456,31,295
BL6-B10BR_HTxB,0.975,2.0,0.0,-0.00805939648463098,31,295
BL6-B10BR_HTxB,0.975,2.0,1.0,0.00502424318721207,31,295
BL6-B10BR_HTxB,0.975,2.0,2.0,0.006646406641291125,31,295
BL6-B10BR_HTxB,0.975,2.0,5.0,0.005746141249644456,31,295
BL6-B10BR_HTxB,0.97,2.0,0.0,-0.00805939648463098,31,295
BL6-B10BR_HTxB,0.97,2.0,1.0,0.00502424318721207,31,295
BL6-B10BR_HTxB,0.97,2.0,2.0,0.006646406641291125,31,295
BL6-B10BR_HTxB,0.97,2.0,5.0,0.005746141249644456,31,295
BL6-B10BR_HTxB,0.965,2.0,0.0,-0.00805939648463098,31,295
BL6-B10BR_HTxB,0.965,2.0,1.0,0.00502424318721207,31,295
BL6-B10BR_HTxB,0.965,2.0,2.0,0.006646406641291125,31,295
BL6-B10BR_HTxB,0.965,2.0,5.0,0.005746141249644456,31,295
BL6-B10BR_HTxB,0.96,2.0,0.0,-0.00805939648463098,31,295
BL6-B10BR_HTxB,0.96,2.0,1.0,0.00502424318721207,31,295
BL6-B10BR_HTxB,0.96,2.0,2.0,0.006646406641291125,31,295
BL6-B10BR_HTxB,0.96,2.0,5.0,0.005746141249644456,31,295
BL6-B10BR_HTxB,0.955,2.0,0.0,-0.00805939648463098,31,295
BL6-B10BR_HTxB,0.955,2.0,1.0,0.00502424318721207,31,295
BL6-B10BR_HTxB,0.955,2.0,2.0,0.006646406641291125,31,295
BL6-B10BR_HTxB,0.955,2.0,5.0,0.005746141249644456,31,295
BL6-B10BR_HTxB,0.95,2.0,0.0,-0.00805939648463098,31,295
BL6-B10BR_HTxB,0.95,2.0,1.0,0.00502424318721207,31,295
BL6-B10BR_HTxB,0.95,2.0,2.0,0.006646406641291125,31,295
BL6-B10BR_HTxB,0.95,2.0,5.0,0.005746141249644456,31,295
BL6-B10BR_HTxB,0.945,2.0,0.0,-0.00805939648463098,31,295
BL6-B10BR_HTxB,0.945,2.0,1.0,0.00502424318721207,31,295
BL6-B10BR_HTxB,0.945,2.0,2.0,0.006646406641291125,31,295
BL6-B10BR_HTxB,0.945,2.0,5.0,0.005746141249644456,31,295
BL6-B10BR_HTxB,0.94,2.0,0.0,-0.00805939648463098,31,295
BL6-B10BR_HTxB,0.94,2.0,1.0,0.00502424318721207,31,295
BL6-B10BR_HTxB,0.94,2.0,2.0,0.006646406641291125,31,295
BL6-B10BR_HTxB,0.94,2.0,5.0,0.005746141249644456,31,295
BL6-B10BR_HTxB,0.935,2.0,0.0,-0.00805939648463098,31,295
BL6-B10BR_HTxB,0.935,2.0,1.0,0.00502424318721207,31,295
BL6-B10BR_HTxB,0.935,2.0,2.0,0.006646406641291125,31,295
BL6-B10BR_HTxB,0.935,2.0,5.0,0.005746141249644456,31,295
BL6-B10BR_HTxB,0.9299999999999999,2.0,0.0,-0.00805939648463098,31,295
BL6-B10BR_HTxB,0.9299999999999999,2.0,1.0,0.00502424318721207,31,295
BL6-B10BR_HTxB,0.9299999999999999,2.0,2.0,0.006646406641291125,31,295
BL6-B10BR_HTxB,0.9299999999999999,2.0,5.0,0.005746141249644456,31,295
BL6-B10BR_HTxB,0.925,2.0,0.0,-0.00805939648463098,31,295
BL6-B10BR_HTxB,0.925,2.0,1.0,0.00502424318721207,31,295
BL6-B10BR_HTxB,0.925,2.0,2.0,0.006646406641291125,31,295
BL6-B10BR_HTxB,0.925,2.0,5.0,0.005746141249644456,31,295
BL6-B10BR_HTxB,0.92,2.0,0.0,-0.00805939648463098,31,295
BL6-B10BR_HTxB,0.92,2.0,1.0,0.00502424318721207,31,295
BL6-B10BR_HTxB,0.92,2.0,2.0,0.006646406641291125,31,295
BL6-B10BR_HTxB,0.92,2.0,5.0,0.005746141249644456,31,295
BL6-B10BR_HTxB,0.915,2.0,0.0,-0.00805939648463098,31,295
BL6-B10BR_HTxB,0.915,2.0,1.0,0.00502424318721207,31,295
BL6-B10BR_HTxB,0.915,2.0,2.0,0.006646406641291125,31,295
BL6-B10BR_HTxB,0.915,2.0,5.0,0.005746141249644456,31,295
BL6-B10BR_HTxB,0.91,2.0,0.0,-0.00805939648463098,31,295
BL6-B10BR_HTxB,0.91,2.0,1.0,0.00502424318721207,31,295
BL6-B10BR_HTxB,0.91,2.0,2.0,0.006646406641291125,31,295
BL6-B10BR_HTxB,0.91,2.0,5.0,0.005746141249644456,31,295
BL6-B10BR_HTxB,0.905,1.2200000000000273,0.0,-0.025891694653162718,28,274
BL6-B10BR_HTxB,0.905,1.2200000000000273,1.0,-0.01216638206340421,28,274
BL6-B10BR_HTxB,0.905,1.2200000000000273,2.0,-0.006273025554746973,28,274
BL6-B10BR_HTxB,0.905,1.2200000000000273,5.0,-0.004056053933649148,28,274
BL6-B10BR_HTxB,0.9,1.0,0.0,-0.025891694653162718,28,274
BL6-B10BR_HTxB,0.9,1.0,1.0,-0.01216638206340421,28,274
BL6-B10BR_HTxB,0.9,1.0,2.0,-0.006273025554746973,28,274
BL6-B10BR_HTxB,0.9,1.0,5.0,-0.004056053933649148,28,274
BL6-B10BR_HTxB,0.895,1.0,0.0,-0.025891694653162718,28,274
BL6-B10BR_HTxB,0.895,1.0,1.0,-0.01216638206340421,28,274
BL6-B10BR_HTxB,0.895,1.0,2.0,-0.006273025554746973,28,274
BL6-B10BR_HTxB,0.895,1.0,5.0,-0.004056053933649148,28,274
BL6-B10BR_HTxB,0.89,1.0,0.0,-0.025891694653162718,28,274
BL6-B10BR_HTxB,0.89,1.0,1.0,-0.01216638206340421,28,274
BL6-B10BR_HTxB,0.89,1.0,2.0,-0.006273025554746973,28,274
BL6-B10BR_HTxB,0.89,1.0,5.0,-0.004056053933649148,28,274
BL6-B10BR_HTxB,0.885,1.0,0.0,-0.025891694653162718,28,274
BL6-B10BR_HTxB,0.885,1.0,1.0,-0.01216638206340421,28,274
BL6-B10BR_HTxB,0.885,1.0,2.0,-0.006273025554746973,28,274
BL6-B10BR_HTxB,0.885,1.0,5.0,-0.004056053933649148,28,274
BL6-B10BR_HTxB,0.88,1.0,0.0,-0.025891694653162718,28,274
BL6-B10BR_HTxB,0.88,1.0,1.0,-0.01216638206340421,28,274
BL6-B10BR_HTxB,0.88,1.0,2.0,-0.006273025554746973,28,274
BL6-B10BR_HTxB,0.88,1.0,5.0,-0.004056053933649148,28,274
BL6-B10BR_HTxB,0.875,1.0,0.0,-0.025891694653162718,28,274
BL6-B10BR_HTxB,0.875,1.0,1.0,-0.01216638206340421,28,274
BL6-B10BR_HTxB,0.875,1.0,2.0,-0.006273025554746973,28,274
BL6-B10BR_HTxB,0.875,1.0,5.0,-0.004056053933649148,28,274
