sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-B10BR_HTxC,1.0,53.0,0.0,0.0,43,841
BL6-B10BR_HTxC,1.0,53.0,1.0,0.0,43,841
BL6-B10BR_HTxC,1.0,53.0,2.0,0.0,43,841
BL6-B10BR_HTxC,1.0,53.0,5.0,0.0,43,841
BL6-B10BR_HTxC,0.995,5.0,0.0,-0.0011781527031264273,43,838
BL6-B10BR_HTxC,0.995,5.0,1.0,-0.0009037317460328459,43,838
BL6-B10BR_HTxC,0.995,5.0,2.0,-0.0006619228611165974,43,838
BL6-B10BR_HTxC,0.995,5.0,5.0,-0.0004031526362120943,43,838
BL6-B10BR_HTxC,0.99,4.0,0.0,-0.0015070280384944796,43,836
BL6-B10BR_HTxC,0.99,4.0,1.0,-0.0010860749156619831,43,836
BL6-B10BR_HTxC,0.99,4.0,2.0,-0.0007833165113343718,43,836
BL6-B10BR_HTxC,0.99,4.0,5.0,-0.00048464148572296067,43,836
BL6-B10BR_HTxC,0.985,3.0,0.0,-0.0038540106160848777,43,831
BL6-B10BR_HTxC,0.985,3.0,1.0,-0.0030034643423698854,43,831
BL6-B10BR_HTxC,0.985,3.0,2.0,-0.0021351035910372102,43,831
BL6-B10BR_HTxC,0.985,3.0,5.0,-0.0016246334982846326,43,831
BL6-B10BR_HTxC,0.98,3.0,0.0,-0.0038540106160848777,43,831
BL6-B10BR_HTxC,0.98,3.0,1.0,-0.0030034643423698854,43,831
BL6-B10BR_HTxC,0.98,3.0,2.0,-0.0021351035910372102,43,831
BL6-B10BR_HTxC,0.98,3.0,5.0,-0.0016246334982846326,43,831
BL6-B10BR_HTxC,0.975,3.0,0.0,-0.0038540106160848777,43,831
BL6-B10BR_HTxC,0.975,3.0,1.0,-0.0030034643423698854,43,831
BL6-B10BR_HTxC,0.975,3.0,2.0,-0.0021351035910372102,43,831
BL6-B10BR_HTxC,0.975,3.0,5.0,-0.0016246334982846326,43,831
BL6-B10BR_HTxC,0.97,2.0,0.0,-0.00941236930890487,43,817
BL6-B10BR_HTxC,0.97,2.0,1.0,-0.006853163002691021,43,817
BL6-B10BR_HTxC,0.97,2.0,2.0,-0.005713086051205404,43,817
BL6-B10BR_HTxC,0.97,2.0,5.0,-0.004874345117130443,43,817
BL6-B10BR_HTxC,0.965,2.0,0.0,-0.00941236930890487,43,817
BL6-B10BR_HTxC,0.965,2.0,1.0,-0.006853163002691021,43,817
BL6-B10BR_HTxC,0.965,2.0,2.0,-0.005713086051205404,43,817
BL6-B10BR_HTxC,0.965,2.0,5.0,-0.004874345117130443,43,817
BL6-B10BR_HTxC,0.96,2.0,0.0,-0.00941236930890487,43,817
BL6-B10BR_HTxC,0.96,2.0,1.0,-0.006853163002691021,43,817
BL6-B10BR_HTxC,0.96,2.0,2.0,-0.005713086051205404,43,817
BL6-B10BR_HTxC,0.96,2.0,5.0,-0.004874345117130443,43,817
BL6-B10BR_HTxC,0.955,2.0,0.0,-0.00941236930890487,43,817
BL6-B10BR_HTxC,0.955,2.0,1.0,-0.006853163002691021,43,817
BL6-B10BR_HTxC,0.955,2.0,2.0,-0.005713086051205404,43,817
BL6-B10BR_HTxC,0.955,2.0,5.0,-0.004874345117130443,43,817
BL6-B10BR_HTxC,0.95,2.0,0.0,-0.00941236930890487,43,817
BL6-B10BR_HTxC,0.95,2.0,1.0,-0.006853163002691021,43,817
BL6-B10BR_HTxC,0.95,2.0,2.0,-0.005713086051205404,43,817
BL6-B10BR_HTxC,0.95,2.0,5.0,-0.004874345117130443,43,817
BL6-B10BR_HTxC,0.945,2.0,0.0,-0.00941236930890487,43,817
BL6-B10BR_HTxC,0.945,2.0,1.0,-0.006853163002691021,43,817
BL6-B10BR_HTxC,0.945,2.0,2.0,-0.005713086051205404,43,817
BL6-B10BR_HTxC,0.945,2.0,5.0,-0.004874345117130443,43,817
BL6-B10BR_HTxC,0.94,2.0,0.0,-0.00941236930890487,43,817
BL6-B10BR_HTxC,0.94,2.0,1.0,-0.006853163002691021,43,817
BL6-B10BR_HTxC,0.94,2.0,2.0,-0.005713086051205404,43,817
BL6-B10BR_HTxC,0.94,2.0,5.0,-0.004874345117130443,43,817
BL6-B10BR_HTxC,0.935,2.0,0.0,-0.00941236930890487,43,817
BL6-B10BR_HTxC,0.935,2.0,1.0,-0.006853163002691021,43,817
BL6-B10BR_HTxC,0.935,2.0,2.0,-0.005713086051205404,43,817
BL6-B10BR_HTxC,0.935,2.0,5.0,-0.004874345117130443,43,817
BL6-B10BR_HTxC,0.9299999999999999,2.0,0.0,-0.00941236930890487,43,817
BL6-B10BR_HTxC,0.9299999999999999,2.0,1.0,-0.006853163002691021,43,817
BL6-B10BR_HTxC,0.9299999999999999,2.0,2.0,-0.005713086051205404,43,817
BL6-B10BR_HTxC,0.9299999999999999,2.0,5.0,-0.004874345117130443,43,817
BL6-B10BR_HTxC,0.925,2.0,0.0,-0.00941236930890487,43,817
BL6-B10BR_HTxC,0.925,2.0,1.0,-0.006853163002691021,43,817
BL6-B10BR_HTxC,0.925,2.0,2.0,-0.005713086051205404,43,817
BL6-B10BR_HTxC,0.925,2.0,5.0,-0.004874345117130443,43,817
BL6-B10BR_HTxC,0.92,1.0,0.0,-0.019515952489983265,43,778
BL6-B10BR_HTxC,0.92,1.0,1.0,-0.0103981986524552,43,778
BL6-B10BR_HTxC,0.92,1.0,2.0,-0.0071866877025236675,43,778
BL6-B10BR_HTxC,0.92,1.0,5.0,-0.0058602733806131105,43,778
BL6-B10BR_HTxC,0.915,1.0,0.0,-0.019515952489983265,43,778
BL6-B10BR_HTxC,0.915,1.0,1.0,-0.0103981986524552,43,778
BL6-B10BR_HTxC,0.915,1.0,2.0,-0.0071866877025236675,43,778
BL6-B10BR_HTxC,0.915,1.0,5.0,-0.0058602733806131105,43,778
BL6-B10BR_HTxC,0.91,1.0,0.0,-0.019515952489983265,43,778
BL6-B10BR_HTxC,0.91,1.0,1.0,-0.0103981986524552,43,778
BL6-B10BR_HTxC,0.91,1.0,2.0,-0.0071866877025236675,43,778
BL6-B10BR_HTxC,0.91,1.0,5.0,-0.0058602733806131105,43,778
BL6-B10BR_HTxC,0.905,1.0,0.0,-0.019515952489983265,43,778
BL6-B10BR_HTxC,0.905,1.0,1.0,-0.0103981986524552,43,778
BL6-B10BR_HTxC,0.905,1.0,2.0,-0.0071866877025236675,43,778
BL6-B10BR_HTxC,0.905,1.0,5.0,-0.0058602733806131105,43,778
BL6-B10BR_HTxC,0.9,1.0,0.0,-0.019515952489983265,43,778
BL6-B10BR_HTxC,0.9,1.0,1.0,-0.0103981986524552,43,778
BL6-B10BR_HTxC,0.9,1.0,2.0,-0.0071866877025236675,43,778
BL6-B10BR_HTxC,0.9,1.0,5.0,-0.0058602733806131105,43,778
BL6-B10BR_HTxC,0.895,1.0,0.0,-0.019515952489983265,43,778
BL6-B10BR_HTxC,0.895,1.0,1.0,-0.0103981986524552,43,778
BL6-B10BR_HTxC,0.895,1.0,2.0,-0.0071866877025236675,43,778
BL6-B10BR_HTxC,0.895,1.0,5.0,-0.0058602733806131105,43,778
BL6-B10BR_HTxC,0.89,1.0,0.0,-0.019515952489983265,43,778
BL6-B10BR_HTxC,0.89,1.0,1.0,-0.0103981986524552,43,778
BL6-B10BR_HTxC,0.89,1.0,2.0,-0.0071866877025236675,43,778
BL6-B10BR_HTxC,0.89,1.0,5.0,-0.0058602733806131105,43,778
BL6-B10BR_HTxC,0.885,1.0,0.0,-0.019515952489983265,43,778
BL6-B10BR_HTxC,0.885,1.0,1.0,-0.0103981986524552,43,778
BL6-B10BR_HTxC,0.885,1.0,2.0,-0.0071866877025236675,43,778
BL6-B10BR_HTxC,0.885,1.0,5.0,-0.0058602733806131105,43,778
