sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-B10BR_HTxA,1.0,58.0,0.0,0.0,15,243
BL6-B10BR_HTxA,1.0,58.0,1.0,0.0,15,243
BL6-B10BR_HTxA,1.0,58.0,2.0,0.0,15,243
BL6-B10BR_HTxA,1.0,58.0,5.0,0.0,15,243
BL6-B10BR_HTxA,0.995,8.779999999999973,0.0,0.0,15,243
BL6-B10BR_HTxA,0.995,8.779999999999973,1.0,0.0,15,243
BL6-B10BR_HTxA,0.995,8.779999999999973,2.0,0.0,15,243
BL6-B10BR_HTxA,0.995,8.779999999999973,5.0,0.0,15,243
BL6-B10BR_HTxA,0.99,4.889999999999986,0.0,0.0,15,243
BL6-B10BR_HTxA,0.99,4.889999999999986,1.0,0.0,15,243
BL6-B10BR_HTxA,0.99,4.889999999999986,2.0,0.0,15,243
BL6-B10BR_HTxA,0.99,4.889999999999986,5.0,0.0,15,243
BL6-B10BR_HTxA,0.985,4.0,0.0,0.0,15,243
BL6-B10BR_HTxA,0.985,4.0,1.0,0.0,15,243
BL6-B10BR_HTxA,0.985,4.0,2.0,0.0,15,243
BL6-B10BR_HTxA,0.985,4.0,5.0,0.0,15,243
BL6-B10BR_HTxA,0.98,3.0,0.0,-0.003255548908152524,15,242
BL6-B10BR_HTxA,0.98,3.0,1.0,-0.0009904653557001172,15,242
BL6-B10BR_HTxA,0.98,3.0,2.0,-0.0003319051939112749,15,242
BL6-B10BR_HTxA,0.98,3.0,5.0,-0.00020303604264806005,15,242
BL6-B10BR_HTxA,0.975,3.0,0.0,-0.003255548908152524,15,242
BL6-B10BR_HTxA,0.975,3.0,1.0,-0.0009904653557001172,15,242
BL6-B10BR_HTxA,0.975,3.0,2.0,-0.0003319051939112749,15,242
BL6-B10BR_HTxA,0.975,3.0,5.0,-0.00020303604264806005,15,242
BL6-B10BR_HTxA,0.97,3.0,0.0,-0.003255548908152524,15,242
BL6-B10BR_HTxA,0.97,3.0,1.0,-0.0009904653557001172,15,242
BL6-B10BR_HTxA,0.97,3.0,2.0,-0.0003319051939112749,15,242
BL6-B10BR_HTxA,0.97,3.0,5.0,-0.00020303604264806005,15,242
BL6-B10BR_HTxA,0.965,3.0,0.0,-0.003255548908152524,15,242
