sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-B10BR_HTxC,1.0,55.0,0.0,0.0,204,6979
BL6-B10BR_HTxC,1.0,55.0,1.0,0.0,204,6979
BL6-B10BR_HTxC,1.0,55.0,2.0,0.0,204,6979
BL6-B10BR_HTxC,1.0,55.0,5.0,0.0,204,6979
BL6-B10BR_HTxC,0.995,4.0,0.0,-0.0011422674280599826,204,6955
BL6-B10BR_HTxC,0.995,4.0,1.0,-0.0005326312528084802,204,6955
BL6-B10BR_HTxC,0.995,4.0,2.0,-0.00032161978939955217,204,6955
BL6-B10BR_HTxC,0.995,4.0,5.0,-0.00022407046114590384,204,6955
BL6-B10BR_HTxC,0.99,3.0,0.0,-0.00324895378993085,203,6934
BL6-B10BR_HTxC,0.99,3.0,1.0,-0.0024901300108185333,203,6934
BL6-B10BR_HTxC,0.99,3.0,2.0,-0.002006166916861002,203,6934
BL6-B10BR_HTxC,0.99,3.0,5.0,-0.001598575464814817,203,6934
BL6-B10BR_HTxC,0.985,3.0,0.0,-0.00324895378993085,203,6934
BL6-B10BR_HTxC,0.985,3.0,1.0,-0.0024901300108185333,203,6934
BL6-B10BR_HTxC,0.985,3.0,2.0,-0.002006166916861002,203,6934
BL6-B10BR_HTxC,0.985,3.0,5.0,-0.001598575464814817,203,6934
BL6-B10BR_HTxC,0.98,2.0,0.0,-0.004575522753736868,203,6857
BL6-B10BR_HTxC,0.98,2.0,1.0,-0.003746561698709574,203,6857
BL6-B10BR_HTxC,0.98,2.0,2.0,-0.003316092338624663,203,6857
BL6-B10BR_HTxC,0.98,2.0,5.0,-0.0027158475877141343,203,6857
BL6-B10BR_HTxC,0.975,2.0,0.0,-0.004575522753736868,203,6857
BL6-B10BR_HTxC,0.975,2.0,1.0,-0.003746561698709574,203,6857
BL6-B10BR_HTxC,0.975,2.0,2.0,-0.003316092338624663,203,6857
BL6-B10BR_HTxC,0.975,2.0,5.0,-0.0027158475877141343,203,6857
BL6-B10BR_HTxC,0.97,2.0,0.0,-0.004575522753736868,203,6857
BL6-B10BR_HTxC,0.97,2.0,1.0,-0.003746561698709574,203,6857
BL6-B10BR_HTxC,0.97,2.0,2.0,-0.003316092338624663,203,6857
BL6-B10BR_HTxC,0.97,2.0,5.0,-0.0027158475877141343,203,6857
BL6-B10BR_HTxC,0.965,2.0,0.0,-0.004575522753736868,203,6857
