percentile,thresh_ly49C,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_ge5,n_common_clonotypes_ge5,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,60.0,277,100.0,40,40,40,0.0,0.0,0.0,0.0
0.995,5.6200000000000045,275,99.27797833935018,40,40,40,0.0,0.0,0.003627563204381029,0.00021522523259479565
0.99,4.240000000000009,274,98.91696750902527,40,40,40,0.0,0.0,0.002730835747678362,0.00020947007390900442
0.985,3.8600000000000136,272,98.19494584837545,40,40,40,0.0,0.0,0.002146981265867659,0.00048603184813743593
0.98,3.0,272,98.19494584837545,40,40,40,0.0,0.0,0.002146981265867659,0.00048603184813743593
0.975,3.0,272,98.19494584837545,40,40,40,0.0,0.0,0.002146981265867659,0.00048603184813743593
0.97,3.0,272,98.19494584837545,40,40,40,0.0,0.0,0.002146981265867659,0.00048603184813743593
0.965,3.0,272,98.19494584837545,40,40,40,0.0,0.0,0.002146981265867659,0.00048603184813743593
0.96,2.9599999999999795,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.955,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.95,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.945,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.94,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.935,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.9299999999999999,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.925,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.92,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.915,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.91,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.905,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.9,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.895,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.89,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.885,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.88,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.875,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.87,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.865,2.0,265,95.66787003610108,40,40,40,0.0,0.0,0.00020314484756910888,-0.00253409256693983
0.86,1.3599999999999852,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.855,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.85,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.845,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.84,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.835,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.83,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.825,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.8200000000000001,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.815,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.81,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.8049999999999999,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.8,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.7949999999999999,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.79,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.785,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.78,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.775,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.77,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.765,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.76,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.755,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.75,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.745,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.74,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.735,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.73,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.725,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.72,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.715,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.71,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.7050000000000001,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.7,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.6950000000000001,1.0,238,85.92057761732852,40,40,40,0.00017213671516780327,0.05165918738180594,0.010162319177959771,0.001385887616635742
0.69,0.4399999999999977,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.685,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.6799999999999999,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.675,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.6699999999999999,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.665,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.6599999999999999,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.655,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.6499999999999999,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.645,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.64,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.635,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.63,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.625,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.62,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.615,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.61,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
