sample,percentile,Ts_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-BALBc_HTxB,1.0,16.0,0.0,0.0,140,3911
BL6-BALBc_HTxB,1.0,16.0,1.0,0.0,140,3911
BL6-BALBc_HTxB,1.0,16.0,2.0,0.0,140,3911
BL6-BALBc_HTxB,1.0,16.0,3.0,0.0,140,3911
BL6-BALBc_HTxB,1.0,16.0,4.0,0.0,140,3911
BL6-BALBc_HTxB,1.0,16.0,5.0,0.0,140,3911
BL6-BALBc_HTxB,0.99,6.0,0.0,-0.0013455671257635929,139,3878
BL6-BALBc_HTxB,0.99,6.0,1.0,-0.0023478130716210414,139,3878
BL6-BALBc_HTxB,0.99,6.0,2.0,-0.001948599592085448,139,3878
BL6-BALBc_HTxB,0.99,6.0,3.0,-0.0016694478647481074,139,3878
BL6-BALBc_HTxB,0.99,6.0,4.0,-0.001545744202497105,139,3878
BL6-BALBc_HTxB,0.99,6.0,5.0,-0.0014856782170741196,139,3878
BL6-BALBc_HTxB,0.98,5.0,0.0,-0.002294480916216045,139,3856
BL6-BALBc_HTxB,0.98,5.0,1.0,-0.002642693143969917,139,3856
BL6-BALBc_HTxB,0.98,5.0,2.0,-0.0020158543964950894,139,3856
BL6-BALBc_HTxB,0.98,5.0,3.0,-0.001701685917713453,139,3856
BL6-BALBc_HTxB,0.98,5.0,4.0,-0.0015674266452507877,139,3856
BL6-BALBc_HTxB,0.98,5.0,5.0,-0.0015000842281156085,139,3856
BL6-BALBc_HTxB,0.97,4.0,0.0,-0.0042810738780326265,137,3814
BL6-BALBc_HTxB,0.97,4.0,1.0,-0.005029222016270956,137,3814
BL6-BALBc_HTxB,0.97,4.0,2.0,-0.0036365870707355313,137,3814
BL6-BALBc_HTxB,0.97,4.0,3.0,-0.002965958153605916,137,3814
BL6-BALBc_HTxB,0.97,4.0,4.0,-0.002683848947021832,137,3814
BL6-BALBc_HTxB,0.97,4.0,5.0,-0.002541160779104055,137,3814
BL6-BALBc_HTxB,0.96,4.0,0.0,-0.0042810738780326265,137,3814
BL6-BALBc_HTxB,0.96,4.0,1.0,-0.005029222016270956,137,3814
BL6-BALBc_HTxB,0.96,4.0,2.0,-0.0036365870707355313,137,3814
BL6-BALBc_HTxB,0.96,4.0,3.0,-0.002965958153605916,137,3814
BL6-BALBc_HTxB,0.96,4.0,4.0,-0.002683848947021832,137,3814
BL6-BALBc_HTxB,0.96,4.0,5.0,-0.002541160779104055,137,3814
BL6-BALBc_HTxB,0.95,3.0,0.0,-0.005607147876355052,134,3746
BL6-BALBc_HTxB,0.95,3.0,1.0,-0.007275076868349707,134,3746
BL6-BALBc_HTxB,0.95,3.0,2.0,-0.004973474664074797,134,3746
BL6-BALBc_HTxB,0.95,3.0,3.0,-0.0038817781220670936,134,3746
BL6-BALBc_HTxB,0.95,3.0,4.0,-0.00345100685915748,134,3746
BL6-BALBc_HTxB,0.95,3.0,5.0,-0.0032553716691205484,134,3746
BL6-BALBc_HTxB,0.94,3.0,0.0,-0.005607147876355052,134,3746
BL6-BALBc_HTxB,0.94,3.0,1.0,-0.007275076868349707,134,3746
BL6-BALBc_HTxB,0.94,3.0,2.0,-0.004973474664074797,134,3746
BL6-BALBc_HTxB,0.94,3.0,3.0,-0.0038817781220670936,134,3746
BL6-BALBc_HTxB,0.94,3.0,4.0,-0.00345100685915748,134,3746
BL6-BALBc_HTxB,0.94,3.0,5.0,-0.0032553716691205484,134,3746
BL6-BALBc_HTxB,0.9299999999999999,3.0,0.0,-0.005607147876355052,134,3746
BL6-BALBc_HTxB,0.9299999999999999,3.0,1.0,-0.007275076868349707,134,3746
BL6-BALBc_HTxB,0.9299999999999999,3.0,2.0,-0.004973474664074797,134,3746
BL6-BALBc_HTxB,0.9299999999999999,3.0,3.0,-0.0038817781220670936,134,3746
BL6-BALBc_HTxB,0.9299999999999999,3.0,4.0,-0.00345100685915748,134,3746
BL6-BALBc_HTxB,0.9299999999999999,3.0,5.0,-0.0032553716691205484,134,3746
BL6-BALBc_HTxB,0.92,2.0,0.0,-0.009594312031339605,128,3599
BL6-BALBc_HTxB,0.92,2.0,1.0,-0.009965323534194276,128,3599
BL6-BALBc_HTxB,0.92,2.0,2.0,-0.005493420888515697,128,3599
BL6-BALBc_HTxB,0.92,2.0,3.0,-0.003913385404610758,128,3599
BL6-BALBc_HTxB,0.92,2.0,4.0,-0.003368664435779693,128,3599
BL6-BALBc_HTxB,0.92,2.0,5.0,-0.00313057697322605,128,3599
BL6-BALBc_HTxB,0.91,2.0,0.0,-0.009594312031339605,128,3599
BL6-BALBc_HTxB,0.91,2.0,1.0,-0.009965323534194276,128,3599
BL6-BALBc_HTxB,0.91,2.0,2.0,-0.005493420888515697,128,3599
BL6-BALBc_HTxB,0.91,2.0,3.0,-0.003913385404610758,128,3599
BL6-BALBc_HTxB,0.91,2.0,4.0,-0.003368664435779693,128,3599
BL6-BALBc_HTxB,0.91,2.0,5.0,-0.00313057697322605,128,3599
BL6-BALBc_HTxB,0.9,2.0,0.0,-0.009594312031339605,128,3599
BL6-BALBc_HTxB,0.9,2.0,1.0,-0.009965323534194276,128,3599
BL6-BALBc_HTxB,0.9,2.0,2.0,-0.005493420888515697,128,3599
BL6-BALBc_HTxB,0.9,2.0,3.0,-0.003913385404610758,128,3599
BL6-BALBc_HTxB,0.9,2.0,4.0,-0.003368664435779693,128,3599
BL6-BALBc_HTxB,0.9,2.0,5.0,-0.00313057697322605,128,3599
BL6-BALBc_HTxB,0.89,2.0,0.0,-0.009594312031339605,128,3599
BL6-BALBc_HTxB,0.89,2.0,1.0,-0.009965323534194276,128,3599
BL6-BALBc_HTxB,0.89,2.0,2.0,-0.005493420888515697,128,3599
BL6-BALBc_HTxB,0.89,2.0,3.0,-0.003913385404610758,128,3599
BL6-BALBc_HTxB,0.89,2.0,4.0,-0.003368664435779693,128,3599
BL6-BALBc_HTxB,0.89,2.0,5.0,-0.00313057697322605,128,3599
BL6-BALBc_HTxB,0.88,2.0,0.0,-0.009594312031339605,128,3599
BL6-BALBc_HTxB,0.88,2.0,1.0,-0.009965323534194276,128,3599
BL6-BALBc_HTxB,0.88,2.0,2.0,-0.005493420888515697,128,3599
BL6-BALBc_HTxB,0.88,2.0,3.0,-0.003913385404610758,128,3599
BL6-BALBc_HTxB,0.88,2.0,4.0,-0.003368664435779693,128,3599
BL6-BALBc_HTxB,0.88,2.0,5.0,-0.00313057697322605,128,3599
BL6-BALBc_HTxB,0.87,2.0,0.0,-0.009594312031339605,128,3599
BL6-BALBc_HTxB,0.87,2.0,1.0,-0.009965323534194276,128,3599
BL6-BALBc_HTxB,0.87,2.0,2.0,-0.005493420888515697,128,3599
BL6-BALBc_HTxB,0.87,2.0,3.0,-0.003913385404610758,128,3599
BL6-BALBc_HTxB,0.87,2.0,4.0,-0.003368664435779693,128,3599
BL6-BALBc_HTxB,0.87,2.0,5.0,-0.00313057697322605,128,3599
BL6-BALBc_HTxB,0.86,2.0,0.0,-0.009594312031339605,128,3599
BL6-BALBc_HTxB,0.86,2.0,1.0,-0.009965323534194276,128,3599
BL6-BALBc_HTxB,0.86,2.0,2.0,-0.005493420888515697,128,3599
BL6-BALBc_HTxB,0.86,2.0,3.0,-0.003913385404610758,128,3599
BL6-BALBc_HTxB,0.86,2.0,4.0,-0.003368664435779693,128,3599
BL6-BALBc_HTxB,0.86,2.0,5.0,-0.00313057697322605,128,3599
BL6-BALBc_HTxB,0.85,2.0,0.0,-0.009594312031339605,128,3599
BL6-BALBc_HTxB,0.85,2.0,1.0,-0.009965323534194276,128,3599
BL6-BALBc_HTxB,0.85,2.0,2.0,-0.005493420888515697,128,3599
BL6-BALBc_HTxB,0.85,2.0,3.0,-0.003913385404610758,128,3599
BL6-BALBc_HTxB,0.85,2.0,4.0,-0.003368664435779693,128,3599
BL6-BALBc_HTxB,0.85,2.0,5.0,-0.00313057697322605,128,3599
BL6-BALBc_HTxB,0.84,1.0,0.0,-0.02048773050254385,116,3317
BL6-BALBc_HTxB,0.84,1.0,1.0,-0.016341443955777676,116,3317
BL6-BALBc_HTxB,0.84,1.0,2.0,-0.011617599400282319,116,3317
BL6-BALBc_HTxB,0.84,1.0,3.0,-0.009772827778437259,116,3317
BL6-BALBc_HTxB,0.84,1.0,4.0,-0.00889223894396455,116,3317
BL6-BALBc_HTxB,0.84,1.0,5.0,-0.008365693945005104,116,3317
BL6-BALBc_HTxB,0.83,1.0,0.0,-0.02048773050254385,116,3317
BL6-BALBc_HTxB,0.83,1.0,1.0,-0.016341443955777676,116,3317
BL6-BALBc_HTxB,0.83,1.0,2.0,-0.011617599400282319,116,3317
BL6-BALBc_HTxB,0.83,1.0,3.0,-0.009772827778437259,116,3317
BL6-BALBc_HTxB,0.83,1.0,4.0,-0.00889223894396455,116,3317
BL6-BALBc_HTxB,0.83,1.0,5.0,-0.008365693945005104,116,3317
BL6-BALBc_HTxB,0.8200000000000001,1.0,0.0,-0.02048773050254385,116,3317
BL6-BALBc_HTxB,0.8200000000000001,1.0,1.0,-0.016341443955777676,116,3317
BL6-BALBc_HTxB,0.8200000000000001,1.0,2.0,-0.011617599400282319,116,3317
BL6-BALBc_HTxB,0.8200000000000001,1.0,3.0,-0.009772827778437259,116,3317
BL6-BALBc_HTxB,0.8200000000000001,1.0,4.0,-0.00889223894396455,116,3317
BL6-BALBc_HTxB,0.8200000000000001,1.0,5.0,-0.008365693945005104,116,3317
BL6-BALBc_HTxB,0.81,1.0,0.0,-0.02048773050254385,116,3317
BL6-BALBc_HTxB,0.81,1.0,1.0,-0.016341443955777676,116,3317
BL6-BALBc_HTxB,0.81,1.0,2.0,-0.011617599400282319,116,3317
BL6-BALBc_HTxB,0.81,1.0,3.0,-0.009772827778437259,116,3317
BL6-BALBc_HTxB,0.81,1.0,4.0,-0.00889223894396455,116,3317
BL6-BALBc_HTxB,0.81,1.0,5.0,-0.008365693945005104,116,3317
BL6-BALBc_HTxB,0.8,1.0,0.0,-0.02048773050254385,116,3317
BL6-BALBc_HTxB,0.8,1.0,1.0,-0.016341443955777676,116,3317
BL6-BALBc_HTxB,0.8,1.0,2.0,-0.011617599400282319,116,3317
BL6-BALBc_HTxB,0.8,1.0,3.0,-0.009772827778437259,116,3317
BL6-BALBc_HTxB,0.8,1.0,4.0,-0.00889223894396455,116,3317
BL6-BALBc_HTxB,0.8,1.0,5.0,-0.008365693945005104,116,3317
BL6-BALBc_HTxB,0.79,1.0,0.0,-0.02048773050254385,116,3317
