sample,percentile,thresh_syfpeithi,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-BALBc_HTxC,1.0,8.0,0.0,0.0,102,1041
BL6-BALBc_HTxC,1.0,8.0,1.0,0.0,102,1041
BL6-BALBc_HTxC,1.0,8.0,2.0,0.0,102,1041
BL6-BALBc_HTxC,1.0,8.0,3.0,0.0,102,1041
BL6-BALBc_HTxC,1.0,8.0,4.0,0.0,102,1041
BL6-BALBc_HTxC,1.0,8.0,5.0,0.0,102,1041
BL6-BALBc_HTxC,0.995,4.0,0.0,-0.0020796986393037823,102,1038
BL6-BALBc_HTxC,0.995,4.0,1.0,-0.0010011198272402916,102,1038
BL6-BALBc_HTxC,0.995,4.0,2.0,-0.0005837018855523457,102,1038
BL6-BALBc_HTxC,0.995,4.0,3.0,-0.0005172711954561535,102,1038
BL6-BALBc_HTxC,0.995,4.0,4.0,-0.0005198475933579072,102,1038
BL6-BALBc_HTxC,0.995,4.0,5.0,-0.0005291079629233678,102,1038
BL6-BALBc_HTxC,0.99,3.0,0.0,-0.0050787369524656935,102,1034
BL6-BALBc_HTxC,0.99,3.0,1.0,-0.003779767009166424,102,1034
BL6-BALBc_HTxC,0.99,3.0,2.0,-0.0024739216312362035,102,1034
BL6-BALBc_HTxC,0.99,3.0,3.0,-0.002029129675278013,102,1034
BL6-BALBc_HTxC,0.99,3.0,4.0,-0.0018698291504891669,102,1034
BL6-BALBc_HTxC,0.99,3.0,5.0,-0.001793599397075375,102,1034
BL6-BALBc_HTxC,0.985,3.0,0.0,-0.0050787369524656935,102,1034
BL6-BALBc_HTxC,0.985,3.0,1.0,-0.003779767009166424,102,1034
BL6-BALBc_HTxC,0.985,3.0,2.0,-0.0024739216312362035,102,1034
BL6-BALBc_HTxC,0.985,3.0,3.0,-0.002029129675278013,102,1034
BL6-BALBc_HTxC,0.985,3.0,4.0,-0.0018698291504891669,102,1034
BL6-BALBc_HTxC,0.985,3.0,5.0,-0.001793599397075375,102,1034
BL6-BALBc_HTxC,0.98,2.0,0.0,-0.006052231867223592,101,1031
BL6-BALBc_HTxC,0.98,2.0,1.0,-0.006128816771527795,101,1031
BL6-BALBc_HTxC,0.98,2.0,2.0,-0.004963926335278301,101,1031
BL6-BALBc_HTxC,0.98,2.0,3.0,-0.004492273860204758,101,1031
BL6-BALBc_HTxC,0.98,2.0,4.0,-0.00430407231814811,101,1031
BL6-BALBc_HTxC,0.98,2.0,5.0,-0.0042045172255383186,101,1031
BL6-BALBc_HTxC,0.975,2.0,0.0,-0.006052231867223592,101,1031
BL6-BALBc_HTxC,0.975,2.0,1.0,-0.006128816771527795,101,1031
BL6-BALBc_HTxC,0.975,2.0,2.0,-0.004963926335278301,101,1031
BL6-BALBc_HTxC,0.975,2.0,3.0,-0.004492273860204758,101,1031
BL6-BALBc_HTxC,0.975,2.0,4.0,-0.00430407231814811,101,1031
BL6-BALBc_HTxC,0.975,2.0,5.0,-0.0042045172255383186,101,1031
BL6-BALBc_HTxC,0.97,2.0,0.0,-0.006052231867223592,101,1031
BL6-BALBc_HTxC,0.97,2.0,1.0,-0.006128816771527795,101,1031
BL6-BALBc_HTxC,0.97,2.0,2.0,-0.004963926335278301,101,1031
BL6-BALBc_HTxC,0.97,2.0,3.0,-0.004492273860204758,101,1031
BL6-BALBc_HTxC,0.97,2.0,4.0,-0.00430407231814811,101,1031
