percentile,Ts_ly49c,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_ge5,n_common_clonotypes_ge5,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,16.0,6364,100.0,241,241,241,0.0,0.0,0.0,0.0
0.99,5.0,6306,99.08862350722816,241,240,240,0.0,0.0,-0.0016592430151749558,0.0001273920376683585
0.98,4.0,6260,98.36580766813324,241,238,238,0.0,0.0,-0.0034537882993184946,-0.00036027789460949677
0.97,3.0,6179,97.09302325581395,241,235,235,0.0,0.0,-0.005920342603931945,-0.0005992655625772117
0.96,3.0,6179,97.09302325581395,241,235,235,0.0,0.0,-0.005920342603931945,-0.0005992655625772117
0.95,3.0,6179,97.09302325581395,241,235,235,0.0,0.0,-0.005920342603931945,-0.0005992655625772117
0.94,2.0,6012,94.46888749214331,241,228,228,0.0,0.0,-0.008444981942681342,0.000767469632218283
0.9299999999999999,2.0,6012,94.46888749214331,241,228,228,0.0,0.0,-0.008444981942681342,0.000767469632218283
0.92,2.0,6012,94.46888749214331,241,228,228,0.0,0.0,-0.008444981942681342,0.000767469632218283
0.91,2.0,6012,94.46888749214331,241,228,228,0.0,0.0,-0.008444981942681342,0.000767469632218283
0.9,2.0,6012,94.46888749214331,241,228,228,0.0,0.0,-0.008444981942681342,0.000767469632218283
0.89,1.0,5693,89.45631678189818,241,214,214,0.0,0.0,-0.013938983589059902,0.001930014542192827
0.88,1.0,5693,89.45631678189818,241,214,214,0.0,0.0,-0.013938983589059902,0.001930014542192827
0.87,1.0,5693,89.45631678189818,241,214,214,0.0,0.0,-0.013938983589059902,0.001930014542192827
0.86,1.0,5693,89.45631678189818,241,214,214,0.0,0.0,-0.013938983589059902,0.001930014542192827
0.85,1.0,5693,89.45631678189818,241,214,214,0.0,0.0,-0.013938983589059902,0.001930014542192827
0.84,1.0,5693,89.45631678189818,241,214,214,0.0,0.0,-0.013938983589059902,0.001930014542192827
0.83,1.0,5693,89.45631678189818,241,214,214,0.0,0.0,-0.013938983589059902,0.001930014542192827
0.8200000000000001,1.0,5693,89.45631678189818,241,214,214,0.0,0.0,-0.013938983589059902,0.001930014542192827
0.81,1.0,5693,89.45631678189818,241,214,214,0.0,0.0,-0.013938983589059902,0.001930014542192827
0.8,1.0,5693,89.45631678189818,241,214,214,0.0,0.0,-0.013938983589059902,0.001930014542192827
0.79,1.0,5693,89.45631678189818,241,214,214,0.0,0.0,-0.013938983589059902,0.001930014542192827
0.78,1.0,5693,89.45631678189818,241,214,214,0.0,0.0,-0.013938983589059902,0.001930014542192827
0.77,1.0,5693,89.45631678189818,241,214,214,0.0,0.0,-0.013938983589059902,0.001930014542192827
0.76,0.0,4875,76.60276555625393,241,172,172,4.705739198140879e-05,0.023271793965628507,-0.032077939594940506,0.001988643199892373
0.75,0.0,4875,76.60276555625393,241,172,172,4.705739198140879e-05,0.023271793965628507,-0.032077939594940506,0.001988643199892373
0.74,0.0,4875,76.60276555625393,241,172,172,4.705739198140879e-05,0.023271793965628507,-0.032077939594940506,0.001988643199892373
0.73,0.0,4875,76.60276555625393,241,172,172,4.705739198140879e-05,0.023271793965628507,-0.032077939594940506,0.001988643199892373
0.72,0.0,4875,76.60276555625393,241,172,172,4.705739198140879e-05,0.023271793965628507,-0.032077939594940506,0.001988643199892373
0.71,0.0,4875,76.60276555625393,241,172,172,4.705739198140879e-05,0.023271793965628507,-0.032077939594940506,0.001988643199892373
0.7,0.0,4875,76.60276555625393,241,172,172,4.705739198140879e-05,0.023271793965628507,-0.032077939594940506,0.001988643199892373
0.69,0.0,4875,76.60276555625393,241,172,172,4.705739198140879e-05,0.023271793965628507,-0.032077939594940506,0.001988643199892373
0.6799999999999999,0.0,4875,76.60276555625393,241,172,172,4.705739198140879e-05,0.023271793965628507,-0.032077939594940506,0.001988643199892373
0.6699999999999999,0.0,4875,76.60276555625393,241,172,172,4.705739198140879e-05,0.023271793965628507,-0.032077939594940506,0.001988643199892373
0.6599999999999999,0.0,4875,76.60276555625393,241,172,172,4.705739198140879e-05,0.023271793965628507,-0.032077939594940506,0.001988643199892373
0.6499999999999999,0.0,4875,76.60276555625393,241,172,172,4.705739198140879e-05,0.023271793965628507,-0.032077939594940506,0.001988643199892373
0.64,0.0,4875,76.60276555625393,241,172,172,4.705739198140879e-05,0.023271793965628507,-0.032077939594940506,0.001988643199892373
0.63,0.0,4875,76.60276555625393,241,172,172,4.705739198140879e-05,0.023271793965628507,-0.032077939594940506,0.001988643199892373
