sample,percentile,thresh_syfpeithi,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-BALBc_HTxB,1.0,18.0,0.0,0.0,143,1574
BL6-BALBc_HTxB,1.0,18.0,1.0,0.0,143,1574
BL6-BALBc_HTxB,1.0,18.0,2.0,0.0,143,1574
BL6-BALBc_HTxB,1.0,18.0,5.0,0.0,143,1574
BL6-BALBc_HTxB,0.995,8.0,0.0,-0.0004705167225351918,143,1567
BL6-BALBc_HTxB,0.995,8.0,1.0,-0.001028935013853964,143,1567
BL6-BALBc_HTxB,0.995,8.0,2.0,-0.0005169204005980465,143,1567
BL6-BALBc_HTxB,0.995,8.0,5.0,-8.627548443886128e-05,143,1567
BL6-BALBc_HTxB,0.99,6.0,0.0,-0.0013072877049411606,142,1559
BL6-BALBc_HTxB,0.99,6.0,1.0,-0.002175431245995335,142,1559
BL6-BALBc_HTxB,0.99,6.0,2.0,-0.0017576278255955382,142,1559
BL6-BALBc_HTxB,0.99,6.0,5.0,-0.001325989766747353,142,1559
BL6-BALBc_HTxB,0.985,5.0,0.0,-0.0022347877073388154,142,1553
BL6-BALBc_HTxB,0.985,5.0,1.0,-0.0024610348552939073,142,1553
BL6-BALBc_HTxB,0.985,5.0,2.0,-0.0018227525861026128,142,1553
BL6-BALBc_HTxB,0.985,5.0,5.0,-0.0013432937822530535,142,1553
BL6-BALBc_HTxB,0.98,5.0,0.0,-0.0022347877073388154,142,1553
BL6-BALBc_HTxB,0.98,5.0,1.0,-0.0024610348552939073,142,1553
BL6-BALBc_HTxB,0.98,5.0,2.0,-0.0018227525861026128,142,1553
BL6-BALBc_HTxB,0.98,5.0,5.0,-0.0013432937822530535,142,1553
BL6-BALBc_HTxB,0.975,4.299999999999727,0.0,-0.004144043470435006,139,1534
BL6-BALBc_HTxB,0.975,4.299999999999727,1.0,-0.004889201911983823,139,1534
BL6-BALBc_HTxB,0.975,4.299999999999727,2.0,-0.0035080078954959847,139,1534
BL6-BALBc_HTxB,0.975,4.299999999999727,5.0,-0.002443916700227808,139,1534
BL6-BALBc_HTxB,0.97,4.0,0.0,-0.004144043470435006,139,1534
BL6-BALBc_HTxB,0.97,4.0,1.0,-0.004889201911983823,139,1534
BL6-BALBc_HTxB,0.97,4.0,2.0,-0.0035080078954959847,139,1534
BL6-BALBc_HTxB,0.97,4.0,5.0,-0.002443916700227808,139,1534
BL6-BALBc_HTxB,0.965,4.0,0.0,-0.004144043470435006,139,1534
BL6-BALBc_HTxB,0.965,4.0,1.0,-0.004889201911983823,139,1534
BL6-BALBc_HTxB,0.965,4.0,2.0,-0.0035080078954959847,139,1534
BL6-BALBc_HTxB,0.965,4.0,5.0,-0.002443916700227808,139,1534
BL6-BALBc_HTxB,0.96,4.0,0.0,-0.004144043470435006,139,1534
BL6-BALBc_HTxB,0.96,4.0,1.0,-0.004889201911983823,139,1534
BL6-BALBc_HTxB,0.96,4.0,2.0,-0.0035080078954959847,139,1534
BL6-BALBc_HTxB,0.96,4.0,5.0,-0.002443916700227808,139,1534
BL6-BALBc_HTxB,0.955,3.0,0.0,-0.005395166128438225,135,1504
BL6-BALBc_HTxB,0.955,3.0,1.0,-0.006808454994117125,135,1504
BL6-BALBc_HTxB,0.955,3.0,2.0,-0.004627091904997776,135,1504
BL6-BALBc_HTxB,0.955,3.0,5.0,-0.003091757311774392,135,1504
BL6-BALBc_HTxB,0.95,3.0,0.0,-0.005395166128438225,135,1504
BL6-BALBc_HTxB,0.95,3.0,1.0,-0.006808454994117125,135,1504
BL6-BALBc_HTxB,0.95,3.0,2.0,-0.004627091904997776,135,1504
BL6-BALBc_HTxB,0.95,3.0,5.0,-0.003091757311774392,135,1504
BL6-BALBc_HTxB,0.945,3.0,0.0,-0.005395166128438225,135,1504
BL6-BALBc_HTxB,0.945,3.0,1.0,-0.006808454994117125,135,1504
BL6-BALBc_HTxB,0.945,3.0,2.0,-0.004627091904997776,135,1504
BL6-BALBc_HTxB,0.945,3.0,5.0,-0.003091757311774392,135,1504
BL6-BALBc_HTxB,0.94,3.0,0.0,-0.005395166128438225,135,1504
BL6-BALBc_HTxB,0.94,3.0,1.0,-0.006808454994117125,135,1504
BL6-BALBc_HTxB,0.94,3.0,2.0,-0.004627091904997776,135,1504
BL6-BALBc_HTxB,0.94,3.0,5.0,-0.003091757311774392,135,1504
BL6-BALBc_HTxB,0.935,3.0,0.0,-0.005395166128438225,135,1504
BL6-BALBc_HTxB,0.935,3.0,1.0,-0.006808454994117125,135,1504
BL6-BALBc_HTxB,0.935,3.0,2.0,-0.004627091904997776,135,1504
BL6-BALBc_HTxB,0.935,3.0,5.0,-0.003091757311774392,135,1504
BL6-BALBc_HTxB,0.9299999999999999,3.0,0.0,-0.005395166128438225,135,1504
BL6-BALBc_HTxB,0.9299999999999999,3.0,1.0,-0.006808454994117125,135,1504
BL6-BALBc_HTxB,0.9299999999999999,3.0,2.0,-0.004627091904997776,135,1504
BL6-BALBc_HTxB,0.9299999999999999,3.0,5.0,-0.003091757311774392,135,1504
BL6-BALBc_HTxB,0.925,3.0,0.0,-0.005395166128438225,135,1504
BL6-BALBc_HTxB,0.925,3.0,1.0,-0.006808454994117125,135,1504
BL6-BALBc_HTxB,0.925,3.0,2.0,-0.004627091904997776,135,1504
BL6-BALBc_HTxB,0.925,3.0,5.0,-0.003091757311774392,135,1504
BL6-BALBc_HTxB,0.92,3.0,0.0,-0.005395166128438225,135,1504
BL6-BALBc_HTxB,0.92,3.0,1.0,-0.006808454994117125,135,1504
BL6-BALBc_HTxB,0.92,3.0,2.0,-0.004627091904997776,135,1504
BL6-BALBc_HTxB,0.92,3.0,5.0,-0.003091757311774392,135,1504
BL6-BALBc_HTxB,0.915,2.0,0.0,-0.008835600849982927,128,1440
BL6-BALBc_HTxB,0.915,2.0,1.0,-0.008311543948911742,128,1440
BL6-BALBc_HTxB,0.915,2.0,2.0,-0.004170147690421577,128,1440
BL6-BALBc_HTxB,0.915,2.0,5.0,-0.0022275166317949216,128,1440
BL6-BALBc_HTxB,0.91,2.0,0.0,-0.008835600849982927,128,1440
BL6-BALBc_HTxB,0.91,2.0,1.0,-0.008311543948911742,128,1440
BL6-BALBc_HTxB,0.91,2.0,2.0,-0.004170147690421577,128,1440
BL6-BALBc_HTxB,0.91,2.0,5.0,-0.0022275166317949216,128,1440
BL6-BALBc_HTxB,0.905,2.0,0.0,-0.008835600849982927,128,1440
BL6-BALBc_HTxB,0.905,2.0,1.0,-0.008311543948911742,128,1440
BL6-BALBc_HTxB,0.905,2.0,2.0,-0.004170147690421577,128,1440
BL6-BALBc_HTxB,0.905,2.0,5.0,-0.0022275166317949216,128,1440
BL6-BALBc_HTxB,0.9,2.0,0.0,-0.008835600849982927,128,1440
BL6-BALBc_HTxB,0.9,2.0,1.0,-0.008311543948911742,128,1440
BL6-BALBc_HTxB,0.9,2.0,2.0,-0.004170147690421577,128,1440
BL6-BALBc_HTxB,0.9,2.0,5.0,-0.0022275166317949216,128,1440
BL6-BALBc_HTxB,0.895,2.0,0.0,-0.008835600849982927,128,1440
BL6-BALBc_HTxB,0.895,2.0,1.0,-0.008311543948911742,128,1440
BL6-BALBc_HTxB,0.895,2.0,2.0,-0.004170147690421577,128,1440
BL6-BALBc_HTxB,0.895,2.0,5.0,-0.0022275166317949216,128,1440
BL6-BALBc_HTxB,0.89,2.0,0.0,-0.008835600849982927,128,1440
BL6-BALBc_HTxB,0.89,2.0,1.0,-0.008311543948911742,128,1440
BL6-BALBc_HTxB,0.89,2.0,2.0,-0.004170147690421577,128,1440
BL6-BALBc_HTxB,0.89,2.0,5.0,-0.0022275166317949216,128,1440
BL6-BALBc_HTxB,0.885,2.0,0.0,-0.008835600849982927,128,1440
BL6-BALBc_HTxB,0.885,2.0,1.0,-0.008311543948911742,128,1440
BL6-BALBc_HTxB,0.885,2.0,2.0,-0.004170147690421577,128,1440
BL6-BALBc_HTxB,0.885,2.0,5.0,-0.0022275166317949216,128,1440
BL6-BALBc_HTxB,0.88,2.0,0.0,-0.008835600849982927,128,1440
BL6-BALBc_HTxB,0.88,2.0,1.0,-0.008311543948911742,128,1440
BL6-BALBc_HTxB,0.88,2.0,2.0,-0.004170147690421577,128,1440
BL6-BALBc_HTxB,0.88,2.0,5.0,-0.0022275166317949216,128,1440
BL6-BALBc_HTxB,0.875,2.0,0.0,-0.008835600849982927,128,1440
BL6-BALBc_HTxB,0.875,2.0,1.0,-0.008311543948911742,128,1440
BL6-BALBc_HTxB,0.875,2.0,2.0,-0.004170147690421577,128,1440
BL6-BALBc_HTxB,0.875,2.0,5.0,-0.0022275166317949216,128,1440
BL6-BALBc_HTxB,0.87,2.0,0.0,-0.008835600849982927,128,1440
BL6-BALBc_HTxB,0.87,2.0,1.0,-0.008311543948911742,128,1440
BL6-BALBc_HTxB,0.87,2.0,2.0,-0.004170147690421577,128,1440
BL6-BALBc_HTxB,0.87,2.0,5.0,-0.0022275166317949216,128,1440
BL6-BALBc_HTxB,0.865,2.0,0.0,-0.008835600849982927,128,1440
BL6-BALBc_HTxB,0.865,2.0,1.0,-0.008311543948911742,128,1440
BL6-BALBc_HTxB,0.865,2.0,2.0,-0.004170147690421577,128,1440
BL6-BALBc_HTxB,0.865,2.0,5.0,-0.0022275166317949216,128,1440
BL6-BALBc_HTxB,0.86,2.0,0.0,-0.008835600849982927,128,1440
BL6-BALBc_HTxB,0.86,2.0,1.0,-0.008311543948911742,128,1440
BL6-BALBc_HTxB,0.86,2.0,2.0,-0.004170147690421577,128,1440
BL6-BALBc_HTxB,0.86,2.0,5.0,-0.0022275166317949216,128,1440
BL6-BALBc_HTxB,0.855,2.0,0.0,-0.008835600849982927,128,1440
BL6-BALBc_HTxB,0.855,2.0,1.0,-0.008311543948911742,128,1440
BL6-BALBc_HTxB,0.855,2.0,2.0,-0.004170147690421577,128,1440
BL6-BALBc_HTxB,0.855,2.0,5.0,-0.0022275166317949216,128,1440
BL6-BALBc_HTxB,0.85,2.0,0.0,-0.008835600849982927,128,1440
BL6-BALBc_HTxB,0.85,2.0,1.0,-0.008311543948911742,128,1440
BL6-BALBc_HTxB,0.85,2.0,2.0,-0.004170147690421577,128,1440
BL6-BALBc_HTxB,0.85,2.0,5.0,-0.0022275166317949216,128,1440
BL6-BALBc_HTxB,0.845,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.845,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.845,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.845,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.84,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.84,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.84,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.84,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.835,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.835,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.835,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.835,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.83,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.83,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.83,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.83,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.825,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.825,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.825,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.825,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.8200000000000001,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.8200000000000001,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.8200000000000001,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.8200000000000001,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.815,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.815,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.815,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.815,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.81,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.81,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.81,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.81,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.8049999999999999,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.8049999999999999,1.0,1.0,-0.015659055944841085,117,1326
