percentile,thresh_syfpeithi,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,18.0,1574,100.0,143,143,143,0.0,0.0,0.0,0.0
0.995,8.0,1567,99.55527318932656,143,143,143,0.0,0.0,-0.001028935013853964,6.342725232242377e-05
0.99,6.0,1559,99.04701397712833,143,142,142,0.0,0.0,-0.002175431245995335,0.0002640719466102592
0.985,5.0,1553,98.66581956797967,143,142,142,0.0,0.0,-0.0024610348552939073,0.0002679415815242091
0.98,5.0,1553,98.66581956797967,143,142,142,0.0,0.0,-0.0024610348552939073,0.0002679415815242091
0.975,4.299999999999727,1534,97.4587039390089,143,139,139,0.0,0.0,-0.004889201911983823,-0.0004521505928635621
0.97,4.0,1534,97.4587039390089,143,139,139,0.0,0.0,-0.004889201911983823,-0.0004521505928635621
0.965,4.0,1534,97.4587039390089,143,139,139,0.0,0.0,-0.004889201911983823,-0.0004521505928635621
0.96,4.0,1534,97.4587039390089,143,139,139,0.0,0.0,-0.004889201911983823,-0.0004521505928635621
0.955,3.0,1504,95.55273189326556,143,135,135,0.0,0.0,-0.006808454994117125,-0.0007122333788953948
0.95,3.0,1504,95.55273189326556,143,135,135,0.0,0.0,-0.006808454994117125,-0.0007122333788953948
0.945,3.0,1504,95.55273189326556,143,135,135,0.0,0.0,-0.006808454994117125,-0.0007122333788953948
0.94,3.0,1504,95.55273189326556,143,135,135,0.0,0.0,-0.006808454994117125,-0.0007122333788953948
0.935,3.0,1504,95.55273189326556,143,135,135,0.0,0.0,-0.006808454994117125,-0.0007122333788953948
0.9299999999999999,3.0,1504,95.55273189326556,143,135,135,0.0,0.0,-0.006808454994117125,-0.0007122333788953948
0.925,3.0,1504,95.55273189326556,143,135,135,0.0,0.0,-0.006808454994117125,-0.0007122333788953948
0.92,3.0,1504,95.55273189326556,143,135,135,0.0,0.0,-0.006808454994117125,-0.0007122333788953948
0.915,2.0,1440,91.4866581956798,143,128,128,0.0,0.0,-0.008311543948911742,0.0007762945131196426
0.91,2.0,1440,91.4866581956798,143,128,128,0.0,0.0,-0.008311543948911742,0.0007762945131196426
0.905,2.0,1440,91.4866581956798,143,128,128,0.0,0.0,-0.008311543948911742,0.0007762945131196426
0.9,2.0,1440,91.4866581956798,143,128,128,0.0,0.0,-0.008311543948911742,0.0007762945131196426
0.895,2.0,1440,91.4866581956798,143,128,128,0.0,0.0,-0.008311543948911742,0.0007762945131196426
0.89,2.0,1440,91.4866581956798,143,128,128,0.0,0.0,-0.008311543948911742,0.0007762945131196426
0.885,2.0,1440,91.4866581956798,143,128,128,0.0,0.0,-0.008311543948911742,0.0007762945131196426
0.88,2.0,1440,91.4866581956798,143,128,128,0.0,0.0,-0.008311543948911742,0.0007762945131196426
