,sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
0,BL6-BALBc_HTxB,1.0,60.0,0.0,0.0,20,195
1,BL6-BALBc_HTxB,1.0,60.0,1.0,0.0,20,195
2,BL6-BALBc_HTxB,1.0,60.0,2.0,0.0,20,195
3,BL6-BALBc_HTxB,1.0,60.0,5.0,0.0,20,195
4,BL6-BALBc_HTxB,0.995,5.6299999999999955,0.0,-0.0006308828303771552,20,194
5,BL6-BALBc_HTxB,0.995,5.6299999999999955,1.0,-0.003884032716855801,20,194
6,BL6-BALBc_HTxB,0.995,5.6299999999999955,2.0,-0.005875410414054172,20,194
7,BL6-BALBc_HTxB,0.995,5.6299999999999955,5.0,-0.0066557571779803145,20,194
8,BL6-BALBc_HTxB,0.99,4.259999999999991,0.0,-0.0016705454865743486,20,193
9,BL6-BALBc_HTxB,0.99,4.259999999999991,1.0,-0.005677487630261135,20,193
10,BL6-BALBc_HTxB,0.99,4.259999999999991,2.0,-0.007134342829291096,20,193
11,BL6-BALBc_HTxB,0.99,4.259999999999991,5.0,-0.007473797198213739,20,193
12,BL6-BALBc_HTxB,0.985,3.8899999999999864,0.0,-0.0052030031638826465,20,191
13,BL6-BALBc_HTxB,0.985,3.8899999999999864,1.0,-0.006845196593882541,20,191
14,BL6-BALBc_HTxB,0.985,3.8899999999999864,2.0,-0.008179763913421734,20,191
15,BL6-BALBc_HTxB,0.985,3.8899999999999864,5.0,-0.008464404116467612,20,191
16,BL6-BALBc_HTxB,0.98,3.0,0.0,-0.0052030031638826465,20,191
17,BL6-BALBc_HTxB,0.98,3.0,1.0,-0.006845196593882541,20,191
18,BL6-BALBc_HTxB,0.98,3.0,2.0,-0.008179763913421734,20,191
19,BL6-BALBc_HTxB,0.98,3.0,5.0,-0.008464404116467612,20,191
20,BL6-BALBc_HTxB,0.975,3.0,0.0,-0.0052030031638826465,20,191
21,BL6-BALBc_HTxB,0.975,3.0,1.0,-0.006845196593882541,20,191
22,BL6-BALBc_HTxB,0.975,3.0,2.0,-0.008179763913421734,20,191
23,BL6-BALBc_HTxB,0.975,3.0,5.0,-0.008464404116467612,20,191
24,BL6-BALBc_HTxB,0.97,3.0,0.0,-0.0052030031638826465,20,191
25,BL6-BALBc_HTxB,0.97,3.0,1.0,-0.006845196593882541,20,191
26,BL6-BALBc_HTxB,0.97,3.0,2.0,-0.008179763913421734,20,191
27,BL6-BALBc_HTxB,0.97,3.0,5.0,-0.008464404116467612,20,191
28,BL6-BALBc_HTxB,0.965,3.0,0.0,-0.0052030031638826465,20,191
29,BL6-BALBc_HTxB,0.965,3.0,1.0,-0.006845196593882541,20,191
30,BL6-BALBc_HTxB,0.965,3.0,2.0,-0.008179763913421734,20,191
31,BL6-BALBc_HTxB,0.965,3.0,5.0,-0.008464404116467612,20,191
32,BL6-BALBc_HTxB,0.96,3.0,0.0,-0.0052030031638826465,20,191
33,BL6-BALBc_HTxB,0.96,3.0,1.0,-0.006845196593882541,20,191
34,BL6-BALBc_HTxB,0.96,3.0,2.0,-0.008179763913421734,20,191
35,BL6-BALBc_HTxB,0.96,3.0,5.0,-0.008464404116467612,20,191
36,BL6-BALBc_HTxB,0.955,2.0,0.0,-0.007746338031237166,20,187
37,BL6-BALBc_HTxB,0.955,2.0,1.0,-0.0141107729497713,20,187
38,BL6-BALBc_HTxB,0.955,2.0,2.0,-0.014831135399340417,20,187
39,BL6-BALBc_HTxB,0.955,2.0,5.0,-0.012699843403777767,20,187
40,BL6-BALBc_HTxB,0.95,2.0,0.0,-0.007746338031237166,20,187
41,BL6-BALBc_HTxB,0.95,2.0,1.0,-0.0141107729497713,20,187
