,sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
0,BL6-BALBc_HTxC,1.0,5.0,0.0,0.0,19,161
1,BL6-BALBc_HTxC,1.0,5.0,1.0,0.0,19,161
2,BL6-BALBc_HTxC,1.0,5.0,2.0,0.0,19,161
3,BL6-BALBc_HTxC,1.0,5.0,5.0,0.0,19,161
4,BL6-BALBc_HTxC,0.995,3.079999999999984,0.0,0.0,18,160
5,BL6-BALBc_HTxC,0.995,3.079999999999984,1.0,0.0,18,160
6,BL6-BALBc_HTxC,0.995,3.079999999999984,2.0,0.0,18,160
7,BL6-BALBc_HTxC,0.995,3.079999999999984,5.0,0.0,18,160
8,BL6-BALBc_HTxC,0.99,2.079999999999984,0.0,-0.005615228171741451,18,159
9,BL6-BALBc_HTxC,0.99,2.079999999999984,1.0,0.0015270509186018726,18,159
10,BL6-BALBc_HTxC,0.99,2.079999999999984,2.0,0.002901993594735999,18,159
11,BL6-BALBc_HTxC,0.99,2.079999999999984,5.0,0.0025959282040563833,18,159
12,BL6-BALBc_HTxC,0.985,2.0,0.0,-0.005615228171741451,18,159
13,BL6-BALBc_HTxC,0.985,2.0,1.0,0.0015270509186018726,18,159
14,BL6-BALBc_HTxC,0.985,2.0,2.0,0.002901993594735999,18,159
15,BL6-BALBc_HTxC,0.985,2.0,5.0,0.0025959282040563833,18,159
16,BL6-BALBc_HTxC,0.98,2.0,0.0,-0.005615228171741451,18,159
17,BL6-BALBc_HTxC,0.98,2.0,1.0,0.0015270509186018726,18,159
18,BL6-BALBc_HTxC,0.98,2.0,2.0,0.002901993594735999,18,159
19,BL6-BALBc_HTxC,0.98,2.0,5.0,0.0025959282040563833,18,159
20,BL6-BALBc_HTxC,0.975,2.0,0.0,-0.005615228171741451,18,159
21,BL6-BALBc_HTxC,0.975,2.0,1.0,0.0015270509186018726,18,159
22,BL6-BALBc_HTxC,0.975,2.0,2.0,0.002901993594735999,18,159
23,BL6-BALBc_HTxC,0.975,2.0,5.0,0.0025959282040563833,18,159
24,BL6-BALBc_HTxC,0.97,2.0,0.0,-0.005615228171741451,18,159
25,BL6-BALBc_HTxC,0.97,2.0,1.0,0.0015270509186018726,18,159
26,BL6-BALBc_HTxC,0.97,2.0,2.0,0.002901993594735999,18,159
27,BL6-BALBc_HTxC,0.97,2.0,5.0,0.0025959282040563833,18,159
28,BL6-BALBc_HTxC,0.965,2.0,0.0,-0.005615228171741451,18,159
29,BL6-BALBc_HTxC,0.965,2.0,1.0,0.0015270509186018726,18,159
30,BL6-BALBc_HTxC,0.965,2.0,2.0,0.002901993594735999,18,159
31,BL6-BALBc_HTxC,0.965,2.0,5.0,0.0025959282040563833,18,159
32,BL6-BALBc_HTxC,0.96,2.0,0.0,-0.005615228171741451,18,159
33,BL6-BALBc_HTxC,0.96,2.0,1.0,0.0015270509186018726,18,159
34,BL6-BALBc_HTxC,0.96,2.0,2.0,0.002901993594735999,18,159
35,BL6-BALBc_HTxC,0.96,2.0,5.0,0.0025959282040563833,18,159
36,BL6-BALBc_HTxC,0.955,2.0,0.0,-0.005615228171741451,18,159
37,BL6-BALBc_HTxC,0.955,2.0,1.0,0.0015270509186018726,18,159
38,BL6-BALBc_HTxC,0.955,2.0,2.0,0.002901993594735999,18,159
39,BL6-BALBc_HTxC,0.955,2.0,5.0,0.0025959282040563833,18,159
40,BL6-BALBc_HTxC,0.95,2.0,0.0,-0.005615228171741451,18,159
41,BL6-BALBc_HTxC,0.95,2.0,1.0,0.0015270509186018726,18,159
42,BL6-BALBc_HTxC,0.95,2.0,2.0,0.002901993594735999,18,159
43,BL6-BALBc_HTxC,0.95,2.0,5.0,0.0025959282040563833,18,159
44,BL6-BALBc_HTxC,0.945,2.0,0.0,-0.005615228171741451,18,159
45,BL6-BALBc_HTxC,0.945,2.0,1.0,0.0015270509186018726,18,159
46,BL6-BALBc_HTxC,0.945,2.0,2.0,0.002901993594735999,18,159
47,BL6-BALBc_HTxC,0.945,2.0,5.0,0.0025959282040563833,18,159
48,BL6-BALBc_HTxC,0.94,2.0,0.0,-0.005615228171741451,18,159
49,BL6-BALBc_HTxC,0.94,2.0,1.0,0.0015270509186018726,18,159
50,BL6-BALBc_HTxC,0.94,2.0,2.0,0.002901993594735999,18,159
51,BL6-BALBc_HTxC,0.94,2.0,5.0,0.0025959282040563833,18,159
52,BL6-BALBc_HTxC,0.935,1.5200000000000102,0.0,-0.010865687503779113,15,151
53,BL6-BALBc_HTxC,0.935,1.5200000000000102,1.0,0.0003988248721744784,15,151
54,BL6-BALBc_HTxC,0.935,1.5200000000000102,2.0,0.0026286498304878983,15,151
55,BL6-BALBc_HTxC,0.935,1.5200000000000102,5.0,0.002680742819532089,15,151
56,BL6-BALBc_HTxC,0.9299999999999999,1.0,0.0,-0.010865687503779113,15,151
57,BL6-BALBc_HTxC,0.9299999999999999,1.0,1.0,0.0003988248721744784,15,151
58,BL6-BALBc_HTxC,0.9299999999999999,1.0,2.0,0.0026286498304878983,15,151
59,BL6-BALBc_HTxC,0.9299999999999999,1.0,5.0,0.002680742819532089,15,151
60,BL6-BALBc_HTxC,0.925,1.0,0.0,-0.010865687503779113,15,151
61,BL6-BALBc_HTxC,0.925,1.0,1.0,0.0003988248721744784,15,151
62,BL6-BALBc_HTxC,0.925,1.0,2.0,0.0026286498304878983,15,151
