,percentile,thresh_ly49c,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0,1.0,,0,0.0,99,0,0,,,,
1,0.995,,0,0.0,99,0,0,,,,
2,0.99,,0,0.0,99,0,0,,,,
3,0.985,,0,0.0,99,0,0,,,,
4,0.98,,0,0.0,99,0,0,,,,
5,0.975,,0,0.0,99,0,0,,,,
6,0.97,,0,0.0,99,0,0,,,,
7,0.965,,0,0.0,99,0,0,,,,
8,0.96,,0,0.0,99,0,0,,,,
9,0.955,,0,0.0,99,0,0,,,,
10,0.95,,0,0.0,99,0,0,,,,
11,0.945,,0,0.0,99,0,0,,,,
12,0.94,,0,0.0,99,0,0,,,,
13,0.935,,0,0.0,99,0,0,,,,
14,0.9299999999999999,,0,0.0,99,0,0,,,,
15,0.925,,0,0.0,99,0,0,,,,
16,0.92,,0,0.0,99,0,0,,,,
17,0.915,,0,0.0,99,0,0,,,,
18,0.91,,0,0.0,99,0,0,,,,
19,0.905,,0,0.0,99,0,0,,,,
20,0.9,,0,0.0,99,0,0,,,,
21,0.895,,0,0.0,99,0,0,,,,
22,0.89,,0,0.0,99,0,0,,,,
23,0.885,,0,0.0,99,0,0,,,,
24,0.88,,0,0.0,99,0,0,,,,
25,0.875,,0,0.0,99,0,0,,,,
26,0.87,,0,0.0,99,0,0,,,,
27,0.865,,0,0.0,99,0,0,,,,
28,0.86,,0,0.0,99,0,0,,,,
29,0.855,,0,0.0,99,0,0,,,,
30,0.85,,0,0.0,99,0,0,,,,
31,0.845,,0,0.0,99,0,0,,,,
32,0.84,,0,0.0,99,0,0,,,,
33,0.835,,0,0.0,99,0,0,,,,
34,0.83,,0,0.0,99,0,0,,,,
35,0.825,,0,0.0,99,0,0,,,,
36,0.8200000000000001,,0,0.0,99,0,0,,,,
37,0.815,,0,0.0,99,0,0,,,,
38,0.81,,0,0.0,99,0,0,,,,
39,0.8049999999999999,,0,0.0,99,0,0,,,,
40,0.8,,0,0.0,99,0,0,,,,
41,0.7949999999999999,,0,0.0,99,0,0,,,,
42,0.79,,0,0.0,99,0,0,,,,
43,0.785,,0,0.0,99,0,0,,,,
44,0.78,,0,0.0,99,0,0,,,,
45,0.775,,0,0.0,99,0,0,,,,
46,0.77,,0,0.0,99,0,0,,,,
47,0.765,,0,0.0,99,0,0,,,,
48,0.76,,0,0.0,99,0,0,,,,
49,0.755,,0,0.0,99,0,0,,,,
50,0.75,,0,0.0,99,0,0,,,,
51,0.745,,0,0.0,99,0,0,,,,
52,0.74,,0,0.0,99,0,0,,,,
53,0.735,,0,0.0,99,0,0,,,,
54,0.73,,0,0.0,99,0,0,,,,
55,0.725,,0,0.0,99,0,0,,,,
56,0.72,,0,0.0,99,0,0,,,,
57,0.715,,0,0.0,99,0,0,,,,
58,0.71,,0,0.0,99,0,0,,,,
59,0.7050000000000001,,0,0.0,99,0,0,,,,
60,0.7,,0,0.0,99,0,0,,,,
61,0.6950000000000001,,0,0.0,99,0,0,,,,
62,0.69,,0,0.0,99,0,0,,,,
63,0.685,,0,0.0,99,0,0,,,,
64,0.6799999999999999,,0,0.0,99,0,0,,,,
65,0.675,,0,0.0,99,0,0,,,,
66,0.6699999999999999,,0,0.0,99,0,0,,,,
67,0.665,,0,0.0,99,0,0,,,,
68,0.6599999999999999,,0,0.0,99,0,0,,,,
69,0.655,,0,0.0,99,0,0,,,,
70,0.6499999999999999,,0,0.0,99,0,0,,,,
71,0.645,,0,0.0,99,0,0,,,,
72,0.64,,0,0.0,99,0,0,,,,
73,0.635,,0,0.0,99,0,0,,,,
74,0.63,,0,0.0,99,0,0,,,,
75,0.625,,0,0.0,99,0,0,,,,
76,0.62,,0,0.0,99,0,0,,,,
77,0.615,,0,0.0,99,0,0,,,,
78,0.61,,0,0.0,99,0,0,,,,
79,0.605,,0,0.0,99,0,0,,,,
80,0.6,,0,0.0,99,0,0,,,,
81,0.595,,0,0.0,99,0,0,,,,
82,0.59,,0,0.0,99,0,0,,,,
83,0.585,,0,0.0,99,0,0,,,,
84,0.5800000000000001,,0,0.0,99,0,0,,,,
85,0.575,,0,0.0,99,0,0,,,,
86,0.5700000000000001,,0,0.0,99,0,0,,,,
87,0.565,,0,0.0,99,0,0,,,,
88,0.56,,0,0.0,99,0,0,,,,
89,0.5549999999999999,,0,0.0,99,0,0,,,,
90,0.55,,0,0.0,99,0,0,,,,
91,0.5449999999999999,,0,0.0,99,0,0,,,,
92,0.54,,0,0.0,99,0,0,,,,
93,0.5349999999999999,,0,0.0,99,0,0,,,,
94,0.53,,0,0.0,99,0,0,,,,
95,0.5249999999999999,,0,0.0,99,0,0,,,,
96,0.52,,0,0.0,99,0,0,,,,
97,0.515,,0,0.0,99,0,0,,,,
98,0.51,,0,0.0,99,0,0,,,,
99,0.505,,0,0.0,99,0,0,,,,
100,0.5,,0,0.0,99,0,0,,,,
101,0.495,,0,0.0,99,0,0,,,,
102,0.49,,0,0.0,99,0,0,,,,
103,0.485,,0,0.0,99,0,0,,,,
104,0.48,,0,0.0,99,0,0,,,,
105,0.475,,0,0.0,99,0,0,,,,
106,0.47,,0,0.0,99,0,0,,,,
107,0.46499999999999997,,0,0.0,99,0,0,,,,
108,0.45999999999999996,,0,0.0,99,0,0,,,,
109,0.45499999999999996,,0,0.0,99,0,0,,,,
110,0.44999999999999996,,0,0.0,99,0,0,,,,
111,0.44499999999999995,,0,0.0,99,0,0,,,,
112,0.43999999999999995,,0,0.0,99,0,0,,,,
113,0.43499999999999994,,0,0.0,99,0,0,,,,
114,0.42999999999999994,,0,0.0,99,0,0,,,,
115,0.42499999999999993,,0,0.0,99,0,0,,,,
116,0.42000000000000004,,0,0.0,99,0,0,,,,
117,0.41500000000000004,,0,0.0,99,0,0,,,,
118,0.41000000000000003,,0,0.0,99,0,0,,,,
119,0.405,,0,0.0,99,0,0,,,,
120,0.4,,0,0.0,99,0,0,,,,
121,0.395,,0,0.0,99,0,0,,,,
122,0.39,,0,0.0,99,0,0,,,,
123,0.385,,0,0.0,99,0,0,,,,
124,0.38,,0,0.0,99,0,0,,,,
125,0.375,,0,0.0,99,0,0,,,,
126,0.37,,0,0.0,99,0,0,,,,
127,0.365,,0,0.0,99,0,0,,,,
128,0.36,,0,0.0,99,0,0,,,,
129,0.355,,0,0.0,99,0,0,,,,
130,0.35,,0,0.0,99,0,0,,,,
131,0.345,,0,0.0,99,0,0,,,,
132,0.33999999999999997,,0,0.0,99,0,0,,,,
133,0.33499999999999996,,0,0.0,99,0,0,,,,
134,0.32999999999999996,,0,0.0,99,0,0,,,,
135,0.32499999999999996,,0,0.0,99,0,0,,,,
136,0.31999999999999995,,0,0.0,99,0,0,,,,
137,0.31499999999999995,,0,0.0,99,0,0,,,,
138,0.30999999999999994,,0,0.0,99,0,0,,,,
139,0.30499999999999994,,0,0.0,99,0,0,,,,
140,0.29999999999999993,,0,0.0,99,0,0,,,,
141,0.29500000000000004,,0,0.0,99,0,0,,,,
142,0.29000000000000004,,0,0.0,99,0,0,,,,
143,0.28500000000000003,,0,0.0,99,0,0,,,,
144,0.28,,0,0.0,99,0,0,,,,
145,0.275,,0,0.0,99,0,0,,,,
146,0.27,,0,0.0,99,0,0,,,,
147,0.265,,0,0.0,99,0,0,,,,
148,0.26,,0,0.0,99,0,0,,,,
149,0.255,,0,0.0,99,0,0,,,,
150,0.25,,0,0.0,99,0,0,,,,
151,0.245,,0,0.0,99,0,0,,,,
152,0.24,,0,0.0,99,0,0,,,,
153,0.235,,0,0.0,99,0,0,,,,
