sample,percentile,thresh_syfpeithi,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-BALBc_HTxB,1.0,18.0,0.0,0.0,124,1349
BL6-BALBc_HTxB,1.0,18.0,1.0,0.0,124,1349
BL6-BALBc_HTxB,1.0,18.0,2.0,0.0,124,1349
BL6-BALBc_HTxB,1.0,18.0,5.0,0.0,124,1349
BL6-BALBc_HTxB,0.995,8.0,0.0,-0.0005426120267946164,124,1342
BL6-BALBc_HTxB,0.995,8.0,1.0,-0.001186594411138039,124,1342
BL6-BALBc_HTxB,0.995,8.0,2.0,-0.000596125945850973,124,1342
BL6-BALBc_HTxB,0.995,8.0,5.0,-9.949511511900937e-05,124,1342
BL6-BALBc_HTxB,0.99,6.0,0.0,-0.0014445043827376203,123,1335
BL6-BALBc_HTxB,0.99,6.0,1.0,-0.0022386348799933817,123,1335
BL6-BALBc_HTxB,0.99,6.0,2.0,-0.0017597729592535069,123,1335
BL6-BALBc_HTxB,0.99,6.0,5.0,-0.0013303484197756646,123,1335
BL6-BALBc_HTxB,0.985,5.335000000000036,0.0,-0.0020357227697295407,123,1330
BL6-BALBc_HTxB,0.985,5.335000000000036,1.0,-0.002754810195481928,123,1330
BL6-BALBc_HTxB,0.985,5.335000000000036,2.0,-0.0020495039994844694,123,1330
BL6-BALBc_HTxB,0.985,5.335000000000036,5.0,-0.0014970608630482589,123,1330
BL6-BALBc_HTxB,0.98,5.0,0.0,-0.0020357227697295407,123,1330
BL6-BALBc_HTxB,0.98,5.0,1.0,-0.002754810195481928,123,1330
BL6-BALBc_HTxB,0.98,5.0,2.0,-0.0020495039994844694,123,1330
BL6-BALBc_HTxB,0.98,5.0,5.0,-0.0014970608630482589,123,1330
BL6-BALBc_HTxB,0.975,5.0,0.0,-0.0020357227697295407,123,1330
BL6-BALBc_HTxB,0.975,5.0,1.0,-0.002754810195481928,123,1330
BL6-BALBc_HTxB,0.975,5.0,2.0,-0.0020495039994844694,123,1330
BL6-BALBc_HTxB,0.975,5.0,5.0,-0.0014970608630482589,123,1330
BL6-BALBc_HTxB,0.97,4.0,0.0,-0.003903128155189924,120,1313
BL6-BALBc_HTxB,0.97,4.0,1.0,-0.004857923655699971,120,1313
BL6-BALBc_HTxB,0.97,4.0,2.0,-0.0032138099589614335,120,1313
BL6-BALBc_HTxB,0.97,4.0,5.0,-0.0021747283546404038,120,1313
BL6-BALBc_HTxB,0.965,4.0,0.0,-0.003903128155189924,120,1313
BL6-BALBc_HTxB,0.965,4.0,1.0,-0.004857923655699971,120,1313
BL6-BALBc_HTxB,0.965,4.0,2.0,-0.0032138099589614335,120,1313
BL6-BALBc_HTxB,0.965,4.0,5.0,-0.0021747283546404038,120,1313
BL6-BALBc_HTxB,0.96,4.0,0.0,-0.003903128155189924,120,1313
BL6-BALBc_HTxB,0.96,4.0,1.0,-0.004857923655699971,120,1313
BL6-BALBc_HTxB,0.96,4.0,2.0,-0.0032138099589614335,120,1313
BL6-BALBc_HTxB,0.96,4.0,5.0,-0.0021747283546404038,120,1313
BL6-BALBc_HTxB,0.955,3.0,0.0,-0.005727815478417884,116,1287
