,percentile,thresh_ly49c,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0,1.0,21.0,854,100.0,83,83,83,0.0,0.0,0.0,0.0
1,0.995,5.0,851,99.64871194379391,83,83,83,0.0,0.0,0.0009428673868932154,1.2078254711994173e-05
2,0.99,4.0,846,99.06323185011709,83,83,83,0.0,0.0,-0.0022390489393365473,-0.0009470862221058143
3,0.985,3.0,842,98.59484777517564,83,83,83,0.0,0.0,-0.0004693212433397223,-0.0013008643288334757
4,0.98,3.0,842,98.59484777517564,83,83,83,0.0,0.0,-0.0004693212433397223,-0.0013008643288334757
5,0.975,3.0,842,98.59484777517564,83,83,83,0.0,0.0,-0.0004693212433397223,-0.0013008643288334757
6,0.97,2.0,828,96.95550351288057,83,83,83,0.0,0.0,-0.007528987534214407,9.283133869201758e-05
7,0.965,2.0,828,96.95550351288057,83,83,83,0.0,0.0,-0.007528987534214407,9.283133869201758e-05
8,0.96,2.0,828,96.95550351288057,83,83,83,0.0,0.0,-0.007528987534214407,9.283133869201758e-05
9,0.955,2.0,828,96.95550351288057,83,83,83,0.0,0.0,-0.007528987534214407,9.283133869201758e-05
10,0.95,2.0,828,96.95550351288057,83,83,83,0.0,0.0,-0.007528987534214407,9.283133869201758e-05
11,0.945,2.0,828,96.95550351288057,83,83,83,0.0,0.0,-0.007528987534214407,9.283133869201758e-05
12,0.94,2.0,828,96.95550351288057,83,83,83,0.0,0.0,-0.007528987534214407,9.283133869201758e-05
13,0.935,2.0,828,96.95550351288057,83,83,83,0.0,0.0,-0.007528987534214407,9.283133869201758e-05
14,0.9299999999999999,2.0,828,96.95550351288057,83,83,83,0.0,0.0,-0.007528987534214407,9.283133869201758e-05
15,0.925,2.0,828,96.95550351288057,83,83,83,0.0,0.0,-0.007528987534214407,9.283133869201758e-05
16,0.92,1.0,793,92.85714285714286,83,83,83,3.7556043230857483e-07,0.003485979684116907,-0.010290175051169664,-0.0016958758125519065
17,0.915,1.0,793,92.85714285714286,83,83,83,3.7556043230857483e-07,0.003485979684116907,-0.010290175051169664,-0.0016958758125519065
18,0.91,1.0,793,92.85714285714286,83,83,83,3.7556043230857483e-07,0.003485979684116907,-0.010290175051169664,-0.0016958758125519065
19,0.905,1.0,793,92.85714285714286,83,83,83,3.7556043230857483e-07,0.003485979684116907,-0.010290175051169664,-0.0016958758125519065
20,0.9,1.0,793,92.85714285714286,83,83,83,3.7556043230857483e-07,0.003485979684116907,-0.010290175051169664,-0.0016958758125519065
21,0.895,1.0,793,92.85714285714286,83,83,83,3.7556043230857483e-07,0.003485979684116907,-0.010290175051169664,-0.0016958758125519065
22,0.89,1.0,793,92.85714285714286,83,83,83,3.7556043230857483e-07,0.003485979684116907,-0.010290175051169664,-0.0016958758125519065
