percentile,thresh_ly49C,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_ge5,n_common_clonotypes_ge5,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,38.0,364,100.0,22,22,22,0.0,0.0,0.0,0.0
0.995,22.035000000000025,362,99.45054945054945,22,22,22,0.0,0.0,-0.006167619057501224,0.0005996533246074538
0.99,16.0,361,99.17582417582418,22,22,22,0.0,0.0,-0.006166709431365441,0.0006228167983401751
0.985,13.220000000000027,358,98.35164835164835,22,22,22,0.0,0.0,-0.037861795778446505,-0.0036059162880969207
0.98,9.0,357,98.07692307692308,22,22,22,0.0,0.0,-0.0581625949195601,-0.002003103881345229
0.975,8.925000000000011,354,97.25274725274726,22,22,22,0.0,0.0,-0.06240633828716285,-0.003891206598801422
0.97,8.0,354,97.25274725274726,22,22,22,0.0,0.0,-0.06240633828716285,-0.003891206598801422
0.965,7.295000000000016,351,96.42857142857143,22,22,22,0.0,0.0,-0.058279764924961314,0.00043333378508045306
0.96,6.0,350,96.15384615384616,22,22,22,0.0,0.0,-0.07210138523469188,-0.0012138648573676277
0.955,5.0,348,95.6043956043956,22,22,22,8.719415425112453e-05,0.01808184910058132,-0.09951811363264483,-0.0035517318468736873
0.95,5.0,348,95.6043956043956,22,22,22,8.719415425112453e-05,0.01808184910058132,-0.09951811363264483,-0.0035517318468736873
0.945,5.0,348,95.6043956043956,22,22,22,8.719415425112453e-05,0.01808184910058132,-0.09951811363264483,-0.0035517318468736873
0.94,4.21999999999997,342,93.95604395604396,22,22,22,0.0006761631630054499,0.0485247983968429,-0.12252636574079644,-0.0020264221949327643
0.935,4.0,342,93.95604395604396,22,22,22,0.0006761631630054499,0.0485247983968429,-0.12252636574079644,-0.0020264221949327643
0.9299999999999999,3.589999999999975,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.925,3.0,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.92,3.0,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.915,3.0,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.91,3.0,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.905,3.0,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.9,3.0,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.895,3.0,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.89,3.0,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.885,3.0,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.88,3.0,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.875,3.0,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.87,3.0,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.865,3.0,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.86,3.0,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.855,3.0,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.85,3.0,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.845,3.0,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.84,3.0,338,92.85714285714286,22,22,22,0.0013942593351680688,0.056586604656749015,-0.12460794281759634,-0.002458113173530138
0.835,2.1049999999999613,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.83,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.825,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.8200000000000001,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.815,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.81,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.8049999999999999,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.8,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.7949999999999999,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.79,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.785,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.78,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.775,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.77,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.765,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.76,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.755,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.75,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.745,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.74,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.735,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.73,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.725,2.0,304,83.51648351648352,22,22,22,0.00456856844582576,0.12771074173219935,-0.13635905404283555,-0.03616284290989253
0.72,1.0,263,72.25274725274726,22,21,21,0.016420747251610024,0.22369746053889256,-0.23288868943114713,-0.05727214139695537
0.715,1.0,263,72.25274725274726,22,21,21,0.016420747251610024,0.22369746053889256,-0.23288868943114713,-0.05727214139695537
0.71,1.0,263,72.25274725274726,22,21,21,0.016420747251610024,0.22369746053889256,-0.23288868943114713,-0.05727214139695537
0.7050000000000001,1.0,263,72.25274725274726,22,21,21,0.016420747251610024,0.22369746053889256,-0.23288868943114713,-0.05727214139695537
