percentile,thresh_tcrbeta,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,0.0,331,100.0,27,27,27,0.0,0.0,0.0,0.0
0.995,0.0,331,100.0,27,27,27,0.0,0.0,0.0,0.0
0.99,0.0,331,100.0,27,27,27,0.0,0.0,0.0,0.0
0.985,0.6700000000000053,328,99.09365558912387,27,27,27,0.0,0.0,0.006793933275323351,-0.0013861209051998153
0.98,1.0,328,99.09365558912387,27,27,27,0.0,0.0,0.006793933275323351,-0.0013861209051998153
0.975,1.0,328,99.09365558912387,27,27,27,0.0,0.0,0.006793933275323351,-0.0013861209051998153
0.97,1.0,328,99.09365558912387,27,27,27,0.0,0.0,0.006793933275323351,-0.0013861209051998153
0.965,1.0,328,99.09365558912387,27,27,27,0.0,0.0,0.006793933275323351,-0.0013861209051998153
0.96,1.0,328,99.09365558912387,27,27,27,0.0,0.0,0.006793933275323351,-0.0013861209051998153
0.955,1.0100000000000158,316,95.46827794561933,27,26,26,0.0,0.0,0.007776589915227108,-0.0019706537616108713
0.95,2.0,316,95.46827794561933,27,26,26,0.0,0.0,0.007776589915227108,-0.0019706537616108713
0.945,2.0,316,95.46827794561933,27,26,26,0.0,0.0,0.007776589915227108,-0.0019706537616108713
0.94,2.0,316,95.46827794561933,27,26,26,0.0,0.0,0.007776589915227108,-0.0019706537616108713
0.935,2.0,316,95.46827794561933,27,26,26,0.0,0.0,0.007776589915227108,-0.0019706537616108713
0.9299999999999999,2.0,316,95.46827794561933,27,26,26,0.0,0.0,0.007776589915227108,-0.0019706537616108713
0.925,2.0,316,95.46827794561933,27,26,26,0.0,0.0,0.007776589915227108,-0.0019706537616108713
0.92,2.0,316,95.46827794561933,27,26,26,0.0,0.0,0.007776589915227108,-0.0019706537616108713
0.915,3.0,302,91.23867069486406,27,26,26,0.002075325753491508,0.08099450627408382,0.0013772909077576928,0.0019392833590022476
0.91,3.0,302,91.23867069486406,27,26,26,0.002075325753491508,0.08099450627408382,0.0013772909077576928,0.0019392833590022476
0.905,3.0,302,91.23867069486406,27,26,26,0.002075325753491508,0.08099450627408382,0.0013772909077576928,0.0019392833590022476
0.9,3.0,302,91.23867069486406,27,26,26,0.002075325753491508,0.08099450627408382,0.0013772909077576928,0.0019392833590022476
0.895,3.0,302,91.23867069486406,27,26,26,0.002075325753491508,0.08099450627408382,0.0013772909077576928,0.0019392833590022476
0.89,3.0,302,91.23867069486406,27,26,26,0.002075325753491508,0.08099450627408382,0.0013772909077576928,0.0019392833590022476
0.885,3.0,302,91.23867069486406,27,26,26,0.002075325753491508,0.08099450627408382,0.0013772909077576928,0.0019392833590022476
0.88,3.0,302,91.23867069486406,27,26,26,0.002075325753491508,0.08099450627408382,0.0013772909077576928,0.0019392833590022476
0.875,3.0,302,91.23867069486406,27,26,26,0.002075325753491508,0.08099450627408382,0.0013772909077576928,0.0019392833590022476
0.87,3.0,302,91.23867069486406,27,26,26,0.002075325753491508,0.08099450627408382,0.0013772909077576928,0.0019392833590022476
0.865,3.0,302,91.23867069486406,27,26,26,0.002075325753491508,0.08099450627408382,0.0013772909077576928,0.0019392833590022476
0.86,3.0,302,91.23867069486406,27,26,26,0.002075325753491508,0.08099450627408382,0.0013772909077576928,0.0019392833590022476
0.855,3.0,302,91.23867069486406,27,26,26,0.002075325753491508,0.08099450627408382,0.0013772909077576928,0.0019392833590022476
0.85,4.0,279,84.29003021148036,27,25,25,0.008473351829527132,0.15323565323565322,0.01435148589997843,0.0029534041377919534
0.845,4.0,279,84.29003021148036,27,25,25,0.008473351829527132,0.15323565323565322,0.01435148589997843,0.0029534041377919534
0.84,4.0,279,84.29003021148036,27,25,25,0.008473351829527132,0.15323565323565322,0.01435148589997843,0.0029534041377919534
0.835,4.0,279,84.29003021148036,27,25,25,0.008473351829527132,0.15323565323565322,0.01435148589997843,0.0029534041377919534
0.83,4.260000000000019,270,81.57099697885197,27,23,23,0.008473351829527132,0.15323565323565322,0.04001403083952872,0.0022140624714784714
0.825,5.0,270,81.57099697885197,27,23,23,0.008473351829527132,0.15323565323565322,0.04001403083952872,0.0022140624714784714
0.8200000000000001,5.0,270,81.57099697885197,27,23,23,0.008473351829527132,0.15323565323565322,0.04001403083952872,0.0022140624714784714
0.815,5.0,270,81.57099697885197,27,23,23,0.008473351829527132,0.15323565323565322,0.04001403083952872,0.0022140624714784714
0.81,5.0,270,81.57099697885197,27,23,23,0.008473351829527132,0.15323565323565322,0.04001403083952872,0.0022140624714784714
0.8049999999999999,5.0,270,81.57099697885197,27,23,23,0.008473351829527132,0.15323565323565322,0.04001403083952872,0.0022140624714784714
0.8,5.0,270,81.57099697885197,27,23,23,0.008473351829527132,0.15323565323565322,0.04001403083952872,0.0022140624714784714
0.7949999999999999,5.0,270,81.57099697885197,27,23,23,0.008473351829527132,0.15323565323565322,0.04001403083952872,0.0022140624714784714
0.79,5.379999999999981,256,77.34138972809667,27,23,23,0.016113932894975536,0.2102707091545489,0.051151679528925645,0.015879322214051573
0.785,6.0,256,77.34138972809667,27,23,23,0.016113932894975536,0.2102707091545489,0.051151679528925645,0.015879322214051573
0.78,6.0,256,77.34138972809667,27,23,23,0.016113932894975536,0.2102707091545489,0.051151679528925645,0.015879322214051573
0.775,6.0,256,77.34138972809667,27,23,23,0.016113932894975536,0.2102707091545489,0.051151679528925645,0.015879322214051573
0.77,6.0,256,77.34138972809667,27,23,23,0.016113932894975536,0.2102707091545489,0.051151679528925645,0.015879322214051573
0.765,6.0,256,77.34138972809667,27,23,23,0.016113932894975536,0.2102707091545489,0.051151679528925645,0.015879322214051573
0.76,6.0,256,77.34138972809667,27,23,23,0.016113932894975536,0.2102707091545489,0.051151679528925645,0.015879322214051573
0.755,6.0,256,77.34138972809667,27,23,23,0.016113932894975536,0.2102707091545489,0.051151679528925645,0.015879322214051573
0.75,6.0,256,77.34138972809667,27,23,23,0.016113932894975536,0.2102707091545489,0.051151679528925645,0.015879322214051573
0.745,6.390000000000001,239,72.20543806646526,27,21,21,0.022446921013232313,0.23126423902894488,0.0643378386984837,0.017359017926161673
0.74,7.0,239,72.20543806646526,27,21,21,0.022446921013232313,0.23126423902894488,0.0643378386984837,0.017359017926161673
0.735,7.0,239,72.20543806646526,27,21,21,0.022446921013232313,0.23126423902894488,0.0643378386984837,0.017359017926161673
0.73,7.0,239,72.20543806646526,27,21,21,0.022446921013232313,0.23126423902894488,0.0643378386984837,0.017359017926161673
0.725,7.0,239,72.20543806646526,27,21,21,0.022446921013232313,0.23126423902894488,0.0643378386984837,0.017359017926161673
0.72,7.0,239,72.20543806646526,27,21,21,0.022446921013232313,0.23126423902894488,0.0643378386984837,0.017359017926161673
0.715,7.0,239,72.20543806646526,27,21,21,0.022446921013232313,0.23126423902894488,0.0643378386984837,0.017359017926161673
0.71,7.0,239,72.20543806646526,27,21,21,0.022446921013232313,0.23126423902894488,0.0643378386984837,0.017359017926161673
0.7050000000000001,7.0,239,72.20543806646526,27,21,21,0.022446921013232313,0.23126423902894488,0.0643378386984837,0.017359017926161673
0.7,7.0,239,72.20543806646526,27,21,21,0.022446921013232313,0.23126423902894488,0.0643378386984837,0.017359017926161673
0.6950000000000001,7.0,239,72.20543806646526,27,21,21,0.022446921013232313,0.23126423902894488,0.0643378386984837,0.017359017926161673
0.69,7.0,239,72.20543806646526,27,21,21,0.022446921013232313,0.23126423902894488,0.0643378386984837,0.017359017926161673
0.685,7.069999999999979,218,65.86102719033232,27,17,17,0.022106160276064157,0.2263178850135372,0.08796374992700831,0.01314825746465243
0.6799999999999999,8.0,218,65.86102719033232,27,17,17,0.022106160276064157,0.2263178850135372,0.08796374992700831,0.01314825746465243
0.675,8.0,218,65.86102719033232,27,17,17,0.022106160276064157,0.2263178850135372,0.08796374992700831,0.01314825746465243
0.6699999999999999,8.0,218,65.86102719033232,27,17,17,0.022106160276064157,0.2263178850135372,0.08796374992700831,0.01314825746465243
0.665,8.0,218,65.86102719033232,27,17,17,0.022106160276064157,0.2263178850135372,0.08796374992700831,0.01314825746465243
0.6599999999999999,8.0,218,65.86102719033232,27,17,17,0.022106160276064157,0.2263178850135372,0.08796374992700831,0.01314825746465243
0.655,8.0,218,65.86102719033232,27,17,17,0.022106160276064157,0.2263178850135372,0.08796374992700831,0.01314825746465243
0.6499999999999999,8.0,218,65.86102719033232,27,17,17,0.022106160276064157,0.2263178850135372,0.08796374992700831,0.01314825746465243
0.645,8.0,218,65.86102719033232,27,17,17,0.022106160276064157,0.2263178850135372,0.08796374992700831,0.01314825746465243
0.64,9.0,204,61.631419939577036,27,16,16,0.024744536119053584,0.24514963352001606,0.13024095088188045,0.020341214997921946
0.635,9.0,204,61.631419939577036,27,16,16,0.024744536119053584,0.24514963352001606,0.13024095088188045,0.020341214997921946
0.63,9.0,204,61.631419939577036,27,16,16,0.024744536119053584,0.24514963352001606,0.13024095088188045,0.020341214997921946
0.625,9.0,204,61.631419939577036,27,16,16,0.024744536119053584,0.24514963352001606,0.13024095088188045,0.020341214997921946
0.62,9.0,204,61.631419939577036,27,16,16,0.024744536119053584,0.24514963352001606,0.13024095088188045,0.020341214997921946
0.615,9.0,204,61.631419939577036,27,16,16,0.024744536119053584,0.24514963352001606,0.13024095088188045,0.020341214997921946
0.61,9.0,204,61.631419939577036,27,16,16,0.024744536119053584,0.24514963352001606,0.13024095088188045,0.020341214997921946
0.605,9.0,204,61.631419939577036,27,16,16,0.024744536119053584,0.24514963352001606,0.13024095088188045,0.020341214997921946
0.6,9.200000000000017,192,58.00604229607251,27,16,16,0.03828110501781867,0.2733648516590773,0.15050938312855855,0.027356192622993766
0.595,10.0,192,58.00604229607251,27,16,16,0.03828110501781867,0.2733648516590773,0.15050938312855855,0.027356192622993766
0.59,10.0,192,58.00604229607251,27,16,16,0.03828110501781867,0.2733648516590773,0.15050938312855855,0.027356192622993766
0.585,10.0,192,58.00604229607251,27,16,16,0.03828110501781867,0.2733648516590773,0.15050938312855855,0.027356192622993766
0.5800000000000001,10.0,192,58.00604229607251,27,16,16,0.03828110501781867,0.2733648516590773,0.15050938312855855,0.027356192622993766
0.575,10.0,192,58.00604229607251,27,16,16,0.03828110501781867,0.2733648516590773,0.15050938312855855,0.027356192622993766
0.5700000000000001,11.0,183,55.28700906344411,27,16,16,0.04410337003034909,0.32806019325627167,0.12195878587739309,0.028157640125591188
0.565,11.0,183,55.28700906344411,27,16,16,0.04410337003034909,0.32806019325627167,0.12195878587739309,0.028157640125591188
0.56,11.0,183,55.28700906344411,27,16,16,0.04410337003034909,0.32806019325627167,0.12195878587739309,0.028157640125591188
0.5549999999999999,11.0,183,55.28700906344411,27,16,16,0.04410337003034909,0.32806019325627167,0.12195878587739309,0.028157640125591188
0.55,11.0,183,55.28700906344411,27,16,16,0.04410337003034909,0.32806019325627167,0.12195878587739309,0.028157640125591188
0.5449999999999999,11.0,183,55.28700906344411,27,16,16,0.04410337003034909,0.32806019325627167,0.12195878587739309,0.028157640125591188
0.54,11.0,183,55.28700906344411,27,16,16,0.04410337003034909,0.32806019325627167,0.12195878587739309,0.028157640125591188
0.5349999999999999,11.0,183,55.28700906344411,27,16,16,0.04410337003034909,0.32806019325627167,0.12195878587739309,0.028157640125591188
0.53,11.0,183,55.28700906344411,27,16,16,0.04410337003034909,0.32806019325627167,0.12195878587739309,0.028157640125591188
0.5249999999999999,11.55000000000004,166,50.151057401812686,27,11,11,0.03863060718815625,0.2827483212916598,0.16828310114004008,0.016590649098480213
0.52,12.0,166,50.151057401812686,27,11,11,0.03863060718815625,0.2827483212916598,0.16828310114004008,0.016590649098480213
0.515,12.0,166,50.151057401812686,27,11,11,0.03863060718815625,0.2827483212916598,0.16828310114004008,0.016590649098480213
0.51,12.0,166,50.151057401812686,27,11,11,0.03863060718815625,0.2827483212916598,0.16828310114004008,0.016590649098480213
0.505,12.0,166,50.151057401812686,27,11,11,0.03863060718815625,0.2827483212916598,0.16828310114004008,0.016590649098480213
0.5,12.0,166,50.151057401812686,27,11,11,0.03863060718815625,0.2827483212916598,0.16828310114004008,0.016590649098480213
0.495,12.0,166,50.151057401812686,27,11,11,0.03863060718815625,0.2827483212916598,0.16828310114004008,0.016590649098480213
0.49,12.780000000000001,155,46.82779456193354,27,11,11,0.03871147713478007,0.3076787410120744,0.16951736798201733,0.01444320992353585
0.485,13.0,155,46.82779456193354,27,11,11,0.03871147713478007,0.3076787410120744,0.16951736798201733,0.01444320992353585
0.48,13.0,155,46.82779456193354,27,11,11,0.03871147713478007,0.3076787410120744,0.16951736798201733,0.01444320992353585
0.475,13.0,155,46.82779456193354,27,11,11,0.03871147713478007,0.3076787410120744,0.16951736798201733,0.01444320992353585
0.47,13.0,155,46.82779456193354,27,11,11,0.03871147713478007,0.3076787410120744,0.16951736798201733,0.01444320992353585
