sample,percentile,Ts_tcrbeta,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7A,1.0,0.0,0.0,0.0,138,4572
D7A,1.0,0.0,1.0,0.0,138,4572
D7A,1.0,0.0,2.0,0.0,138,4572
D7A,1.0,0.0,3.0,0.0,138,4572
D7A,1.0,0.0,4.0,0.0,138,4572
D7A,1.0,0.0,5.0,0.0,138,4572
D7A,0.995,0.0,0.0,0.0,138,4572
D7A,0.995,0.0,1.0,0.0,138,4572
D7A,0.995,0.0,2.0,0.0,138,4572
D7A,0.995,0.0,3.0,0.0,138,4572
D7A,0.995,0.0,4.0,0.0,138,4572
D7A,0.995,0.0,5.0,0.0,138,4572
D7A,0.99,0.0,0.0,0.0,138,4572
D7A,0.99,0.0,1.0,0.0,138,4572
D7A,0.99,0.0,2.0,0.0,138,4572
D7A,0.99,0.0,3.0,0.0,138,4572
D7A,0.99,0.0,4.0,0.0,138,4572
D7A,0.99,0.0,5.0,0.0,138,4572
D7A,0.985,0.0,0.0,0.0,138,4572
D7A,0.985,0.0,1.0,0.0,138,4572
D7A,0.985,0.0,2.0,0.0,138,4572
D7A,0.985,0.0,3.0,0.0,138,4572
D7A,0.985,0.0,4.0,0.0,138,4572
D7A,0.985,0.0,5.0,0.0,138,4572
D7A,0.98,1.0,0.0,0.009599548352394125,138,4494
D7A,0.98,1.0,1.0,0.008809066523444185,138,4494
D7A,0.98,1.0,2.0,0.008177036056872266,138,4494
D7A,0.98,1.0,3.0,0.007732846409003331,138,4494
D7A,0.98,1.0,4.0,0.007426123149563171,138,4494
D7A,0.98,1.0,5.0,0.0072115354065279275,138,4494
D7A,0.975,1.0,0.0,0.009599548352394125,138,4494
D7A,0.975,1.0,1.0,0.008809066523444185,138,4494
D7A,0.975,1.0,2.0,0.008177036056872266,138,4494
D7A,0.975,1.0,3.0,0.007732846409003331,138,4494
D7A,0.975,1.0,4.0,0.007426123149563171,138,4494
D7A,0.975,1.0,5.0,0.0072115354065279275,138,4494
D7A,0.97,1.0,0.0,0.009599548352394125,138,4494
D7A,0.97,1.0,1.0,0.008809066523444185,138,4494
D7A,0.97,1.0,2.0,0.008177036056872266,138,4494
D7A,0.97,1.0,3.0,0.007732846409003331,138,4494
D7A,0.97,1.0,4.0,0.007426123149563171,138,4494
D7A,0.97,1.0,5.0,0.0072115354065279275,138,4494
D7A,0.965,1.0,0.0,0.009599548352394125,138,4494
D7A,0.965,1.0,1.0,0.008809066523444185,138,4494
D7A,0.965,1.0,2.0,0.008177036056872266,138,4494
D7A,0.965,1.0,3.0,0.007732846409003331,138,4494
D7A,0.965,1.0,4.0,0.007426123149563171,138,4494
D7A,0.965,1.0,5.0,0.0072115354065279275,138,4494
D7A,0.96,1.0,0.0,0.009599548352394125,138,4494
D7A,0.96,1.0,1.0,0.008809066523444185,138,4494
D7A,0.96,1.0,2.0,0.008177036056872266,138,4494
D7A,0.96,1.0,3.0,0.007732846409003331,138,4494
D7A,0.96,1.0,4.0,0.007426123149563171,138,4494
D7A,0.96,1.0,5.0,0.0072115354065279275,138,4494
D7A,0.955,2.0,0.0,0.02674421966171091,133,4368
D7A,0.955,2.0,1.0,0.022750143389814924,133,4368
D7A,0.955,2.0,2.0,0.02058664347453061,133,4368
D7A,0.955,2.0,3.0,0.019349344651794897,133,4368
D7A,0.955,2.0,4.0,0.018564977374111682,133,4368
D7A,0.955,2.0,5.0,0.018031233769067893,133,4368
D7A,0.95,2.0,0.0,0.02674421966171091,133,4368
D7A,0.95,2.0,1.0,0.022750143389814924,133,4368
D7A,0.95,2.0,2.0,0.02058664347453061,133,4368
D7A,0.95,2.0,3.0,0.019349344651794897,133,4368
D7A,0.95,2.0,4.0,0.018564977374111682,133,4368
D7A,0.95,2.0,5.0,0.018031233769067893,133,4368
D7A,0.945,2.0,0.0,0.02674421966171091,133,4368
D7A,0.945,2.0,1.0,0.022750143389814924,133,4368
D7A,0.945,2.0,2.0,0.02058664347453061,133,4368
D7A,0.945,2.0,3.0,0.019349344651794897,133,4368
D7A,0.945,2.0,4.0,0.018564977374111682,133,4368
D7A,0.945,2.0,5.0,0.018031233769067893,133,4368
D7A,0.94,2.0,0.0,0.02674421966171091,133,4368
D7A,0.94,2.0,1.0,0.022750143389814924,133,4368
D7A,0.94,2.0,2.0,0.02058664347453061,133,4368
D7A,0.94,2.0,3.0,0.019349344651794897,133,4368
D7A,0.94,2.0,4.0,0.018564977374111682,133,4368
D7A,0.94,2.0,5.0,0.018031233769067893,133,4368
D7A,0.935,2.0,0.0,0.02674421966171091,133,4368
D7A,0.935,2.0,1.0,0.022750143389814924,133,4368
D7A,0.935,2.0,2.0,0.02058664347453061,133,4368
D7A,0.935,2.0,3.0,0.019349344651794897,133,4368
D7A,0.935,2.0,4.0,0.018564977374111682,133,4368
D7A,0.935,2.0,5.0,0.018031233769067893,133,4368
D7A,0.9299999999999999,2.0,0.0,0.02674421966171091,133,4368
D7A,0.9299999999999999,2.0,1.0,0.022750143389814924,133,4368
D7A,0.9299999999999999,2.0,2.0,0.02058664347453061,133,4368
D7A,0.9299999999999999,2.0,3.0,0.019349344651794897,133,4368
D7A,0.9299999999999999,2.0,4.0,0.018564977374111682,133,4368
D7A,0.9299999999999999,2.0,5.0,0.018031233769067893,133,4368
D7A,0.925,2.0,0.0,0.02674421966171091,133,4368
D7A,0.925,2.0,1.0,0.022750143389814924,133,4368
D7A,0.925,2.0,2.0,0.02058664347453061,133,4368
D7A,0.925,2.0,3.0,0.019349344651794897,133,4368
D7A,0.925,2.0,4.0,0.018564977374111682,133,4368
D7A,0.925,2.0,5.0,0.018031233769067893,133,4368
D7A,0.92,3.0,0.0,0.033164755999872564,131,4212
D7A,0.92,3.0,1.0,0.02832552495896603,131,4212
D7A,0.92,3.0,2.0,0.026076577106010697,131,4212
D7A,0.92,3.0,3.0,0.024830640946033142,131,4212
D7A,0.92,3.0,4.0,0.02399857234281349,131,4212
D7A,0.92,3.0,5.0,0.023402816889444795,131,4212
D7A,0.915,3.0,0.0,0.033164755999872564,131,4212
D7A,0.915,3.0,1.0,0.02832552495896603,131,4212
D7A,0.915,3.0,2.0,0.026076577106010697,131,4212
D7A,0.915,3.0,3.0,0.024830640946033142,131,4212
D7A,0.915,3.0,4.0,0.02399857234281349,131,4212
D7A,0.915,3.0,5.0,0.023402816889444795,131,4212
D7A,0.91,3.0,0.0,0.033164755999872564,131,4212
D7A,0.91,3.0,1.0,0.02832552495896603,131,4212
D7A,0.91,3.0,2.0,0.026076577106010697,131,4212
D7A,0.91,3.0,3.0,0.024830640946033142,131,4212
D7A,0.91,3.0,4.0,0.02399857234281349,131,4212
D7A,0.91,3.0,5.0,0.023402816889444795,131,4212
D7A,0.905,3.0,0.0,0.033164755999872564,131,4212
D7A,0.905,3.0,1.0,0.02832552495896603,131,4212
D7A,0.905,3.0,2.0,0.026076577106010697,131,4212
D7A,0.905,3.0,3.0,0.024830640946033142,131,4212
D7A,0.905,3.0,4.0,0.02399857234281349,131,4212
D7A,0.905,3.0,5.0,0.023402816889444795,131,4212
D7A,0.9,3.0,0.0,0.033164755999872564,131,4212
D7A,0.9,3.0,1.0,0.02832552495896603,131,4212
D7A,0.9,3.0,2.0,0.026076577106010697,131,4212
D7A,0.9,3.0,3.0,0.024830640946033142,131,4212
D7A,0.9,3.0,4.0,0.02399857234281349,131,4212
D7A,0.9,3.0,5.0,0.023402816889444795,131,4212
D7A,0.895,3.0,0.0,0.033164755999872564,131,4212
D7A,0.895,3.0,1.0,0.02832552495896603,131,4212
D7A,0.895,3.0,2.0,0.026076577106010697,131,4212
D7A,0.895,3.0,3.0,0.024830640946033142,131,4212
D7A,0.895,3.0,4.0,0.02399857234281349,131,4212
D7A,0.895,3.0,5.0,0.023402816889444795,131,4212
D7A,0.89,3.0,0.0,0.033164755999872564,131,4212
D7A,0.89,3.0,1.0,0.02832552495896603,131,4212
D7A,0.89,3.0,2.0,0.026076577106010697,131,4212
D7A,0.89,3.0,3.0,0.024830640946033142,131,4212
D7A,0.89,3.0,4.0,0.02399857234281349,131,4212
D7A,0.89,3.0,5.0,0.023402816889444795,131,4212
D7A,0.885,3.0,0.0,0.033164755999872564,131,4212
D7A,0.885,3.0,1.0,0.02832552495896603,131,4212
D7A,0.885,3.0,2.0,0.026076577106010697,131,4212
D7A,0.885,3.0,3.0,0.024830640946033142,131,4212
D7A,0.885,3.0,4.0,0.02399857234281349,131,4212
D7A,0.885,3.0,5.0,0.023402816889444795,131,4212
D7A,0.88,3.0,0.0,0.033164755999872564,131,4212
D7A,0.88,3.0,1.0,0.02832552495896603,131,4212
D7A,0.88,3.0,2.0,0.026076577106010697,131,4212
D7A,0.88,3.0,3.0,0.024830640946033142,131,4212
D7A,0.88,3.0,4.0,0.02399857234281349,131,4212
D7A,0.88,3.0,5.0,0.023402816889444795,131,4212
D7A,0.875,4.0,0.0,0.052570056680807595,124,4022
D7A,0.875,4.0,1.0,0.04314710154870365,124,4022
D7A,0.875,4.0,2.0,0.038996662014035434,124,4022
D7A,0.875,4.0,3.0,0.03690945850385445,124,4022
D7A,0.875,4.0,4.0,0.03561248402979878,124,4022
D7A,0.875,4.0,5.0,0.034717951499951084,124,4022
D7A,0.87,4.0,0.0,0.052570056680807595,124,4022
D7A,0.87,4.0,1.0,0.04314710154870365,124,4022
D7A,0.87,4.0,2.0,0.038996662014035434,124,4022
D7A,0.87,4.0,3.0,0.03690945850385445,124,4022
D7A,0.87,4.0,4.0,0.03561248402979878,124,4022
D7A,0.87,4.0,5.0,0.034717951499951084,124,4022
D7A,0.865,4.0,0.0,0.052570056680807595,124,4022
D7A,0.865,4.0,1.0,0.04314710154870365,124,4022
D7A,0.865,4.0,2.0,0.038996662014035434,124,4022
D7A,0.865,4.0,3.0,0.03690945850385445,124,4022
D7A,0.865,4.0,4.0,0.03561248402979878,124,4022
D7A,0.865,4.0,5.0,0.034717951499951084,124,4022
D7A,0.86,4.0,0.0,0.052570056680807595,124,4022
D7A,0.86,4.0,1.0,0.04314710154870365,124,4022
D7A,0.86,4.0,2.0,0.038996662014035434,124,4022
D7A,0.86,4.0,3.0,0.03690945850385445,124,4022
D7A,0.86,4.0,4.0,0.03561248402979878,124,4022
D7A,0.86,4.0,5.0,0.034717951499951084,124,4022
D7A,0.855,4.0,0.0,0.052570056680807595,124,4022
D7A,0.855,4.0,1.0,0.04314710154870365,124,4022
D7A,0.855,4.0,2.0,0.038996662014035434,124,4022
D7A,0.855,4.0,3.0,0.03690945850385445,124,4022
