sample,percentile,thresh_tcrbeta,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7B,1.0,0.0,0.0,0.0,156,2476
D7B,1.0,0.0,1.0,0.0,156,2476
D7B,1.0,0.0,2.0,0.0,156,2476
D7B,1.0,0.0,3.0,0.0,156,2476
D7B,1.0,0.0,4.0,0.0,156,2476
D7B,1.0,0.0,5.0,0.0,156,2476
D7B,0.995,0.0,0.0,0.0,156,2476
D7B,0.995,0.0,1.0,0.0,156,2476
D7B,0.995,0.0,2.0,0.0,156,2476
D7B,0.995,0.0,3.0,0.0,156,2476
D7B,0.995,0.0,4.0,0.0,156,2476
D7B,0.995,0.0,5.0,0.0,156,2476
D7B,0.99,0.0,0.0,0.0,156,2476
D7B,0.99,0.0,1.0,0.0,156,2476
D7B,0.99,0.0,2.0,0.0,156,2476
D7B,0.99,0.0,3.0,0.0,156,2476
D7B,0.99,0.0,4.0,0.0,156,2476
D7B,0.99,0.0,5.0,0.0,156,2476
D7B,0.985,1.0,0.0,0.00740348287962793,156,2435
D7B,0.985,1.0,1.0,0.005275267935528459,156,2435
D7B,0.985,1.0,2.0,0.004220518393770576,156,2435
D7B,0.985,1.0,3.0,0.0037486344577570396,156,2435
D7B,0.985,1.0,4.0,0.0034980195638373425,156,2435
D7B,0.985,1.0,5.0,0.003344180226526604,156,2435
D7B,0.98,1.0,0.0,0.00740348287962793,156,2435
D7B,0.98,1.0,1.0,0.005275267935528459,156,2435
D7B,0.98,1.0,2.0,0.004220518393770576,156,2435
D7B,0.98,1.0,3.0,0.0037486344577570396,156,2435
D7B,0.98,1.0,4.0,0.0034980195638373425,156,2435
D7B,0.98,1.0,5.0,0.003344180226526604,156,2435
D7B,0.975,1.0,0.0,0.00740348287962793,156,2435
D7B,0.975,1.0,1.0,0.005275267935528459,156,2435
D7B,0.975,1.0,2.0,0.004220518393770576,156,2435
D7B,0.975,1.0,3.0,0.0037486344577570396,156,2435
D7B,0.975,1.0,4.0,0.0034980195638373425,156,2435
D7B,0.975,1.0,5.0,0.003344180226526604,156,2435
D7B,0.97,1.0,0.0,0.00740348287962793,156,2435
D7B,0.97,1.0,1.0,0.005275267935528459,156,2435
D7B,0.97,1.0,2.0,0.004220518393770576,156,2435
D7B,0.97,1.0,3.0,0.0037486344577570396,156,2435
D7B,0.97,1.0,4.0,0.0034980195638373425,156,2435
D7B,0.97,1.0,5.0,0.003344180226526604,156,2435
D7B,0.965,1.0,0.0,0.00740348287962793,156,2435
D7B,0.965,1.0,1.0,0.005275267935528459,156,2435
D7B,0.965,1.0,2.0,0.004220518393770576,156,2435
D7B,0.965,1.0,3.0,0.0037486344577570396,156,2435
D7B,0.965,1.0,4.0,0.0034980195638373425,156,2435
D7B,0.965,1.0,5.0,0.003344180226526604,156,2435
D7B,0.96,2.0,0.0,0.014705253269961869,152,2368
D7B,0.96,2.0,1.0,0.012374668576102888,152,2368
D7B,0.96,2.0,2.0,0.010807563373502723,152,2368
D7B,0.96,2.0,3.0,0.009849306425230412,152,2368
D7B,0.96,2.0,4.0,0.0092505577382173,152,2368
D7B,0.96,2.0,5.0,0.00885335664793732,152,2368
D7B,0.955,2.0,0.0,0.014705253269961869,152,2368
D7B,0.955,2.0,1.0,0.012374668576102888,152,2368
D7B,0.955,2.0,2.0,0.010807563373502723,152,2368
D7B,0.955,2.0,3.0,0.009849306425230412,152,2368
D7B,0.955,2.0,4.0,0.0092505577382173,152,2368
D7B,0.955,2.0,5.0,0.00885335664793732,152,2368
D7B,0.95,2.0,0.0,0.014705253269961869,152,2368
D7B,0.95,2.0,1.0,0.012374668576102888,152,2368
D7B,0.95,2.0,2.0,0.010807563373502723,152,2368
D7B,0.95,2.0,3.0,0.009849306425230412,152,2368
D7B,0.95,2.0,4.0,0.0092505577382173,152,2368
D7B,0.95,2.0,5.0,0.00885335664793732,152,2368
D7B,0.945,2.0,0.0,0.014705253269961869,152,2368
D7B,0.945,2.0,1.0,0.012374668576102888,152,2368
D7B,0.945,2.0,2.0,0.010807563373502723,152,2368
D7B,0.945,2.0,3.0,0.009849306425230412,152,2368
D7B,0.945,2.0,4.0,0.0092505577382173,152,2368
D7B,0.945,2.0,5.0,0.00885335664793732,152,2368
D7B,0.94,2.0,0.0,0.014705253269961869,152,2368
D7B,0.94,2.0,1.0,0.012374668576102888,152,2368
D7B,0.94,2.0,2.0,0.010807563373502723,152,2368
D7B,0.94,2.0,3.0,0.009849306425230412,152,2368
D7B,0.94,2.0,4.0,0.0092505577382173,152,2368
D7B,0.94,2.0,5.0,0.00885335664793732,152,2368
D7B,0.935,2.0,0.0,0.014705253269961869,152,2368
D7B,0.935,2.0,1.0,0.012374668576102888,152,2368
D7B,0.935,2.0,2.0,0.010807563373502723,152,2368
D7B,0.935,2.0,3.0,0.009849306425230412,152,2368
D7B,0.935,2.0,4.0,0.0092505577382173,152,2368
D7B,0.935,2.0,5.0,0.00885335664793732,152,2368
D7B,0.9299999999999999,3.0,0.0,0.02614710643014648,148,2277
D7B,0.9299999999999999,3.0,1.0,0.021691521448840893,148,2277
D7B,0.9299999999999999,3.0,2.0,0.01884729471758902,148,2277
D7B,0.9299999999999999,3.0,3.0,0.01716315015275605,148,2277
D7B,0.9299999999999999,3.0,4.0,0.01611677741890709,148,2277
D7B,0.9299999999999999,3.0,5.0,0.015425222241310956,148,2277
D7B,0.925,3.0,0.0,0.02614710643014648,148,2277
D7B,0.925,3.0,1.0,0.021691521448840893,148,2277
D7B,0.925,3.0,2.0,0.01884729471758902,148,2277
D7B,0.925,3.0,3.0,0.01716315015275605,148,2277
D7B,0.925,3.0,4.0,0.01611677741890709,148,2277
D7B,0.925,3.0,5.0,0.015425222241310956,148,2277
D7B,0.92,3.0,0.0,0.02614710643014648,148,2277
D7B,0.92,3.0,1.0,0.021691521448840893,148,2277
D7B,0.92,3.0,2.0,0.01884729471758902,148,2277
D7B,0.92,3.0,3.0,0.01716315015275605,148,2277
D7B,0.92,3.0,4.0,0.01611677741890709,148,2277
D7B,0.92,3.0,5.0,0.015425222241310956,148,2277
D7B,0.915,3.0,0.0,0.02614710643014648,148,2277
D7B,0.915,3.0,1.0,0.021691521448840893,148,2277
D7B,0.915,3.0,2.0,0.01884729471758902,148,2277
D7B,0.915,3.0,3.0,0.01716315015275605,148,2277
D7B,0.915,3.0,4.0,0.01611677741890709,148,2277
D7B,0.915,3.0,5.0,0.015425222241310956,148,2277
D7B,0.91,3.0,0.0,0.02614710643014648,148,2277
D7B,0.91,3.0,1.0,0.021691521448840893,148,2277
D7B,0.91,3.0,2.0,0.01884729471758902,148,2277
D7B,0.91,3.0,3.0,0.01716315015275605,148,2277
D7B,0.91,3.0,4.0,0.01611677741890709,148,2277
D7B,0.91,3.0,5.0,0.015425222241310956,148,2277
D7B,0.905,3.0,0.0,0.02614710643014648,148,2277
D7B,0.905,3.0,1.0,0.021691521448840893,148,2277
D7B,0.905,3.0,2.0,0.01884729471758902,148,2277
D7B,0.905,3.0,3.0,0.01716315015275605,148,2277
D7B,0.905,3.0,4.0,0.01611677741890709,148,2277
D7B,0.905,3.0,5.0,0.015425222241310956,148,2277
D7B,0.9,3.0,0.0,0.02614710643014648,148,2277
D7B,0.9,3.0,1.0,0.021691521448840893,148,2277
D7B,0.9,3.0,2.0,0.01884729471758902,148,2277
D7B,0.9,3.0,3.0,0.01716315015275605,148,2277
