percentile,thresh_tcrbeta,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_ge5,n_common_clonotypes_ge5,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,0.0,3110,59.215536938309214,146,146,146,0.0,0.0,0.0,0.0
0.995,0.0,3110,59.215536938309214,146,146,146,0.0,0.0,0.0,0.0
0.99,0.0,3110,59.215536938309214,146,146,146,0.0,0.0,0.0,0.0
0.985,1.0,3049,58.054074638233054,146,143,143,0.0,0.0,0.00818981802159803,0.002148875135284293
0.98,1.0,3049,58.054074638233054,146,143,143,0.0,0.0,0.00818981802159803,0.002148875135284293
0.975,1.0,3049,58.054074638233054,146,143,143,0.0,0.0,0.00818981802159803,0.002148875135284293
0.97,1.0,3049,58.054074638233054,146,143,143,0.0,0.0,0.00818981802159803,0.002148875135284293
0.965,1.0,3049,58.054074638233054,146,143,143,0.0,0.0,0.00818981802159803,0.002148875135284293
0.96,2.0,2965,56.454683929931456,146,142,142,0.0,0.0,0.021921727678781967,0.005752510579708251
0.955,2.0,2965,56.454683929931456,146,142,142,0.0,0.0,0.021921727678781967,0.005752510579708251
0.95,2.0,2965,56.454683929931456,146,142,142,0.0,0.0,0.021921727678781967,0.005752510579708251
0.945,2.0,2965,56.454683929931456,146,142,142,0.0,0.0,0.021921727678781967,0.005752510579708251
0.94,2.0,2965,56.454683929931456,146,142,142,0.0,0.0,0.021921727678781967,0.005752510579708251
0.935,2.0,2965,56.454683929931456,146,142,142,0.0,0.0,0.021921727678781967,0.005752510579708251
0.9299999999999999,2.0,2965,56.454683929931456,146,142,142,0.0,0.0,0.021921727678781967,0.005752510579708251
0.925,3.0,2840,54.074638233054074,146,140,140,0.00034028478929054584,0.025699394739629778,0.02761786635618462,0.008783287147765518
0.92,3.0,2840,54.074638233054074,146,140,140,0.00034028478929054584,0.025699394739629778,0.02761786635618462,0.008783287147765518
0.915,3.0,2840,54.074638233054074,146,140,140,0.00034028478929054584,0.025699394739629778,0.02761786635618462,0.008783287147765518
0.91,3.0,2840,54.074638233054074,146,140,140,0.00034028478929054584,0.025699394739629778,0.02761786635618462,0.008783287147765518
0.905,3.0,2840,54.074638233054074,146,140,140,0.00034028478929054584,0.025699394739629778,0.02761786635618462,0.008783287147765518
0.9,3.0,2840,54.074638233054074,146,140,140,0.00034028478929054584,0.025699394739629778,0.02761786635618462,0.008783287147765518
0.895,3.0,2840,54.074638233054074,146,140,140,0.00034028478929054584,0.025699394739629778,0.02761786635618462,0.008783287147765518
0.89,3.0,2840,54.074638233054074,146,140,140,0.00034028478929054584,0.025699394739629778,0.02761786635618462,0.008783287147765518
0.885,4.0,2694,51.29474485910129,146,138,138,0.0021151168127720443,0.06942753852036535,0.03696739243597376,0.009728483161160234
