sample,percentile,Ts_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7ABC_combined,1.0,147.0,0.0,0.0,436,14194
D7ABC_combined,1.0,147.0,1.0,0.0,436,14194
D7ABC_combined,1.0,147.0,2.0,0.0,436,14194
D7ABC_combined,1.0,147.0,3.0,0.0,436,14194
D7ABC_combined,1.0,147.0,4.0,0.0,436,14194
D7ABC_combined,1.0,147.0,5.0,0.0,436,14194
D7ABC_combined,0.99,12.0,0.0,-0.007711313037619829,431,14065
D7ABC_combined,0.99,12.0,1.0,-0.005143548868739017,431,14065
D7ABC_combined,0.99,12.0,2.0,-0.003910093669337793,431,14065
D7ABC_combined,0.99,12.0,3.0,-0.003387571021845314,431,14065
D7ABC_combined,0.99,12.0,4.0,-0.003112838911033198,431,14065
D7ABC_combined,0.99,12.0,5.0,-0.0029425791635716565,431,14065
D7ABC_combined,0.98,8.0,0.0,-0.020801439535979897,426,13911
D7ABC_combined,0.98,8.0,1.0,-0.01664281376505288,426,13911
D7ABC_combined,0.98,8.0,2.0,-0.014286129206001382,426,13911
D7ABC_combined,0.98,8.0,3.0,-0.013048771635880993,426,13911
D7ABC_combined,0.98,8.0,4.0,-0.012308494255376104,426,13911
D7ABC_combined,0.98,8.0,5.0,-0.01181668321170888,426,13911
D7ABC_combined,0.97,7.0,0.0,-0.025900821768955175,423,13824
D7ABC_combined,0.97,7.0,1.0,-0.021312282504813346,423,13824
D7ABC_combined,0.97,7.0,2.0,-0.018664933265888074,423,13824
D7ABC_combined,0.97,7.0,3.0,-0.017219951692486704,423,13824
D7ABC_combined,0.97,7.0,4.0,-0.01632698301032376,423,13824
D7ABC_combined,0.97,7.0,5.0,-0.015720979191862463,423,13824
D7ABC_combined,0.96,6.0,0.0,-0.03398152150032994,421,13725
D7ABC_combined,0.96,6.0,1.0,-0.02923865718356195,421,13725
D7ABC_combined,0.96,6.0,2.0,-0.026375768248029827,421,13725
D7ABC_combined,0.96,6.0,3.0,-0.02471649918103359,421,13725
D7ABC_combined,0.96,6.0,4.0,-0.023640642895489814,421,13725
D7ABC_combined,0.96,6.0,5.0,-0.02288400404529767,421,13725
D7ABC_combined,0.95,5.0,0.0,-0.042426634998444256,415,13593
D7ABC_combined,0.95,5.0,1.0,-0.037365324110247664,415,13593
D7ABC_combined,0.95,5.0,2.0,-0.034329897663657315,415,13593
D7ABC_combined,0.95,5.0,3.0,-0.032503687752786864,415,13593
D7ABC_combined,0.95,5.0,4.0,-0.03126366573659189,415,13593
D7ABC_combined,0.95,5.0,5.0,-0.030357799779998442,415,13593
D7ABC_combined,0.94,4.0,0.0,-0.057306211912722796,411,13416
D7ABC_combined,0.94,4.0,1.0,-0.051437105874897776,411,13416
D7ABC_combined,0.94,4.0,2.0,-0.047585487195646835,411,13416
