sample,percentile,thresh_tcrbeta,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7B,1.0,0.0,0.0,0.0,139,2456
D7B,1.0,0.0,1.0,0.0,139,2456
D7B,1.0,0.0,2.0,0.0,139,2456
D7B,1.0,0.0,5.0,0.0,139,2456
D7B,0.995,0.0,0.0,0.0,139,2456
D7B,0.995,0.0,1.0,0.0,139,2456
D7B,0.995,0.0,2.0,0.0,139,2456
D7B,0.995,0.0,5.0,0.0,139,2456
D7B,0.99,0.0,0.0,0.0,139,2456
D7B,0.99,0.0,1.0,0.0,139,2456
D7B,0.99,0.0,2.0,0.0,139,2456
D7B,0.99,0.0,5.0,0.0,139,2456
D7B,0.985,1.0,0.0,0.009108876444082648,139,2415
D7B,0.985,1.0,1.0,0.00679626343918924,139,2415
D7B,0.985,1.0,2.0,0.005601534357582388,139,2415
D7B,0.985,1.0,5.0,0.004541241236890817,139,2415
D7B,0.98,1.0,0.0,0.009108876444082648,139,2415
D7B,0.98,1.0,1.0,0.00679626343918924,139,2415
D7B,0.98,1.0,2.0,0.005601534357582388,139,2415
D7B,0.98,1.0,5.0,0.004541241236890817,139,2415
D7B,0.975,1.0,0.0,0.009108876444082648,139,2415
D7B,0.975,1.0,1.0,0.00679626343918924,139,2415
D7B,0.975,1.0,2.0,0.005601534357582388,139,2415
D7B,0.975,1.0,5.0,0.004541241236890817,139,2415
D7B,0.97,1.0,0.0,0.009108876444082648,139,2415
D7B,0.97,1.0,1.0,0.00679626343918924,139,2415
D7B,0.97,1.0,2.0,0.005601534357582388,139,2415
D7B,0.97,1.0,5.0,0.004541241236890817,139,2415
D7B,0.965,2.0,0.0,0.016861178957779787,139,2355
D7B,0.965,2.0,1.0,0.013074290814789419,139,2355
D7B,0.965,2.0,2.0,0.010967817089765635,139,2355
D7B,0.965,2.0,5.0,0.00917261727187286,139,2355
D7B,0.96,2.0,0.0,0.016861178957779787,139,2355
D7B,0.96,2.0,1.0,0.013074290814789419,139,2355
D7B,0.96,2.0,2.0,0.010967817089765635,139,2355
D7B,0.96,2.0,5.0,0.00917261727187286,139,2355
D7B,0.955,2.0,0.0,0.016861178957779787,139,2355
D7B,0.955,2.0,1.0,0.013074290814789419,139,2355
D7B,0.955,2.0,2.0,0.010967817089765635,139,2355
D7B,0.955,2.0,5.0,0.00917261727187286,139,2355
D7B,0.95,2.0,0.0,0.016861178957779787,139,2355
D7B,0.95,2.0,1.0,0.013074290814789419,139,2355
D7B,0.95,2.0,2.0,0.010967817089765635,139,2355
D7B,0.95,2.0,5.0,0.00917261727187286,139,2355
D7B,0.945,2.0,0.0,0.016861178957779787,139,2355
D7B,0.945,2.0,1.0,0.013074290814789419,139,2355
D7B,0.945,2.0,2.0,0.010967817089765635,139,2355
D7B,0.945,2.0,5.0,0.00917261727187286,139,2355
D7B,0.94,2.0,0.0,0.016861178957779787,139,2355
D7B,0.94,2.0,1.0,0.013074290814789419,139,2355
D7B,0.94,2.0,2.0,0.010967817089765635,139,2355
D7B,0.94,2.0,5.0,0.00917261727187286,139,2355
D7B,0.935,3.0,0.0,0.036281149494312104,139,2260
D7B,0.935,3.0,1.0,0.029778710761620652,139,2260
D7B,0.935,3.0,2.0,0.02588033469024752,139,2260
D7B,0.935,3.0,5.0,0.021644549870063888,139,2260
D7B,0.9299999999999999,3.0,0.0,0.036281149494312104,139,2260
D7B,0.9299999999999999,3.0,1.0,0.029778710761620652,139,2260
D7B,0.9299999999999999,3.0,2.0,0.02588033469024752,139,2260
D7B,0.9299999999999999,3.0,5.0,0.021644549870063888,139,2260
D7B,0.925,3.0,0.0,0.036281149494312104,139,2260
D7B,0.925,3.0,1.0,0.029778710761620652,139,2260
D7B,0.925,3.0,2.0,0.02588033469024752,139,2260
D7B,0.925,3.0,5.0,0.021644549870063888,139,2260
D7B,0.92,3.0,0.0,0.036281149494312104,139,2260
D7B,0.92,3.0,1.0,0.029778710761620652,139,2260
D7B,0.92,3.0,2.0,0.02588033469024752,139,2260
D7B,0.92,3.0,5.0,0.021644549870063888,139,2260
D7B,0.915,3.0,0.0,0.036281149494312104,139,2260
D7B,0.915,3.0,1.0,0.029778710761620652,139,2260
D7B,0.915,3.0,2.0,0.02588033469024752,139,2260
D7B,0.915,3.0,5.0,0.021644549870063888,139,2260
D7B,0.91,3.0,0.0,0.036281149494312104,139,2260
D7B,0.91,3.0,1.0,0.029778710761620652,139,2260
D7B,0.91,3.0,2.0,0.02588033469024752,139,2260
D7B,0.91,3.0,5.0,0.021644549870063888,139,2260
D7B,0.905,3.0,0.0,0.036281149494312104,139,2260
D7B,0.905,3.0,1.0,0.029778710761620652,139,2260
D7B,0.905,3.0,2.0,0.02588033469024752,139,2260
D7B,0.905,3.0,5.0,0.021644549870063888,139,2260
D7B,0.9,4.0,0.0,0.05231260796032602,139,2148
D7B,0.9,4.0,1.0,0.04315244220692316,139,2148
D7B,0.9,4.0,2.0,0.03768063488498352,139,2148
D7B,0.9,4.0,5.0,0.031825517812866064,139,2148
D7B,0.895,4.0,0.0,0.05231260796032602,139,2148
D7B,0.895,4.0,1.0,0.04315244220692316,139,2148
D7B,0.895,4.0,2.0,0.03768063488498352,139,2148
D7B,0.895,4.0,5.0,0.031825517812866064,139,2148
D7B,0.89,4.0,0.0,0.05231260796032602,139,2148
D7B,0.89,4.0,1.0,0.04315244220692316,139,2148
D7B,0.89,4.0,2.0,0.03768063488498352,139,2148
D7B,0.89,4.0,5.0,0.031825517812866064,139,2148
D7B,0.885,4.0,0.0,0.05231260796032602,139,2148
D7B,0.885,4.0,1.0,0.04315244220692316,139,2148
D7B,0.885,4.0,2.0,0.03768063488498352,139,2148
D7B,0.885,4.0,5.0,0.031825517812866064,139,2148
D7B,0.88,4.0,0.0,0.05231260796032602,139,2148
D7B,0.88,4.0,1.0,0.04315244220692316,139,2148
D7B,0.88,4.0,2.0,0.03768063488498352,139,2148
D7B,0.88,4.0,5.0,0.031825517812866064,139,2148
D7B,0.875,4.0,0.0,0.05231260796032602,139,2148
D7B,0.875,4.0,1.0,0.04315244220692316,139,2148
D7B,0.875,4.0,2.0,0.03768063488498352,139,2148
D7B,0.875,4.0,5.0,0.031825517812866064,139,2148
D7B,0.87,4.0,0.0,0.05231260796032602,139,2148
D7B,0.87,4.0,1.0,0.04315244220692316,139,2148
D7B,0.87,4.0,2.0,0.03768063488498352,139,2148
D7B,0.87,4.0,5.0,0.031825517812866064,139,2148
D7B,0.865,5.0,0.0,0.07162019570410319,139,2040
D7B,0.865,5.0,1.0,0.058478190951763494,139,2040
D7B,0.865,5.0,2.0,0.0505652978975068,139,2040
D7B,0.865,5.0,5.0,0.04203631223842598,139,2040
D7B,0.86,5.0,0.0,0.07162019570410319,139,2040
D7B,0.86,5.0,1.0,0.058478190951763494,139,2040
D7B,0.86,5.0,2.0,0.0505652978975068,139,2040
D7B,0.86,5.0,5.0,0.04203631223842598,139,2040
D7B,0.855,5.0,0.0,0.07162019570410319,139,2040
D7B,0.855,5.0,1.0,0.058478190951763494,139,2040
D7B,0.855,5.0,2.0,0.0505652978975068,139,2040
D7B,0.855,5.0,5.0,0.04203631223842598,139,2040
D7B,0.85,5.0,0.0,0.07162019570410319,139,2040
D7B,0.85,5.0,1.0,0.058478190951763494,139,2040
D7B,0.85,5.0,2.0,0.0505652978975068,139,2040
D7B,0.85,5.0,5.0,0.04203631223842598,139,2040
D7B,0.845,5.0,0.0,0.07162019570410319,139,2040
D7B,0.845,5.0,1.0,0.058478190951763494,139,2040
D7B,0.845,5.0,2.0,0.0505652978975068,139,2040
D7B,0.845,5.0,5.0,0.04203631223842598,139,2040
D7B,0.84,5.0,0.0,0.07162019570410319,139,2040
D7B,0.84,5.0,1.0,0.058478190951763494,139,2040
D7B,0.84,5.0,2.0,0.0505652978975068,139,2040
D7B,0.84,5.0,5.0,0.04203631223842598,139,2040
D7B,0.835,5.0,0.0,0.07162019570410319,139,2040
D7B,0.835,5.0,1.0,0.058478190951763494,139,2040
D7B,0.835,5.0,2.0,0.0505652978975068,139,2040
D7B,0.835,5.0,5.0,0.04203631223842598,139,2040
D7B,0.83,5.0,0.0,0.07162019570410319,139,2040
D7B,0.83,5.0,1.0,0.058478190951763494,139,2040
D7B,0.83,5.0,2.0,0.0505652978975068,139,2040
D7B,0.83,5.0,5.0,0.04203631223842598,139,2040
D7B,0.825,6.0,0.0,0.09997085212940245,139,1912
D7B,0.825,6.0,1.0,0.08076870573430808,139,1912
D7B,0.825,6.0,2.0,0.06993044609469289,139,1912
D7B,0.825,6.0,5.0,0.05889028776579977,139,1912
D7B,0.8200000000000001,6.0,0.0,0.09997085212940245,139,1912
D7B,0.8200000000000001,6.0,1.0,0.08076870573430808,139,1912
D7B,0.8200000000000001,6.0,2.0,0.06993044609469289,139,1912
D7B,0.8200000000000001,6.0,5.0,0.05889028776579977,139,1912
D7B,0.815,6.0,0.0,0.09997085212940245,139,1912
D7B,0.815,6.0,1.0,0.08076870573430808,139,1912
D7B,0.815,6.0,2.0,0.06993044609469289,139,1912
D7B,0.815,6.0,5.0,0.05889028776579977,139,1912
D7B,0.81,6.0,0.0,0.09997085212940245,139,1912
D7B,0.81,6.0,1.0,0.08076870573430808,139,1912
D7B,0.81,6.0,2.0,0.06993044609469289,139,1912
D7B,0.81,6.0,5.0,0.05889028776579977,139,1912
D7B,0.8049999999999999,6.0,0.0,0.09997085212940245,139,1912
D7B,0.8049999999999999,6.0,1.0,0.08076870573430808,139,1912
D7B,0.8049999999999999,6.0,2.0,0.06993044609469289,139,1912
D7B,0.8049999999999999,6.0,5.0,0.05889028776579977,139,1912
D7B,0.8,6.0,0.0,0.09997085212940245,139,1912
D7B,0.8,6.0,1.0,0.08076870573430808,139,1912
D7B,0.8,6.0,2.0,0.06993044609469289,139,1912
D7B,0.8,6.0,5.0,0.05889028776579977,139,1912
D7B,0.7949999999999999,6.0,0.0,0.09997085212940245,139,1912
D7B,0.7949999999999999,6.0,1.0,0.08076870573430808,139,1912
D7B,0.7949999999999999,6.0,2.0,0.06993044609469289,139,1912
D7B,0.7949999999999999,6.0,5.0,0.05889028776579977,139,1912
D7B,0.79,7.0,0.0,0.1324979043471471,139,1801
D7B,0.79,7.0,1.0,0.11128667174095774,139,1801
D7B,0.79,7.0,2.0,0.09736033681347818,139,1801
D7B,0.79,7.0,5.0,0.08214148702990434,139,1801
D7B,0.785,7.0,0.0,0.1324979043471471,139,1801
D7B,0.785,7.0,1.0,0.11128667174095774,139,1801
D7B,0.785,7.0,2.0,0.09736033681347818,139,1801
D7B,0.785,7.0,5.0,0.08214148702990434,139,1801
D7B,0.78,7.0,0.0,0.1324979043471471,139,1801
D7B,0.78,7.0,1.0,0.11128667174095774,139,1801
D7B,0.78,7.0,2.0,0.09736033681347818,139,1801
D7B,0.78,7.0,5.0,0.08214148702990434,139,1801
D7B,0.775,7.0,0.0,0.1324979043471471,139,1801
D7B,0.775,7.0,1.0,0.11128667174095774,139,1801
D7B,0.775,7.0,2.0,0.09736033681347818,139,1801
D7B,0.775,7.0,5.0,0.08214148702990434,139,1801
D7B,0.77,7.0,0.0,0.1324979043471471,139,1801
D7B,0.77,7.0,1.0,0.11128667174095774,139,1801
D7B,0.77,7.0,2.0,0.09736033681347818,139,1801
D7B,0.77,7.0,5.0,0.08214148702990434,139,1801
D7B,0.765,7.0,0.0,0.1324979043471471,139,1801
D7B,0.765,7.0,1.0,0.11128667174095774,139,1801
D7B,0.765,7.0,2.0,0.09736033681347818,139,1801
D7B,0.765,7.0,5.0,0.08214148702990434,139,1801
D7B,0.76,7.0,0.0,0.1324979043471471,139,1801
D7B,0.76,7.0,1.0,0.11128667174095774,139,1801
D7B,0.76,7.0,2.0,0.09736033681347818,139,1801
D7B,0.76,7.0,5.0,0.08214148702990434,139,1801
D7B,0.755,7.0,0.0,0.1324979043471471,139,1801
D7B,0.755,7.0,1.0,0.11128667174095774,139,1801
D7B,0.755,7.0,2.0,0.09736033681347818,139,1801
D7B,0.755,7.0,5.0,0.08214148702990434,139,1801
D7B,0.75,8.0,0.0,0.14244598675564968,139,1701
D7B,0.75,8.0,1.0,0.11890797339595989,139,1701
D7B,0.75,8.0,2.0,0.10462859989737751,139,1701
D7B,0.75,8.0,5.0,0.08939525740695684,139,1701
D7B,0.745,8.0,0.0,0.14244598675564968,139,1701
D7B,0.745,8.0,1.0,0.11890797339595989,139,1701
D7B,0.745,8.0,2.0,0.10462859989737751,139,1701
D7B,0.745,8.0,5.0,0.08939525740695684,139,1701
D7B,0.74,8.0,0.0,0.14244598675564968,139,1701
D7B,0.74,8.0,1.0,0.11890797339595989,139,1701
D7B,0.74,8.0,2.0,0.10462859989737751,139,1701
D7B,0.74,8.0,5.0,0.08939525740695684,139,1701
D7B,0.735,8.0,0.0,0.14244598675564968,139,1701
D7B,0.735,8.0,1.0,0.11890797339595989,139,1701
D7B,0.735,8.0,2.0,0.10462859989737751,139,1701
D7B,0.735,8.0,5.0,0.08939525740695684,139,1701
D7B,0.73,8.0,0.0,0.14244598675564968,139,1701
D7B,0.73,8.0,1.0,0.11890797339595989,139,1701
D7B,0.73,8.0,2.0,0.10462859989737751,139,1701
D7B,0.73,8.0,5.0,0.08939525740695684,139,1701
D7B,0.725,8.0,0.0,0.14244598675564968,139,1701
D7B,0.725,8.0,1.0,0.11890797339595989,139,1701
D7B,0.725,8.0,2.0,0.10462859989737751,139,1701
D7B,0.725,8.0,5.0,0.08939525740695684,139,1701
D7B,0.72,8.0,0.0,0.14244598675564968,139,1701
D7B,0.72,8.0,1.0,0.11890797339595989,139,1701
D7B,0.72,8.0,2.0,0.10462859989737751,139,1701
D7B,0.72,8.0,5.0,0.08939525740695684,139,1701
D7B,0.715,8.0,0.0,0.14244598675564968,139,1701
D7B,0.715,8.0,1.0,0.11890797339595989,139,1701
D7B,0.715,8.0,2.0,0.10462859989737751,139,1701
D7B,0.715,8.0,5.0,0.08939525740695684,139,1701
D7B,0.71,9.0,0.0,0.15898747973235103,138,1590
D7B,0.71,9.0,1.0,0.1353073423353533,138,1590
D7B,0.71,9.0,2.0,0.119249771526403,138,1590
D7B,0.71,9.0,5.0,0.10154876636549967,138,1590
D7B,0.7050000000000001,9.0,0.0,0.15898747973235103,138,1590
D7B,0.7050000000000001,9.0,1.0,0.1353073423353533,138,1590
D7B,0.7050000000000001,9.0,2.0,0.119249771526403,138,1590
D7B,0.7050000000000001,9.0,5.0,0.10154876636549967,138,1590
D7B,0.7,9.0,0.0,0.15898747973235103,138,1590
D7B,0.7,9.0,1.0,0.1353073423353533,138,1590
D7B,0.7,9.0,2.0,0.119249771526403,138,1590
D7B,0.7,9.0,5.0,0.10154876636549967,138,1590
D7B,0.6950000000000001,9.0,0.0,0.15898747973235103,138,1590
D7B,0.6950000000000001,9.0,1.0,0.1353073423353533,138,1590
D7B,0.6950000000000001,9.0,2.0,0.119249771526403,138,1590
D7B,0.6950000000000001,9.0,5.0,0.10154876636549967,138,1590
D7B,0.69,9.0,0.0,0.15898747973235103,138,1590
D7B,0.69,9.0,1.0,0.1353073423353533,138,1590
