sample,percentile,thresh_tcrbeta,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7C,1.0,0.0,0.0,0.0,126,2816
D7C,1.0,0.0,1.0,0.0,126,2816
D7C,1.0,0.0,2.0,0.0,126,2816
D7C,1.0,0.0,5.0,0.0,126,2816
D7C,0.995,0.0,0.0,0.0,126,2816
D7C,0.995,0.0,1.0,0.0,126,2816
D7C,0.995,0.0,2.0,0.0,126,2816
D7C,0.995,0.0,5.0,0.0,126,2816
D7C,0.99,0.0,0.0,0.0,126,2816
D7C,0.99,0.0,1.0,0.0,126,2816
D7C,0.99,0.0,2.0,0.0,126,2816
D7C,0.99,0.0,5.0,0.0,126,2816
D7C,0.985,1.0,0.0,0.020998999106080957,126,2760
D7C,0.985,1.0,1.0,0.01798180673221275,126,2760
D7C,0.985,1.0,2.0,0.01607980323780392,126,2760
D7C,0.985,1.0,5.0,0.013799903154126308,126,2760
D7C,0.98,1.0,0.0,0.020998999106080957,126,2760
D7C,0.98,1.0,1.0,0.01798180673221275,126,2760
D7C,0.98,1.0,2.0,0.01607980323780392,126,2760
D7C,0.98,1.0,5.0,0.013799903154126308,126,2760
D7C,0.975,1.0,0.0,0.020998999106080957,126,2760
D7C,0.975,1.0,1.0,0.01798180673221275,126,2760
D7C,0.975,1.0,2.0,0.01607980323780392,126,2760
D7C,0.975,1.0,5.0,0.013799903154126308,126,2760
D7C,0.97,1.0,0.0,0.020998999106080957,126,2760
D7C,0.97,1.0,1.0,0.01798180673221275,126,2760
D7C,0.97,1.0,2.0,0.01607980323780392,126,2760
D7C,0.97,1.0,5.0,0.013799903154126308,126,2760
D7C,0.965,1.0,0.0,0.020998999106080957,126,2760
D7C,0.965,1.0,1.0,0.01798180673221275,126,2760
D7C,0.965,1.0,2.0,0.01607980323780392,126,2760
D7C,0.965,1.0,5.0,0.013799903154126308,126,2760
D7C,0.96,2.0,0.0,0.03855679576864709,126,2686
D7C,0.96,2.0,1.0,0.03260696842780052,126,2686
D7C,0.96,2.0,2.0,0.029068260961948283,126,2686
D7C,0.96,2.0,5.0,0.025035721141623852,126,2686
D7C,0.955,2.0,0.0,0.03855679576864709,126,2686
D7C,0.955,2.0,1.0,0.03260696842780052,126,2686
D7C,0.955,2.0,2.0,0.029068260961948283,126,2686
D7C,0.955,2.0,5.0,0.025035721141623852,126,2686
D7C,0.95,2.0,0.0,0.03855679576864709,126,2686
D7C,0.95,2.0,1.0,0.03260696842780052,126,2686
D7C,0.95,2.0,2.0,0.029068260961948283,126,2686
D7C,0.95,2.0,5.0,0.025035721141623852,126,2686
D7C,0.945,2.0,0.0,0.03855679576864709,126,2686
D7C,0.945,2.0,1.0,0.03260696842780052,126,2686
D7C,0.945,2.0,2.0,0.029068260961948283,126,2686
D7C,0.945,2.0,5.0,0.025035721141623852,126,2686
D7C,0.94,2.0,0.0,0.03855679576864709,126,2686
D7C,0.94,2.0,1.0,0.03260696842780052,126,2686
D7C,0.94,2.0,2.0,0.029068260961948283,126,2686
D7C,0.94,2.0,5.0,0.025035721141623852,126,2686
D7C,0.935,2.0,0.0,0.03855679576864709,126,2686
D7C,0.935,2.0,1.0,0.03260696842780052,126,2686
D7C,0.935,2.0,2.0,0.029068260961948283,126,2686
D7C,0.935,2.0,5.0,0.025035721141623852,126,2686
D7C,0.9299999999999999,3.0,0.0,0.044646362183991796,126,2573
D7C,0.9299999999999999,3.0,1.0,0.03699675593902488,126,2573
D7C,0.9299999999999999,3.0,2.0,0.0334623429716435,126,2573
D7C,0.9299999999999999,3.0,5.0,0.02932132934116114,126,2573
D7C,0.925,3.0,0.0,0.044646362183991796,126,2573
D7C,0.925,3.0,1.0,0.03699675593902488,126,2573
D7C,0.925,3.0,2.0,0.0334623429716435,126,2573
D7C,0.925,3.0,5.0,0.02932132934116114,126,2573
D7C,0.92,3.0,0.0,0.044646362183991796,126,2573
D7C,0.92,3.0,1.0,0.03699675593902488,126,2573
D7C,0.92,3.0,2.0,0.0334623429716435,126,2573
D7C,0.92,3.0,5.0,0.02932132934116114,126,2573
D7C,0.915,3.0,0.0,0.044646362183991796,126,2573
D7C,0.915,3.0,1.0,0.03699675593902488,126,2573
D7C,0.915,3.0,2.0,0.0334623429716435,126,2573
D7C,0.915,3.0,5.0,0.02932132934116114,126,2573
D7C,0.91,3.0,0.0,0.044646362183991796,126,2573
D7C,0.91,3.0,1.0,0.03699675593902488,126,2573
D7C,0.91,3.0,2.0,0.0334623429716435,126,2573
D7C,0.91,3.0,5.0,0.02932132934116114,126,2573
D7C,0.905,3.0,0.0,0.044646362183991796,126,2573
D7C,0.905,3.0,1.0,0.03699675593902488,126,2573
D7C,0.905,3.0,2.0,0.0334623429716435,126,2573
D7C,0.905,3.0,5.0,0.02932132934116114,126,2573
D7C,0.9,3.0,0.0,0.044646362183991796,126,2573
D7C,0.9,3.0,1.0,0.03699675593902488,126,2573
D7C,0.9,3.0,2.0,0.0334623429716435,126,2573
D7C,0.9,3.0,5.0,0.02932132934116114,126,2573
D7C,0.895,3.0,0.0,0.044646362183991796,126,2573
D7C,0.895,3.0,1.0,0.03699675593902488,126,2573
D7C,0.895,3.0,2.0,0.0334623429716435,126,2573
D7C,0.895,3.0,5.0,0.02932132934116114,126,2573
D7C,0.89,4.0,0.0,0.05991000109495729,126,2437
D7C,0.89,4.0,1.0,0.04937714569763759,126,2437
D7C,0.89,4.0,2.0,0.04416935369705196,126,2437
D7C,0.89,4.0,5.0,0.03852800622948905,126,2437
D7C,0.885,4.0,0.0,0.05991000109495729,126,2437
D7C,0.885,4.0,1.0,0.04937714569763759,126,2437
D7C,0.885,4.0,2.0,0.04416935369705196,126,2437
D7C,0.885,4.0,5.0,0.03852800622948905,126,2437
D7C,0.88,4.0,0.0,0.05991000109495729,126,2437
D7C,0.88,4.0,1.0,0.04937714569763759,126,2437
D7C,0.88,4.0,2.0,0.04416935369705196,126,2437
D7C,0.88,4.0,5.0,0.03852800622948905,126,2437
D7C,0.875,4.0,0.0,0.05991000109495729,126,2437
D7C,0.875,4.0,1.0,0.04937714569763759,126,2437
D7C,0.875,4.0,2.0,0.04416935369705196,126,2437
D7C,0.875,4.0,5.0,0.03852800622948905,126,2437
D7C,0.87,4.0,0.0,0.05991000109495729,126,2437
D7C,0.87,4.0,1.0,0.04937714569763759,126,2437
D7C,0.87,4.0,2.0,0.04416935369705196,126,2437
D7C,0.87,4.0,5.0,0.03852800622948905,126,2437
D7C,0.865,4.0,0.0,0.05991000109495729,126,2437
D7C,0.865,4.0,1.0,0.04937714569763759,126,2437
D7C,0.865,4.0,2.0,0.04416935369705196,126,2437
D7C,0.865,4.0,5.0,0.03852800622948905,126,2437
D7C,0.86,4.0,0.0,0.05991000109495729,126,2437
D7C,0.86,4.0,1.0,0.04937714569763759,126,2437
D7C,0.86,4.0,2.0,0.04416935369705196,126,2437
D7C,0.86,4.0,5.0,0.03852800622948905,126,2437
D7C,0.855,4.0,0.0,0.05991000109495729,126,2437
D7C,0.855,4.0,1.0,0.04937714569763759,126,2437
D7C,0.855,4.0,2.0,0.04416935369705196,126,2437
D7C,0.855,4.0,5.0,0.03852800622948905,126,2437
D7C,0.85,5.0,0.0,0.07261773941992142,126,2317
D7C,0.85,5.0,1.0,0.05840427974375289,126,2317
D7C,0.85,5.0,2.0,0.0512291503095594,126,2317
D7C,0.85,5.0,5.0,0.04374967466550069,126,2317
D7C,0.845,5.0,0.0,0.07261773941992142,126,2317
D7C,0.845,5.0,1.0,0.05840427974375289,126,2317
D7C,0.845,5.0,2.0,0.0512291503095594,126,2317
D7C,0.845,5.0,5.0,0.04374967466550069,126,2317
D7C,0.84,5.0,0.0,0.07261773941992142,126,2317
D7C,0.84,5.0,1.0,0.05840427974375289,126,2317
D7C,0.84,5.0,2.0,0.0512291503095594,126,2317
D7C,0.84,5.0,5.0,0.04374967466550069,126,2317
D7C,0.835,5.0,0.0,0.07261773941992142,126,2317
D7C,0.835,5.0,1.0,0.05840427974375289,126,2317
D7C,0.835,5.0,2.0,0.0512291503095594,126,2317
D7C,0.835,5.0,5.0,0.04374967466550069,126,2317
D7C,0.83,5.0,0.0,0.07261773941992142,126,2317
D7C,0.83,5.0,1.0,0.05840427974375289,126,2317
D7C,0.83,5.0,2.0,0.0512291503095594,126,2317
D7C,0.83,5.0,5.0,0.04374967466550069,126,2317
D7C,0.825,5.0,0.0,0.07261773941992142,126,2317
D7C,0.825,5.0,1.0,0.05840427974375289,126,2317
D7C,0.825,5.0,2.0,0.0512291503095594,126,2317
D7C,0.825,5.0,5.0,0.04374967466550069,126,2317
D7C,0.8200000000000001,5.0,0.0,0.07261773941992142,126,2317
D7C,0.8200000000000001,5.0,1.0,0.05840427974375289,126,2317
D7C,0.8200000000000001,5.0,2.0,0.0512291503095594,126,2317
D7C,0.8200000000000001,5.0,5.0,0.04374967466550069,126,2317
D7C,0.815,5.0,0.0,0.07261773941992142,126,2317
D7C,0.815,5.0,1.0,0.05840427974375289,126,2317
D7C,0.815,5.0,2.0,0.0512291503095594,126,2317
D7C,0.815,5.0,5.0,0.04374967466550069,126,2317
D7C,0.81,5.029999999999745,0.0,0.09688987581635412,126,2177
D7C,0.81,5.029999999999745,1.0,0.07837682363214757,126,2177
D7C,0.81,5.029999999999745,2.0,0.06896088075489082,126,2177
D7C,0.81,5.029999999999745,5.0,0.05918779426511,126,2177
D7C,0.8049999999999999,6.0,0.0,0.09688987581635412,126,2177
D7C,0.8049999999999999,6.0,1.0,0.07837682363214757,126,2177
D7C,0.8049999999999999,6.0,2.0,0.06896088075489082,126,2177
D7C,0.8049999999999999,6.0,5.0,0.05918779426511,126,2177
D7C,0.8,6.0,0.0,0.09688987581635412,126,2177
D7C,0.8,6.0,1.0,0.07837682363214757,126,2177
D7C,0.8,6.0,2.0,0.06896088075489082,126,2177
D7C,0.8,6.0,5.0,0.05918779426511,126,2177
D7C,0.7949999999999999,6.0,0.0,0.09688987581635412,126,2177
D7C,0.7949999999999999,6.0,1.0,0.07837682363214757,126,2177
D7C,0.7949999999999999,6.0,2.0,0.06896088075489082,126,2177
D7C,0.7949999999999999,6.0,5.0,0.05918779426511,126,2177
D7C,0.79,6.0,0.0,0.09688987581635412,126,2177
D7C,0.79,6.0,1.0,0.07837682363214757,126,2177
D7C,0.79,6.0,2.0,0.06896088075489082,126,2177
D7C,0.79,6.0,5.0,0.05918779426511,126,2177
D7C,0.785,6.0,0.0,0.09688987581635412,126,2177
D7C,0.785,6.0,1.0,0.07837682363214757,126,2177
D7C,0.785,6.0,2.0,0.06896088075489082,126,2177
D7C,0.785,6.0,5.0,0.05918779426511,126,2177
D7C,0.78,6.0,0.0,0.09688987581635412,126,2177
D7C,0.78,6.0,1.0,0.07837682363214757,126,2177
D7C,0.78,6.0,2.0,0.06896088075489082,126,2177
D7C,0.78,6.0,5.0,0.05918779426511,126,2177
D7C,0.775,6.0,0.0,0.09688987581635412,126,2177
D7C,0.775,6.0,1.0,0.07837682363214757,126,2177
D7C,0.775,6.0,2.0,0.06896088075489082,126,2177
D7C,0.775,6.0,5.0,0.05918779426511,126,2177
D7C,0.77,7.0,0.0,0.12348668473391261,126,2043
D7C,0.77,7.0,1.0,0.10227477956110806,126,2043
D7C,0.77,7.0,2.0,0.09115017277604749,126,2043
D7C,0.77,7.0,5.0,0.07885793545824993,126,2043
D7C,0.765,7.0,0.0,0.12348668473391261,126,2043
D7C,0.765,7.0,1.0,0.10227477956110806,126,2043
D7C,0.765,7.0,2.0,0.09115017277604749,126,2043
D7C,0.765,7.0,5.0,0.07885793545824993,126,2043
D7C,0.76,7.0,0.0,0.12348668473391261,126,2043
D7C,0.76,7.0,1.0,0.10227477956110806,126,2043
D7C,0.76,7.0,2.0,0.09115017277604749,126,2043
D7C,0.76,7.0,5.0,0.07885793545824993,126,2043
D7C,0.755,7.0,0.0,0.12348668473391261,126,2043
D7C,0.755,7.0,1.0,0.10227477956110806,126,2043
D7C,0.755,7.0,2.0,0.09115017277604749,126,2043
D7C,0.755,7.0,5.0,0.07885793545824993,126,2043
D7C,0.75,7.0,0.0,0.12348668473391261,126,2043
D7C,0.75,7.0,1.0,0.10227477956110806,126,2043
D7C,0.75,7.0,2.0,0.09115017277604749,126,2043
D7C,0.75,7.0,5.0,0.07885793545824993,126,2043
D7C,0.745,7.0,0.0,0.12348668473391261,126,2043
