percentile,thresh_tcrbeta,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,0.0,2816,100.0,126,126,126,0.0,0.0,0.0,0.0
0.995,0.0,2816,100.0,126,126,126,0.0,0.0,0.0,0.0
0.99,0.0,2816,100.0,126,126,126,0.0,0.0,0.0,0.0
0.985,1.0,2760,98.01136363636364,126,126,126,0.0,0.0,0.01798180673221276,0.004603178341638812
0.98,1.0,2760,98.01136363636364,126,126,126,0.0,0.0,0.01798180673221276,0.004603178341638812
0.975,1.0,2760,98.01136363636364,126,126,126,0.0,0.0,0.01798180673221276,0.004603178341638812
0.97,1.0,2760,98.01136363636364,126,126,126,0.0,0.0,0.01798180673221276,0.004603178341638812
0.965,1.0,2760,98.01136363636364,126,126,126,0.0,0.0,0.01798180673221276,0.004603178341638812
0.96,2.0,2686,95.38352272727273,126,126,126,0.0,0.0,0.032606968427800524,0.007914978410060178
0.955,2.0,2686,95.38352272727273,126,126,126,0.0,0.0,0.032606968427800524,0.007914978410060178
0.95,2.0,2686,95.38352272727273,126,126,126,0.0,0.0,0.032606968427800524,0.007914978410060178
0.945,2.0,2686,95.38352272727273,126,126,126,0.0,0.0,0.032606968427800524,0.007914978410060178
0.94,2.0,2686,95.38352272727273,126,126,126,0.0,0.0,0.032606968427800524,0.007914978410060178
0.935,2.0,2686,95.38352272727273,126,126,126,0.0,0.0,0.032606968427800524,0.007914978410060178
0.9299999999999999,3.0,2573,91.37073863636364,126,126,126,0.00036696164753341476,0.026737415405123637,0.03699675593902488,0.009984399649766702
0.925,3.0,2573,91.37073863636364,126,126,126,0.00036696164753341476,0.026737415405123637,0.03699675593902488,0.009984399649766702
0.92,3.0,2573,91.37073863636364,126,126,126,0.00036696164753341476,0.026737415405123637,0.03699675593902488,0.009984399649766702
0.915,3.0,2573,91.37073863636364,126,126,126,0.00036696164753341476,0.026737415405123637,0.03699675593902488,0.009984399649766702
0.91,3.0,2573,91.37073863636364,126,126,126,0.00036696164753341476,0.026737415405123637,0.03699675593902488,0.009984399649766702
