percentile,thresh_ly49C,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,817.0,2816,100.0,126,126,126,0.0,0.0,0.0,0.0
0.995,44.0,2801,99.46732954545455,126,126,126,0.0,0.0,-0.006408405249797928,-0.001570282630265653
0.99,22.0,2788,99.00568181818181,126,126,126,0.0,0.0,-0.01157621166539351,-0.0026239034809198733
0.985,15.0,2775,98.5440340909091,126,126,126,0.0,0.0,-0.016253780460026363,-0.0035432698822502173
0.98,12.0,2767,98.25994318181819,126,126,126,0.0,0.0,-0.016137090769303582,-0.0035784784718069403
0.975,9.574999999999818,2753,97.7627840909091,126,125,125,0.0,0.0,-0.016989457062076965,-0.003636390108501535
0.97,8.0,2741,97.33664772727273,126,125,125,0.0,0.0,-0.02047057966019441,-0.004330635042167646
0.965,7.0,2729,96.91051136363636,126,125,125,0.0,0.0,-0.024013567456474948,-0.004406787199284269
0.96,7.0,2729,96.91051136363636,126,125,125,0.0,0.0,-0.024013567456474948,-0.004406787199284269
0.955,6.0,2707,96.12926136363636,126,124,124,0.0,0.0,-0.025664295274993133,-0.005526917704616381
0.95,6.0,2707,96.12926136363636,126,124,124,0.0,0.0,-0.025664295274993133,-0.005526917704616381
0.945,5.0,2682,95.24147727272727,126,122,122,0.0,0.0,-0.029584083122943108,-0.0071388979725425655
0.94,5.0,2682,95.24147727272727,126,122,122,0.0,0.0,-0.029584083122943108,-0.0071388979725425655
0.935,5.0,2682,95.24147727272727,126,122,122,0.0,0.0,-0.029584083122943108,-0.0071388979725425655
0.9299999999999999,5.0,2682,95.24147727272727,126,122,122,0.0,0.0,-0.029584083122943108,-0.0071388979725425655
0.925,4.0,2632,93.4659090909091,126,121,121,0.0002510919310448889,0.026730308244618407,-0.0348315548773857,-0.007348891893954726
0.92,4.0,2632,93.4659090909091,126,121,121,0.0002510919310448889,0.026730308244618407,-0.0348315548773857,-0.007348891893954726
0.915,4.0,2632,93.4659090909091,126,121,121,0.0002510919310448889,0.026730308244618407,-0.0348315548773857,-0.007348891893954726
0.91,4.0,2632,93.4659090909091,126,121,121,0.0002510919310448889,0.026730308244618407,-0.0348315548773857,-0.007348891893954726
0.905,4.0,2632,93.4659090909091,126,121,121,0.0002510919310448889,0.026730308244618407,-0.0348315548773857,-0.007348891893954726
0.9,4.0,2632,93.4659090909091,126,121,121,0.0002510919310448889,0.026730308244618407,-0.0348315548773857,-0.007348891893954726
0.895,4.0,2632,93.4659090909091,126,121,121,0.0002510919310448889,0.026730308244618407,-0.0348315548773857,-0.007348891893954726
0.89,4.0,2632,93.4659090909091,126,121,121,0.0002510919310448889,0.026730308244618407,-0.0348315548773857,-0.007348891893954726
0.885,3.0,2527,89.7372159090909,126,116,116,0.0017048461071755838,0.06164452890984655,-0.06139564960906229,-0.011236001834717202
0.88,3.0,2527,89.7372159090909,126,116,116,0.0017048461071755838,0.06164452890984655,-0.06139564960906229,-0.011236001834717202
0.875,3.0,2527,89.7372159090909,126,116,116,0.0017048461071755838,0.06164452890984655,-0.06139564960906229,-0.011236001834717202
0.87,3.0,2527,89.7372159090909,126,116,116,0.0017048461071755838,0.06164452890984655,-0.06139564960906229,-0.011236001834717202
0.865,3.0,2527,89.7372159090909,126,116,116,0.0017048461071755838,0.06164452890984655,-0.06139564960906229,-0.011236001834717202
0.86,3.0,2527,89.7372159090909,126,116,116,0.0017048461071755838,0.06164452890984655,-0.06139564960906229,-0.011236001834717202
0.855,3.0,2527,89.7372159090909,126,116,116,0.0017048461071755838,0.06164452890984655,-0.06139564960906229,-0.011236001834717202
0.85,3.0,2527,89.7372159090909,126,116,116,0.0017048461071755838,0.06164452890984655,-0.06139564960906229,-0.011236001834717202
0.845,3.0,2527,89.7372159090909,126,116,116,0.0017048461071755838,0.06164452890984655,-0.06139564960906229,-0.011236001834717202
0.84,3.0,2527,89.7372159090909,126,116,116,0.0017048461071755838,0.06164452890984655,-0.06139564960906229,-0.011236001834717202
0.835,3.0,2527,89.7372159090909,126,116,116,0.0017048461071755838,0.06164452890984655,-0.06139564960906229,-0.011236001834717202
0.83,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.825,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.8200000000000001,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.815,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.81,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.8049999999999999,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.8,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.7949999999999999,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.79,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.785,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.78,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.775,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.77,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.765,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.76,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.755,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.75,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.745,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.74,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.735,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.73,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.725,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.72,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.715,2.0,2373,84.2684659090909,126,112,112,0.00460259770379684,0.11439617433046718,-0.09396152692040108,-0.014185830454445797
0.71,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.7050000000000001,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.7,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.6950000000000001,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.69,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.685,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.6799999999999999,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.675,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.6699999999999999,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.665,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
