percentile,thresh_tcrbeta,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,0.0,2923,100.0,137,137,137,0.0,0.0,0.0,0.0
0.995,0.0,2923,100.0,137,137,137,0.0,0.0,0.0,0.0
0.99,0.0,2923,100.0,137,137,137,0.0,0.0,0.0,0.0
0.985,0.0,2923,100.0,137,137,137,0.0,0.0,0.0,0.0
0.98,1.0,2864,97.9815258296271,137,136,136,0.0,0.0,0.00794348273758378,-0.0001981894256414283
0.975,1.0,2864,97.9815258296271,137,136,136,0.0,0.0,0.00794348273758378,-0.0001981894256414283
0.97,1.0,2864,97.9815258296271,137,136,136,0.0,0.0,0.00794348273758378,-0.0001981894256414283
0.965,1.0,2864,97.9815258296271,137,136,136,0.0,0.0,0.00794348273758378,-0.0001981894256414283
0.96,1.0,2864,97.9815258296271,137,136,136,0.0,0.0,0.00794348273758378,-0.0001981894256414283
0.955,2.0,2781,95.14197742045843,137,133,133,0.0,0.0,0.024344057736786117,0.005574664355508727
0.95,2.0,2781,95.14197742045843,137,133,133,0.0,0.0,0.024344057736786117,0.005574664355508727
0.945,2.0,2781,95.14197742045843,137,133,133,0.0,0.0,0.024344057736786117,0.005574664355508727
0.94,2.0,2781,95.14197742045843,137,133,133,0.0,0.0,0.024344057736786117,0.005574664355508727
0.935,2.0,2781,95.14197742045843,137,133,133,0.0,0.0,0.024344057736786117,0.005574664355508727
0.9299999999999999,2.0,2781,95.14197742045843,137,133,133,0.0,0.0,0.024344057736786117,0.005574664355508727
0.925,3.0,2677,91.58398905234348,137,131,131,0.001994912672554583,0.062057054478692746,0.028781817390311944,0.007440533914602422
0.92,3.0,2677,91.58398905234348,137,131,131,0.001994912672554583,0.062057054478692746,0.028781817390311944,0.007440533914602422
0.915,3.0,2677,91.58398905234348,137,131,131,0.001994912672554583,0.062057054478692746,0.028781817390311944,0.007440533914602422
0.91,3.0,2677,91.58398905234348,137,131,131,0.001994912672554583,0.062057054478692746,0.028781817390311944,0.007440533914602422
0.905,3.0,2677,91.58398905234348,137,131,131,0.001994912672554583,0.062057054478692746,0.028781817390311944,0.007440533914602422
0.9,3.0,2677,91.58398905234348,137,131,131,0.001994912672554583,0.062057054478692746,0.028781817390311944,0.007440533914602422
0.895,3.0,2677,91.58398905234348,137,131,131,0.001994912672554583,0.062057054478692746,0.028781817390311944,0.007440533914602422
0.89,3.0,2677,91.58398905234348,137,131,131,0.001994912672554583,0.062057054478692746,0.028781817390311944,0.007440533914602422
0.885,4.0,2546,87.10229216558331,137,127,127,0.0051068000686199655,0.09911227857598491,0.047032835606791334,0.008676857678728327
0.88,4.0,2546,87.10229216558331,137,127,127,0.0051068000686199655,0.09911227857598491,0.047032835606791334,0.008676857678728327
0.875,4.0,2546,87.10229216558331,137,127,127,0.0051068000686199655,0.09911227857598491,0.047032835606791334,0.008676857678728327
0.87,4.0,2546,87.10229216558331,137,127,127,0.0051068000686199655,0.09911227857598491,0.047032835606791334,0.008676857678728327
0.865,4.0,2546,87.10229216558331,137,127,127,0.0051068000686199655,0.09911227857598491,0.047032835606791334,0.008676857678728327
0.86,4.0,2546,87.10229216558331,137,127,127,0.0051068000686199655,0.09911227857598491,0.047032835606791334,0.008676857678728327
0.855,4.0,2546,87.10229216558331,137,127,127,0.0051068000686199655,0.09911227857598491,0.047032835606791334,0.008676857678728327
0.85,5.0,2436,83.33903523776941,137,120,120,0.009803159025293828,0.13299131624234545,0.061031290209519175,0.009229534370338686
0.845,5.0,2436,83.33903523776941,137,120,120,0.009803159025293828,0.13299131624234545,0.061031290209519175,0.009229534370338686
0.84,5.0,2436,83.33903523776941,137,120,120,0.009803159025293828,0.13299131624234545,0.061031290209519175,0.009229534370338686
0.835,5.0,2436,83.33903523776941,137,120,120,0.009803159025293828,0.13299131624234545,0.061031290209519175,0.009229534370338686
0.83,5.0,2436,83.33903523776941,137,120,120,0.009803159025293828,0.13299131624234545,0.061031290209519175,0.009229534370338686
0.825,5.0,2436,83.33903523776941,137,120,120,0.009803159025293828,0.13299131624234545,0.061031290209519175,0.009229534370338686
0.8200000000000001,5.0,2436,83.33903523776941,137,120,120,0.009803159025293828,0.13299131624234545,0.061031290209519175,0.009229534370338686
0.815,5.0,2436,83.33903523776941,137,120,120,0.009803159025293828,0.13299131624234545,0.061031290209519175,0.009229534370338686
0.81,6.0,2301,78.72049264454327,137,117,117,0.01686664484400957,0.18011245748503407,0.08432212810823428,0.013925035454551407
0.8049999999999999,6.0,2301,78.72049264454327,137,117,117,0.01686664484400957,0.18011245748503407,0.08432212810823428,0.013925035454551407
0.8,6.0,2301,78.72049264454327,137,117,117,0.01686664484400957,0.18011245748503407,0.08432212810823428,0.013925035454551407
0.7949999999999999,6.0,2301,78.72049264454327,137,117,117,0.01686664484400957,0.18011245748503407,0.08432212810823428,0.013925035454551407
0.79,6.0,2301,78.72049264454327,137,117,117,0.01686664484400957,0.18011245748503407,0.08432212810823428,0.013925035454551407
0.785,6.0,2301,78.72049264454327,137,117,117,0.01686664484400957,0.18011245748503407,0.08432212810823428,0.013925035454551407
0.78,6.0,2301,78.72049264454327,137,117,117,0.01686664484400957,0.18011245748503407,0.08432212810823428,0.013925035454551407
0.775,6.0,2301,78.72049264454327,137,117,117,0.01686664484400957,0.18011245748503407,0.08432212810823428,0.013925035454551407
0.77,7.0,2167,74.13616147793363,137,112,112,0.02046381630692179,0.20472459389099606,0.10346011052443786,0.01387881925305177
0.765,7.0,2167,74.13616147793363,137,112,112,0.02046381630692179,0.20472459389099606,0.10346011052443786,0.01387881925305177
0.76,7.0,2167,74.13616147793363,137,112,112,0.02046381630692179,0.20472459389099606,0.10346011052443786,0.01387881925305177
0.755,7.0,2167,74.13616147793363,137,112,112,0.02046381630692179,0.20472459389099606,0.10346011052443786,0.01387881925305177
