percentile,thresh_tcrbeta,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,0.0,2816,100.0,126,126,126,0.0,0.0,0.0,0.0
0.995,0.0,2816,100.0,126,126,126,0.0,0.0,0.0,0.0
0.99,0.0,2816,100.0,126,126,126,0.0,0.0,0.0,0.0
0.985,1.0,2760,98.01136363636364,126,123,123,0.0,0.0,0.00926865651208419,0.002337853916420692
0.98,1.0,2760,98.01136363636364,126,123,123,0.0,0.0,0.00926865651208419,0.002337853916420692
0.975,1.0,2760,98.01136363636364,126,123,123,0.0,0.0,0.00926865651208419,0.002337853916420692
0.97,1.0,2760,98.01136363636364,126,123,123,0.0,0.0,0.00926865651208419,0.002337853916420692
0.965,1.0,2760,98.01136363636364,126,123,123,0.0,0.0,0.00926865651208419,0.002337853916420692
0.96,2.0,2686,95.38352272727273,126,123,123,0.0,0.0,0.024250529468539953,0.0057304295962669685
0.955,2.0,2686,95.38352272727273,126,123,123,0.0,0.0,0.024250529468539953,0.0057304295962669685
0.95,2.0,2686,95.38352272727273,126,123,123,0.0,0.0,0.024250529468539953,0.0057304295962669685
0.945,2.0,2686,95.38352272727273,126,123,123,0.0,0.0,0.024250529468539953,0.0057304295962669685
0.94,2.0,2686,95.38352272727273,126,123,123,0.0,0.0,0.024250529468539953,0.0057304295962669685
0.935,2.0,2686,95.38352272727273,126,123,123,0.0,0.0,0.024250529468539953,0.0057304295962669685
0.9299999999999999,3.0,2573,91.37073863636364,126,121,121,0.0,0.0,0.030941081425162137,0.0086255607151997
0.925,3.0,2573,91.37073863636364,126,121,121,0.0,0.0,0.030941081425162137,0.0086255607151997
0.92,3.0,2573,91.37073863636364,126,121,121,0.0,0.0,0.030941081425162137,0.0086255607151997
0.915,3.0,2573,91.37073863636364,126,121,121,0.0,0.0,0.030941081425162137,0.0086255607151997
0.91,3.0,2573,91.37073863636364,126,121,121,0.0,0.0,0.030941081425162137,0.0086255607151997
0.905,3.0,2573,91.37073863636364,126,121,121,0.0,0.0,0.030941081425162137,0.0086255607151997
0.9,3.0,2573,91.37073863636364,126,121,121,0.0,0.0,0.030941081425162137,0.0086255607151997
