sample,percentile,thresh_eeepvkki,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7A,1.0,147.0,0.0,0.0,149,3263
D7A,1.0,147.0,1.0,0.0,149,3263
D7A,1.0,147.0,2.0,0.0,149,3263
D7A,1.0,147.0,5.0,0.0,149,3263
D7A,0.995,16.9399999999996,0.0,-0.006837131130113704,149,3249
D7A,0.995,16.9399999999996,1.0,-0.00494920657182213,149,3249
D7A,0.995,16.9399999999996,2.0,-0.003966534032173789,149,3249
D7A,0.995,16.9399999999996,5.0,-0.0030308058847274195,149,3249
D7A,0.99,14.0,0.0,-0.009690807133957766,149,3238
D7A,0.99,14.0,1.0,-0.00714244132232747,149,3238
D7A,0.99,14.0,2.0,-0.00595569728193759,149,3238
D7A,0.99,14.0,5.0,-0.0048839831915014325,149,3238
D7A,0.985,12.0,0.0,-0.015086506080479983,149,3227
D7A,0.985,12.0,1.0,-0.011765556222540429,149,3227
D7A,0.985,12.0,2.0,-0.010175367645828222,149,3227
D7A,0.985,12.0,5.0,-0.008591855841693499,149,3227
D7A,0.98,10.0,0.0,-0.025873059506349733,149,3209
D7A,0.98,10.0,1.0,-0.021001152167457085,149,3209
D7A,0.98,10.0,2.0,-0.018363217218794154,149,3209
D7A,0.98,10.0,5.0,-0.015380696061482386,149,3209
D7A,0.975,9.0,0.0,-0.028674354844938806,148,3193
D7A,0.975,9.0,1.0,-0.02330996280496716,148,3193
D7A,0.975,9.0,2.0,-0.020378685990440383,148,3193
D7A,0.975,9.0,5.0,-0.017090021376935362,148,3193
D7A,0.97,8.0,0.0,-0.03350739890170199,146,3179
D7A,0.97,8.0,1.0,-0.027822120027830143,146,3179
D7A,0.97,8.0,2.0,-0.024562526686559172,146,3179
D7A,0.97,8.0,5.0,-0.020705021238910912,146,3179
D7A,0.965,8.0,0.0,-0.03350739890170199,146,3179
D7A,0.965,8.0,1.0,-0.027822120027830143,146,3179
D7A,0.965,8.0,2.0,-0.024562526686559172,146,3179
D7A,0.965,8.0,5.0,-0.020705021238910912,146,3179
D7A,0.96,7.0,0.0,-0.04107498795150052,145,3149
D7A,0.96,7.0,1.0,-0.03509354461073506,145,3149
D7A,0.96,7.0,2.0,-0.03145224655467782,145,3149
D7A,0.96,7.0,5.0,-0.026846295804508827,145,3149
D7A,0.955,7.0,0.0,-0.04107498795150052,145,3149
D7A,0.955,7.0,1.0,-0.03509354461073506,145,3149
D7A,0.955,7.0,2.0,-0.03145224655467782,145,3149
D7A,0.955,7.0,5.0,-0.026846295804508827,145,3149
D7A,0.95,6.0,0.0,-0.05210444989443952,145,3115
D7A,0.95,6.0,1.0,-0.046410854317503906,145,3115
D7A,0.95,6.0,2.0,-0.04262961480530326,145,3115
D7A,0.95,6.0,5.0,-0.037242808838997006,145,3115
D7A,0.945,6.0,0.0,-0.05210444989443952,145,3115
D7A,0.945,6.0,1.0,-0.046410854317503906,145,3115
D7A,0.945,6.0,2.0,-0.04262961480530326,145,3115
D7A,0.945,6.0,5.0,-0.037242808838997006,145,3115
D7A,0.94,5.0,0.0,-0.05893763066093389,143,3084
D7A,0.94,5.0,1.0,-0.053274610632106464,143,3084
D7A,0.94,5.0,2.0,-0.04937744773105091,143,3084
D7A,0.94,5.0,5.0,-0.04342352020569481,143,3084
D7A,0.935,5.0,0.0,-0.05893763066093389,143,3084
D7A,0.935,5.0,1.0,-0.053274610632106464,143,3084
D7A,0.935,5.0,2.0,-0.04937744773105091,143,3084
D7A,0.935,5.0,5.0,-0.04342352020569481,143,3084
D7A,0.9299999999999999,5.0,0.0,-0.05893763066093389,143,3084
D7A,0.9299999999999999,5.0,1.0,-0.053274610632106464,143,3084
D7A,0.9299999999999999,5.0,2.0,-0.04937744773105091,143,3084
D7A,0.9299999999999999,5.0,5.0,-0.04342352020569481,143,3084
D7A,0.925,4.0,0.0,-0.07720837730997981,142,3032
D7A,0.925,4.0,1.0,-0.07076124488037026,142,3032
D7A,0.925,4.0,2.0,-0.06607119538510584,142,3032
D7A,0.925,4.0,5.0,-0.058409888748463375,142,3032
D7A,0.92,4.0,0.0,-0.07720837730997981,142,3032
D7A,0.92,4.0,1.0,-0.07076124488037026,142,3032
D7A,0.92,4.0,2.0,-0.06607119538510584,142,3032
D7A,0.92,4.0,5.0,-0.058409888748463375,142,3032
D7A,0.915,4.0,0.0,-0.07720837730997981,142,3032
D7A,0.915,4.0,1.0,-0.07076124488037026,142,3032
D7A,0.915,4.0,2.0,-0.06607119538510584,142,3032
D7A,0.915,4.0,5.0,-0.058409888748463375,142,3032
D7A,0.91,3.0,0.0,-0.08655121430395905,140,2984
D7A,0.91,3.0,1.0,-0.07905779747900439,140,2984
D7A,0.91,3.0,2.0,-0.07354547368463853,140,2984
D7A,0.91,3.0,5.0,-0.06500600471527912,140,2984
D7A,0.905,3.0,0.0,-0.08655121430395905,140,2984
D7A,0.905,3.0,1.0,-0.07905779747900439,140,2984
D7A,0.905,3.0,2.0,-0.07354547368463853,140,2984
D7A,0.905,3.0,5.0,-0.06500600471527912,140,2984
D7A,0.9,3.0,0.0,-0.08655121430395905,140,2984
D7A,0.9,3.0,1.0,-0.07905779747900439,140,2984
D7A,0.9,3.0,2.0,-0.07354547368463853,140,2984
D7A,0.9,3.0,5.0,-0.06500600471527912,140,2984
D7A,0.895,3.0,0.0,-0.08655121430395905,140,2984
D7A,0.895,3.0,1.0,-0.07905779747900439,140,2984
D7A,0.895,3.0,2.0,-0.07354547368463853,140,2984
D7A,0.895,3.0,5.0,-0.06500600471527912,140,2984
D7A,0.89,2.0,0.0,-0.1032900613175901,138,2924
D7A,0.89,2.0,1.0,-0.09445093470209105,138,2924
D7A,0.89,2.0,2.0,-0.08760628225543012,138,2924
D7A,0.89,2.0,5.0,-0.07722794004141534,138,2924
D7A,0.885,2.0,0.0,-0.1032900613175901,138,2924
D7A,0.885,2.0,1.0,-0.09445093470209105,138,2924
D7A,0.885,2.0,2.0,-0.08760628225543012,138,2924
D7A,0.885,2.0,5.0,-0.07722794004141534,138,2924
D7A,0.88,2.0,0.0,-0.1032900613175901,138,2924
D7A,0.88,2.0,1.0,-0.09445093470209105,138,2924
D7A,0.88,2.0,2.0,-0.08760628225543012,138,2924
D7A,0.88,2.0,5.0,-0.07722794004141534,138,2924
D7A,0.875,1.0,0.0,-0.1281103738856606,134,2868
D7A,0.875,1.0,1.0,-0.11657466582883308,134,2868
D7A,0.875,1.0,2.0,-0.10740850831799162,134,2868
D7A,0.875,1.0,5.0,-0.09411791784934637,134,2868
D7A,0.87,1.0,0.0,-0.1281103738856606,134,2868
D7A,0.87,1.0,1.0,-0.11657466582883308,134,2868
D7A,0.87,1.0,2.0,-0.10740850831799162,134,2868
D7A,0.87,1.0,5.0,-0.09411791784934637,134,2868
D7A,0.865,1.0,0.0,-0.1281103738856606,134,2868
D7A,0.865,1.0,1.0,-0.11657466582883308,134,2868
D7A,0.865,1.0,2.0,-0.10740850831799162,134,2868
D7A,0.865,1.0,5.0,-0.09411791784934637,134,2868
D7A,0.86,1.0,0.0,-0.1281103738856606,134,2868
D7A,0.86,1.0,1.0,-0.11657466582883308,134,2868
D7A,0.86,1.0,2.0,-0.10740850831799162,134,2868
D7A,0.86,1.0,5.0,-0.09411791784934637,134,2868
D7A,0.855,1.0,0.0,-0.1281103738856606,134,2868
D7A,0.855,1.0,1.0,-0.11657466582883308,134,2868
D7A,0.855,1.0,2.0,-0.10740850831799162,134,2868
