percentile,thresh_eeepvkki,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,56.0,2791,100.0,159,159,159,0.0,0.0,0.0,0.0
0.995,18.06999999999971,2776,99.46255822285919,159,159,159,0.0,0.0,-0.004346407377741608,0.00026964582577299615
0.99,12.0,2760,98.889286993909,159,157,157,0.0,0.0,-0.006059302470738203,0.0003932049778168648
0.985,11.0,2752,98.6026513794339,159,157,157,0.0,0.0,-0.010070539635355247,0.0006438088678693291
0.98,10.0,2740,98.17269795772124,159,157,157,0.0,0.0,-0.0139746672472672,0.0012947578225328802
0.975,8.0,2719,97.42027946972411,159,155,155,0.0,0.0,-0.020918320553629296,0.00043503808615412393
0.97,8.0,2719,97.42027946972411,159,155,155,0.0,0.0,-0.020918320553629296,0.00043503808615412393
0.965,7.0,2700,96.73951988534576,159,153,153,0.0,0.0,-0.02357034080218749,0.0010733831753524758
0.96,6.0,2682,96.09458975277678,159,153,153,0.0,0.0,-0.029639339008920313,0.0015559306771082107
0.955,6.0,2682,96.09458975277678,159,153,153,0.0,0.0,-0.029639339008920313,0.0015559306771082107
0.95,5.0,2654,95.09136510211394,159,152,152,0.0,0.0,-0.03851156488731111,0.0007281832407640079
0.945,5.0,2654,95.09136510211394,159,152,152,0.0,0.0,-0.03851156488731111,0.0007281832407640079
0.94,5.0,2654,95.09136510211394,159,152,152,0.0,0.0,-0.03851156488731111,0.0007281832407640079
0.935,4.0,2610,93.51486922250089,159,152,152,0.00015628813729556823,0.02344531046186699,-0.052110636504655576,0.002069235984704137
0.9299999999999999,4.0,2610,93.51486922250089,159,152,152,0.00015628813729556823,0.02344531046186699,-0.052110636504655576,0.002069235984704137
0.925,4.0,2610,93.51486922250089,159,152,152,0.00015628813729556823,0.02344531046186699,-0.052110636504655576,0.002069235984704137
0.92,3.0,2566,91.93837334288786,159,150,150,0.0006044613519839426,0.04368856073345863,-0.06017940908881935,0.0024950787190348295
0.915,3.0,2566,91.93837334288786,159,150,150,0.0006044613519839426,0.04368856073345863,-0.06017940908881935,0.0024950787190348295
0.91,3.0,2566,91.93837334288786,159,150,150,0.0006044613519839426,0.04368856073345863,-0.06017940908881935,0.0024950787190348295
0.905,2.3299999999999272,2519,90.25438910784665,159,149,149,0.0016862413593775605,0.07003728841964141,-0.06763356944961983,0.002617658002058433
0.9,2.0,2519,90.25438910784665,159,149,149,0.0016862413593775605,0.07003728841964141,-0.06763356944961983,0.002617658002058433
0.895,2.0,2519,90.25438910784665,159,149,149,0.0016862413593775605,0.07003728841964141,-0.06763356944961983,0.002617658002058433
0.89,2.0,2519,90.25438910784665,159,149,149,0.0016862413593775605,0.07003728841964141,-0.06763356944961983,0.002617658002058433
0.885,2.0,2519,90.25438910784665,159,149,149,0.0016862413593775605,0.07003728841964141,-0.06763356944961983,0.002617658002058433
0.88,2.0,2519,90.25438910784665,159,149,149,0.0016862413593775605,0.07003728841964141,-0.06763356944961983,0.002617658002058433
0.875,1.0,2456,87.99713364385525,159,148,148,0.0039681177304948245,0.09551354790645714,-0.09277100340800097,0.0020033212474492345
0.87,1.0,2456,87.99713364385525,159,148,148,0.0039681177304948245,0.09551354790645714,-0.09277100340800097,0.0020033212474492345
0.865,1.0,2456,87.99713364385525,159,148,148,0.0039681177304948245,0.09551354790645714,-0.09277100340800097,0.0020033212474492345
0.86,1.0,2456,87.99713364385525,159,148,148,0.0039681177304948245,0.09551354790645714,-0.09277100340800097,0.0020033212474492345
0.855,1.0,2456,87.99713364385525,159,148,148,0.0039681177304948245,0.09551354790645714,-0.09277100340800097,0.0020033212474492345
0.85,1.0,2456,87.99713364385525,159,148,148,0.0039681177304948245,0.09551354790645714,-0.09277100340800097,0.0020033212474492345
0.845,1.0,2456,87.99713364385525,159,148,148,0.0039681177304948245,0.09551354790645714,-0.09277100340800097,0.0020033212474492345
0.84,1.0,2456,87.99713364385525,159,148,148,0.0039681177304948245,0.09551354790645714,-0.09277100340800097,0.0020033212474492345
