,sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
0,D7A,1.0,9.0,0.0,0.0,7,152
1,D7A,1.0,9.0,1.0,0.0,7,152
2,D7A,1.0,9.0,2.0,0.0,7,152
3,D7A,1.0,9.0,5.0,0.0,7,152
4,D7A,0.995,8.245000000000005,0.0,-0.0057576549553141855,7,151
5,D7A,0.995,8.245000000000005,1.0,0.0002659658993125876,7,151
6,D7A,0.995,8.245000000000005,2.0,0.002446417603997061,7,151
7,D7A,0.995,8.245000000000005,5.0,0.00326225330471362,7,151
8,D7A,0.99,8.0,0.0,-0.0057576549553141855,7,151
9,D7A,0.99,8.0,1.0,0.0002659658993125876,7,151
10,D7A,0.99,8.0,2.0,0.002446417603997061,7,151
11,D7A,0.99,8.0,5.0,0.00326225330471362,7,151
12,D7A,0.985,7.204999999999956,0.0,-0.008976433093318572,7,149
13,D7A,0.985,7.204999999999956,1.0,-0.0029074326248203575,7,149
14,D7A,0.985,7.204999999999956,2.0,-0.0005490895131447118,7,149
15,D7A,0.985,7.204999999999956,5.0,0.0007160270999042753,7,149
16,D7A,0.98,4.97999999999999,0.0,-0.010482873811672646,7,148
17,D7A,0.98,4.97999999999999,1.0,-0.0034704044114194682,7,148
18,D7A,0.98,4.97999999999999,2.0,-0.0005916461737356224,7,148
19,D7A,0.98,4.97999999999999,5.0,0.000954659774203329,7,148
20,D7A,0.975,4.224999999999994,0.0,-0.010482873811672646,7,148
21,D7A,0.975,4.224999999999994,1.0,-0.0034704044114194682,7,148
22,D7A,0.975,4.224999999999994,2.0,-0.0005916461737356224,7,148
23,D7A,0.975,4.224999999999994,5.0,0.000954659774203329,7,148
24,D7A,0.97,4.0,0.0,-0.010482873811672646,7,148
25,D7A,0.97,4.0,1.0,-0.0034704044114194682,7,148
26,D7A,0.97,4.0,2.0,-0.0005916461737356224,7,148
27,D7A,0.97,4.0,5.0,0.000954659774203329,7,148
28,D7A,0.965,4.0,0.0,-0.010482873811672646,7,148
29,D7A,0.965,4.0,1.0,-0.0034704044114194682,7,148
30,D7A,0.965,4.0,2.0,-0.0005916461737356224,7,148
31,D7A,0.965,4.0,5.0,0.000954659774203329,7,148
32,D7A,0.96,3.960000000000008,0.0,-0.011302147747198113,7,145
33,D7A,0.96,3.960000000000008,1.0,-0.003235375186769307,7,145
34,D7A,0.96,3.960000000000008,2.0,-0.00017310919975380541,7,145
35,D7A,0.96,3.960000000000008,5.0,0.0015566935406790311,7,145
36,D7A,0.955,3.204999999999984,0.0,-0.011302147747198113,7,145
37,D7A,0.955,3.204999999999984,1.0,-0.003235375186769307,7,145
38,D7A,0.955,3.204999999999984,2.0,-0.00017310919975380541,7,145
39,D7A,0.955,3.204999999999984,5.0,0.0015566935406790311,7,145
40,D7A,0.95,3.0,0.0,-0.011302147747198113,7,145
41,D7A,0.95,3.0,1.0,-0.003235375186769307,7,145
42,D7A,0.95,3.0,2.0,-0.00017310919975380541,7,145
43,D7A,0.95,3.0,5.0,0.0015566935406790311,7,145
44,D7A,0.945,3.0,0.0,-0.011302147747198113,7,145
45,D7A,0.945,3.0,1.0,-0.003235375186769307,7,145
46,D7A,0.945,3.0,2.0,-0.00017310919975380541,7,145
47,D7A,0.945,3.0,5.0,0.0015566935406790311,7,145
48,D7A,0.94,3.0,0.0,-0.011302147747198113,7,145
49,D7A,0.94,3.0,1.0,-0.003235375186769307,7,145
50,D7A,0.94,3.0,2.0,-0.00017310919975380541,7,145
51,D7A,0.94,3.0,5.0,0.0015566935406790311,7,145
52,D7A,0.935,3.0,0.0,-0.011302147747198113,7,145
53,D7A,0.935,3.0,1.0,-0.003235375186769307,7,145
54,D7A,0.935,3.0,2.0,-0.00017310919975380541,7,145
55,D7A,0.935,3.0,5.0,0.0015566935406790311,7,145
56,D7A,0.9299999999999999,3.0,0.0,-0.011302147747198113,7,145
57,D7A,0.9299999999999999,3.0,1.0,-0.003235375186769307,7,145
58,D7A,0.9299999999999999,3.0,2.0,-0.00017310919975380541,7,145
59,D7A,0.9299999999999999,3.0,5.0,0.0015566935406790311,7,145
60,D7A,0.925,3.0,0.0,-0.011302147747198113,7,145
61,D7A,0.925,3.0,1.0,-0.003235375186769307,7,145
62,D7A,0.925,3.0,2.0,-0.00017310919975380541,7,145
63,D7A,0.925,3.0,5.0,0.0015566935406790311,7,145
64,D7A,0.92,3.0,0.0,-0.011302147747198113,7,145
65,D7A,0.92,3.0,1.0,-0.003235375186769307,7,145
66,D7A,0.92,3.0,2.0,-0.00017310919975380541,7,145
67,D7A,0.92,3.0,5.0,0.0015566935406790311,7,145
68,D7A,0.915,3.0,0.0,-0.011302147747198113,7,145
69,D7A,0.915,3.0,1.0,-0.003235375186769307,7,145
70,D7A,0.915,3.0,2.0,-0.00017310919975380541,7,145
71,D7A,0.915,3.0,5.0,0.0015566935406790311,7,145
72,D7A,0.91,3.0,0.0,-0.011302147747198113,7,145
73,D7A,0.91,3.0,1.0,-0.003235375186769307,7,145
74,D7A,0.91,3.0,2.0,-0.00017310919975380541,7,145
75,D7A,0.91,3.0,5.0,0.0015566935406790311,7,145
76,D7A,0.905,3.0,0.0,-0.011302147747198113,7,145
77,D7A,0.905,3.0,1.0,-0.003235375186769307,7,145
78,D7A,0.905,3.0,2.0,-0.00017310919975380541,7,145
79,D7A,0.905,3.0,5.0,0.0015566935406790311,7,145
80,D7A,0.9,3.0,0.0,-0.011302147747198113,7,145
81,D7A,0.9,3.0,1.0,-0.003235375186769307,7,145
82,D7A,0.9,3.0,2.0,-0.00017310919975380541,7,145
83,D7A,0.9,3.0,5.0,0.0015566935406790311,7,145
84,D7A,0.895,3.0,0.0,-0.011302147747198113,7,145
85,D7A,0.895,3.0,1.0,-0.003235375186769307,7,145
86,D7A,0.895,3.0,2.0,-0.00017310919975380541,7,145
87,D7A,0.895,3.0,5.0,0.0015566935406790311,7,145
88,D7A,0.89,3.0,0.0,-0.011302147747198113,7,145
89,D7A,0.89,3.0,1.0,-0.003235375186769307,7,145
90,D7A,0.89,3.0,2.0,-0.00017310919975380541,7,145
91,D7A,0.89,3.0,5.0,0.0015566935406790311,7,145
92,D7A,0.885,3.0,0.0,-0.011302147747198113,7,145
93,D7A,0.885,3.0,1.0,-0.003235375186769307,7,145
94,D7A,0.885,3.0,2.0,-0.00017310919975380541,7,145
95,D7A,0.885,3.0,5.0,0.0015566935406790311,7,145
96,D7A,0.88,3.0,0.0,-0.011302147747198113,7,145
97,D7A,0.88,3.0,1.0,-0.003235375186769307,7,145
98,D7A,0.88,3.0,2.0,-0.00017310919975380541,7,145
99,D7A,0.88,3.0,5.0,0.0015566935406790311,7,145
100,D7A,0.875,3.0,0.0,-0.011302147747198113,7,145
101,D7A,0.875,3.0,1.0,-0.003235375186769307,7,145
102,D7A,0.875,3.0,2.0,-0.00017310919975380541,7,145
103,D7A,0.875,3.0,5.0,0.0015566935406790311,7,145
104,D7A,0.87,3.0,0.0,-0.011302147747198113,7,145
105,D7A,0.87,3.0,1.0,-0.003235375186769307,7,145
