,sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
0,D7B,1.0,16.0,0.0,0.0,4,70
1,D7B,1.0,16.0,1.0,0.0,4,70
2,D7B,1.0,16.0,2.0,0.0,4,70
3,D7B,1.0,16.0,5.0,0.0,4,70
4,D7B,0.995,14.620000000000005,0.0,0.008797833590031834,4,69
5,D7B,0.995,14.620000000000005,1.0,0.003182507307570137,4,69
6,D7B,0.995,14.620000000000005,2.0,0.00016167810605099975,4,69
7,D7B,0.995,14.620000000000005,5.0,-0.003085942032207023,4,69
8,D7B,0.99,13.240000000000009,0.0,0.008797833590031834,4,69
9,D7B,0.99,13.240000000000009,1.0,0.003182507307570137,4,69
10,D7B,0.99,13.240000000000009,2.0,0.00016167810605099975,4,69
11,D7B,0.99,13.240000000000009,5.0,-0.003085942032207023,4,69
12,D7B,0.985,11.860000000000014,0.0,0.0007680813750673421,4,68
13,D7B,0.985,11.860000000000014,1.0,-0.006378205954488569,4,68
14,D7B,0.985,11.860000000000014,2.0,-0.010058537400539358,4,68
15,D7B,0.985,11.860000000000014,5.0,-0.013528010133228047,4,68
16,D7B,0.98,10.480000000000018,0.0,0.0007680813750673421,4,68
17,D7B,0.98,10.480000000000018,1.0,-0.006378205954488569,4,68
18,D7B,0.98,10.480000000000018,2.0,-0.010058537400539358,4,68
19,D7B,0.98,10.480000000000018,5.0,-0.013528010133228047,4,68
20,D7B,0.975,9.099999999999966,0.0,0.0007680813750673421,4,68
21,D7B,0.975,9.099999999999966,1.0,-0.006378205954488569,4,68
22,D7B,0.975,9.099999999999966,2.0,-0.010058537400539358,4,68
23,D7B,0.975,9.099999999999966,5.0,-0.013528010133228047,4,68
24,D7B,0.97,7.859999999999985,0.0,-0.0019448413951226318,4,67
25,D7B,0.97,7.859999999999985,1.0,-0.011162043475681782,4,67
26,D7B,0.97,7.859999999999985,2.0,-0.015763335350118646,4,67
27,D7B,0.97,7.859999999999985,5.0,-0.01953128875021723,4,67
28,D7B,0.965,7.1699999999999875,0.0,-0.0019448413951226318,4,67
29,D7B,0.965,7.1699999999999875,1.0,-0.011162043475681782,4,67
30,D7B,0.965,7.1699999999999875,2.0,-0.015763335350118646,4,67
31,D7B,0.965,7.1699999999999875,5.0,-0.01953128875021723,4,67
32,D7B,0.96,6.47999999999999,0.0,-0.0019448413951226318,4,67
33,D7B,0.96,6.47999999999999,1.0,-0.011162043475681782,4,67
34,D7B,0.96,6.47999999999999,2.0,-0.015763335350118646,4,67
35,D7B,0.96,6.47999999999999,5.0,-0.01953128875021723,4,67
36,D7B,0.955,5.894999999999996,0.0,-0.03944097795636725,4,66
37,D7B,0.955,5.894999999999996,1.0,-0.055836507412735825,4,66
38,D7B,0.955,5.894999999999996,2.0,-0.061387744312830395,4,66
39,D7B,0.955,5.894999999999996,5.0,-0.06107909562170208,4,66
40,D7B,0.95,5.549999999999997,0.0,-0.03944097795636725,4,66
41,D7B,0.95,5.549999999999997,1.0,-0.055836507412735825,4,66
42,D7B,0.95,5.549999999999997,2.0,-0.061387744312830395,4,66
43,D7B,0.95,5.549999999999997,5.0,-0.06107909562170208,4,66
44,D7B,0.945,5.204999999999998,0.0,-0.03944097795636725,4,66
45,D7B,0.945,5.204999999999998,1.0,-0.055836507412735825,4,66
46,D7B,0.945,5.204999999999998,2.0,-0.061387744312830395,4,66
47,D7B,0.945,5.204999999999998,5.0,-0.06107909562170208,4,66
