,percentile,thresh_ly49c,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0,1.0,13.0,235,100.0,22,22,22,0.0,0.0,0.0,0.0
1,0.995,7.4900000000000375,233,99.14893617021276,22,22,22,0.0,0.0,-0.014891533444211872,-0.0024664820072694813
2,0.99,5.0,233,99.14893617021276,22,22,22,0.0,0.0,-0.014891533444211872,-0.0024664820072694813
3,0.985,5.0,233,99.14893617021276,22,22,22,0.0,0.0,-0.014891533444211872,-0.0024664820072694813
4,0.98,4.319999999999993,230,97.87234042553192,22,22,22,0.0,0.0,-0.013316104371501325,-0.00116575044300532
5,0.975,4.0,230,97.87234042553192,22,22,22,0.0,0.0,-0.013316104371501325,-0.00116575044300532
6,0.97,4.0,230,97.87234042553192,22,22,22,0.0,0.0,-0.013316104371501325,-0.00116575044300532
7,0.965,4.0,230,97.87234042553192,22,22,22,0.0,0.0,-0.013316104371501325,-0.00116575044300532
8,0.96,4.0,230,97.87234042553192,22,22,22,0.0,0.0,-0.013316104371501325,-0.00116575044300532
9,0.955,4.0,230,97.87234042553192,22,22,22,0.0,0.0,-0.013316104371501325,-0.00116575044300532
10,0.95,3.299999999999983,223,94.8936170212766,22,21,21,0.0,0.0,-0.040178991443130085,-0.004115287213284373
11,0.945,3.0,223,94.8936170212766,22,21,21,0.0,0.0,-0.040178991443130085,-0.004115287213284373
12,0.94,3.0,223,94.8936170212766,22,21,21,0.0,0.0,-0.040178991443130085,-0.004115287213284373
13,0.935,3.0,223,94.8936170212766,22,21,21,0.0,0.0,-0.040178991443130085,-0.004115287213284373
14,0.9299999999999999,3.0,223,94.8936170212766,22,21,21,0.0,0.0,-0.040178991443130085,-0.004115287213284373
15,0.925,3.0,223,94.8936170212766,22,21,21,0.0,0.0,-0.040178991443130085,-0.004115287213284373
16,0.92,3.0,223,94.8936170212766,22,21,21,0.0,0.0,-0.040178991443130085,-0.004115287213284373
17,0.915,3.0,223,94.8936170212766,22,21,21,0.0,0.0,-0.040178991443130085,-0.004115287213284373
18,0.91,2.9399999999999977,213,90.63829787234043,22,19,19,0.0004113211958458596,0.03966262365131337,-0.026474557967317673,-0.009766127698852939
19,0.905,2.0,213,90.63829787234043,22,19,19,0.0004113211958458596,0.03966262365131337,-0.026474557967317673,-0.009766127698852939
20,0.9,2.0,213,90.63829787234043,22,19,19,0.0004113211958458596,0.03966262365131337,-0.026474557967317673,-0.009766127698852939
21,0.895,2.0,213,90.63829787234043,22,19,19,0.0004113211958458596,0.03966262365131337,-0.026474557967317673,-0.009766127698852939
22,0.89,2.0,213,90.63829787234043,22,19,19,0.0004113211958458596,0.03966262365131337,-0.026474557967317673,-0.009766127698852939
23,0.885,2.0,213,90.63829787234043,22,19,19,0.0004113211958458596,0.03966262365131337,-0.026474557967317673,-0.009766127698852939
24,0.88,2.0,213,90.63829787234043,22,19,19,0.0004113211958458596,0.03966262365131337,-0.026474557967317673,-0.009766127698852939
25,0.875,2.0,213,90.63829787234043,22,19,19,0.0004113211958458596,0.03966262365131337,-0.026474557967317673,-0.009766127698852939
26,0.87,2.0,213,90.63829787234043,22,19,19,0.0004113211958458596,0.03966262365131337,-0.026474557967317673,-0.009766127698852939
