,sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
0,D7C,1.0,3.0,0.0,0.0,3,26
1,D7C,1.0,3.0,1.0,0.0,3,26
2,D7C,1.0,3.0,2.0,0.0,3,26
3,D7C,1.0,3.0,5.0,0.0,3,26
4,D7C,0.995,3.0,0.0,0.0,3,26
5,D7C,0.995,3.0,1.0,0.0,3,26
6,D7C,0.995,3.0,2.0,0.0,3,26
7,D7C,0.995,3.0,5.0,0.0,3,26
8,D7C,0.99,3.0,0.0,0.0,3,26
9,D7C,0.99,3.0,1.0,0.0,3,26
10,D7C,0.99,3.0,2.0,0.0,3,26
11,D7C,0.99,3.0,5.0,0.0,3,26
12,D7C,0.985,3.0,0.0,0.0,3,26
13,D7C,0.985,3.0,1.0,0.0,3,26
14,D7C,0.985,3.0,2.0,0.0,3,26
15,D7C,0.985,3.0,5.0,0.0,3,26
16,D7C,0.98,3.0,0.0,0.0,3,26
17,D7C,0.98,3.0,1.0,0.0,3,26
18,D7C,0.98,3.0,2.0,0.0,3,26
19,D7C,0.98,3.0,5.0,0.0,3,26
20,D7C,0.975,3.0,0.0,0.0,3,26
21,D7C,0.975,3.0,1.0,0.0,3,26
22,D7C,0.975,3.0,2.0,0.0,3,26
23,D7C,0.975,3.0,5.0,0.0,3,26
24,D7C,0.97,3.0,0.0,0.0,3,26
25,D7C,0.97,3.0,1.0,0.0,3,26
26,D7C,0.97,3.0,2.0,0.0,3,26
27,D7C,0.97,3.0,5.0,0.0,3,26
28,D7C,0.965,3.0,0.0,0.0,3,26
29,D7C,0.965,3.0,1.0,0.0,3,26
30,D7C,0.965,3.0,2.0,0.0,3,26
31,D7C,0.965,3.0,5.0,0.0,3,26
32,D7C,0.96,3.0,0.0,0.0,3,26
33,D7C,0.96,3.0,1.0,0.0,3,26
34,D7C,0.96,3.0,2.0,0.0,3,26
35,D7C,0.96,3.0,5.0,0.0,3,26
36,D7C,0.955,3.0,0.0,0.0,3,26
37,D7C,0.955,3.0,1.0,0.0,3,26
38,D7C,0.955,3.0,2.0,0.0,3,26
39,D7C,0.955,3.0,5.0,0.0,3,26
40,D7C,0.95,3.0,0.0,0.0,3,26
41,D7C,0.95,3.0,1.0,0.0,3,26
42,D7C,0.95,3.0,2.0,0.0,3,26
43,D7C,0.95,3.0,5.0,0.0,3,26
44,D7C,0.945,3.0,0.0,0.0,3,26
45,D7C,0.945,3.0,1.0,0.0,3,26
46,D7C,0.945,3.0,2.0,0.0,3,26
47,D7C,0.945,3.0,5.0,0.0,3,26
48,D7C,0.94,3.0,0.0,0.0,3,26
49,D7C,0.94,3.0,1.0,0.0,3,26
50,D7C,0.94,3.0,2.0,0.0,3,26
51,D7C,0.94,3.0,5.0,0.0,3,26
52,D7C,0.935,3.0,0.0,0.0,3,26
53,D7C,0.935,3.0,1.0,0.0,3,26
54,D7C,0.935,3.0,2.0,0.0,3,26
55,D7C,0.935,3.0,5.0,0.0,3,26
56,D7C,0.9299999999999999,3.0,0.0,0.0,3,26
57,D7C,0.9299999999999999,3.0,1.0,0.0,3,26
58,D7C,0.9299999999999999,3.0,2.0,0.0,3,26
59,D7C,0.9299999999999999,3.0,5.0,0.0,3,26
60,D7C,0.925,3.0,0.0,0.0,3,26
61,D7C,0.925,3.0,1.0,0.0,3,26
62,D7C,0.925,3.0,2.0,0.0,3,26
63,D7C,0.925,3.0,5.0,0.0,3,26
64,D7C,0.92,3.0,0.0,0.0,3,26
65,D7C,0.92,3.0,1.0,0.0,3,26
66,D7C,0.92,3.0,2.0,0.0,3,26
67,D7C,0.92,3.0,5.0,0.0,3,26
68,D7C,0.915,2.875,0.0,0.0030753339306741623,2,23
69,D7C,0.915,2.875,1.0,0.007369706795068209,2,23
70,D7C,0.915,2.875,2.0,0.008548172155454559,2,23
71,D7C,0.915,2.875,5.0,0.009435444508763657,2,23
72,D7C,0.91,2.75,0.0,0.0030753339306741623,2,23
73,D7C,0.91,2.75,1.0,0.007369706795068209,2,23
74,D7C,0.91,2.75,2.0,0.008548172155454559,2,23
75,D7C,0.91,2.75,5.0,0.009435444508763657,2,23
76,D7C,0.905,2.625,0.0,0.0030753339306741623,2,23
77,D7C,0.905,2.625,1.0,0.007369706795068209,2,23
78,D7C,0.905,2.625,2.0,0.008548172155454559,2,23
79,D7C,0.905,2.625,5.0,0.009435444508763657,2,23
80,D7C,0.9,2.5,0.0,0.0030753339306741623,2,23
81,D7C,0.9,2.5,1.0,0.007369706795068209,2,23
82,D7C,0.9,2.5,2.0,0.008548172155454559,2,23
83,D7C,0.9,2.5,5.0,0.009435444508763657,2,23
84,D7C,0.895,2.375,0.0,0.0030753339306741623,2,23
85,D7C,0.895,2.375,1.0,0.007369706795068209,2,23
86,D7C,0.895,2.375,2.0,0.008548172155454559,2,23
87,D7C,0.895,2.375,5.0,0.009435444508763657,2,23
88,D7C,0.89,2.25,0.0,0.0030753339306741623,2,23
89,D7C,0.89,2.25,1.0,0.007369706795068209,2,23
90,D7C,0.89,2.25,2.0,0.008548172155454559,2,23
91,D7C,0.89,2.25,5.0,0.009435444508763657,2,23
92,D7C,0.885,2.125,0.0,0.0030753339306741623,2,23
93,D7C,0.885,2.125,1.0,0.007369706795068209,2,23
94,D7C,0.885,2.125,2.0,0.008548172155454559,2,23
95,D7C,0.885,2.125,5.0,0.009435444508763657,2,23
96,D7C,0.88,2.0,0.0,0.0030753339306741623,2,23
97,D7C,0.88,2.0,1.0,0.007369706795068209,2,23
98,D7C,0.88,2.0,2.0,0.008548172155454559,2,23
99,D7C,0.88,2.0,5.0,0.009435444508763657,2,23
100,D7C,0.875,1.875,0.0,0.006590001280015967,2,22
101,D7C,0.875,1.875,1.0,0.03359484961442316,2,22
102,D7C,0.875,1.875,2.0,0.041458223682098505,2,22
