sample,percentile,thresh_eeepvkki,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7A,1.0,147.0,0.0,0.0,137,2923
D7A,1.0,147.0,1.0,0.0,137,2923
D7A,1.0,147.0,2.0,0.0,137,2923
D7A,1.0,147.0,5.0,0.0,137,2923
D7A,0.995,16.76000000000022,0.0,-0.0057824589083509135,137,2911
D7A,0.995,16.76000000000022,1.0,-0.0037042386667173084,137,2911
D7A,0.995,16.76000000000022,2.0,-0.002669257791084328,137,2911
D7A,0.995,16.76000000000022,5.0,-0.0018300748701417676,137,2911
D7A,0.99,14.0,0.0,-0.00888609193442949,137,2900
D7A,0.99,14.0,1.0,-0.006089581570551582,137,2900
D7A,0.99,14.0,2.0,-0.004832654318199703,137,2900
D7A,0.99,14.0,5.0,-0.0038455742767791973,137,2900
D7A,0.985,12.0,0.0,-0.014221274351337805,137,2890
D7A,0.985,12.0,1.0,-0.01057496283072466,137,2890
D7A,0.985,12.0,2.0,-0.00888426524942549,137,2890
D7A,0.985,12.0,5.0,-0.007370638713164431,137,2890
D7A,0.98,10.0,0.0,-0.024511075156698387,137,2873
D7A,0.98,10.0,1.0,-0.019376395140706437,137,2873
D7A,0.98,10.0,2.0,-0.01666798412325648,137,2873
D7A,0.98,10.0,5.0,-0.013781533958494045,137,2873
D7A,0.975,9.0,0.0,-0.027549529022592008,136,2857
D7A,0.975,9.0,1.0,-0.021876977621035406,136,2857
D7A,0.975,9.0,2.0,-0.01884882342552195,136,2857
D7A,0.975,9.0,5.0,-0.01562992355102384,136,2857
D7A,0.97,8.0,0.0,-0.0315281782163952,135,2847
D7A,0.97,8.0,1.0,-0.025686872597953957,135,2847
D7A,0.97,8.0,2.0,-0.02238880769891934,135,2847
D7A,0.97,8.0,5.0,-0.01866111132840372,135,2847
D7A,0.965,8.0,0.0,-0.0315281782163952,135,2847
D7A,0.965,8.0,1.0,-0.025686872597953957,135,2847
D7A,0.965,8.0,2.0,-0.02238880769891934,135,2847
D7A,0.965,8.0,5.0,-0.01866111132840372,135,2847
D7A,0.96,7.0,0.0,-0.039647059420605986,134,2818
D7A,0.96,7.0,1.0,-0.03351215127887376,134,2818
D7A,0.96,7.0,2.0,-0.02981352932702996,134,2818
D7A,0.96,7.0,5.0,-0.02528720511508114,134,2818
D7A,0.955,7.0,0.0,-0.039647059420605986,134,2818
D7A,0.955,7.0,1.0,-0.03351215127887376,134,2818
D7A,0.955,7.0,2.0,-0.02981352932702996,134,2818
D7A,0.955,7.0,5.0,-0.02528720511508114,134,2818
D7A,0.95,6.0,0.0,-0.05071387446112052,134,2790
D7A,0.95,6.0,1.0,-0.044750860973630735,134,2790
D7A,0.95,6.0,2.0,-0.04089267543144661,134,2790
D7A,0.95,6.0,5.0,-0.03558122670927031,134,2790
D7A,0.945,6.0,0.0,-0.05071387446112052,134,2790
D7A,0.945,6.0,1.0,-0.044750860973630735,134,2790
D7A,0.945,6.0,2.0,-0.04089267543144661,134,2790
D7A,0.945,6.0,5.0,-0.03558122670927031,134,2790
D7A,0.94,5.0,0.0,-0.05815461563806127,133,2764
D7A,0.94,5.0,1.0,-0.05211892749647088,133,2764
D7A,0.94,5.0,2.0,-0.04805970906150293,133,2764
D7A,0.94,5.0,5.0,-0.04204778400853919,133,2764
D7A,0.935,5.0,0.0,-0.05815461563806127,133,2764
D7A,0.935,5.0,1.0,-0.05211892749647088,133,2764
D7A,0.935,5.0,2.0,-0.04805970906150293,133,2764
D7A,0.935,5.0,5.0,-0.04204778400853919,133,2764
D7A,0.9299999999999999,5.0,0.0,-0.05815461563806127,133,2764
D7A,0.9299999999999999,5.0,1.0,-0.05211892749647088,133,2764
D7A,0.9299999999999999,5.0,2.0,-0.04805970906150293,133,2764
D7A,0.9299999999999999,5.0,5.0,-0.04204778400853919,133,2764
D7A,0.925,4.0,0.0,-0.07421765503102848,132,2717
D7A,0.925,4.0,1.0,-0.06750895947478905,132,2717
D7A,0.925,4.0,2.0,-0.0627741540700099,132,2717
D7A,0.925,4.0,5.0,-0.055365055639694113,132,2717
D7A,0.92,4.0,0.0,-0.07421765503102848,132,2717
D7A,0.92,4.0,1.0,-0.06750895947478905,132,2717
D7A,0.92,4.0,2.0,-0.0627741540700099,132,2717
D7A,0.92,4.0,5.0,-0.055365055639694113,132,2717
D7A,0.915,4.0,0.0,-0.07421765503102848,132,2717
D7A,0.915,4.0,1.0,-0.06750895947478905,132,2717
D7A,0.915,4.0,2.0,-0.0627741540700099,132,2717
D7A,0.915,4.0,5.0,-0.055365055639694113,132,2717
D7A,0.91,3.0,0.0,-0.08392528456875618,130,2671
D7A,0.91,3.0,1.0,-0.07617812607390234,130,2671
D7A,0.91,3.0,2.0,-0.07058887412971232,130,2671
D7A,0.91,3.0,5.0,-0.06223929848037945,130,2671
D7A,0.905,3.0,0.0,-0.08392528456875618,130,2671
D7A,0.905,3.0,1.0,-0.07617812607390234,130,2671
D7A,0.905,3.0,2.0,-0.07058887412971232,130,2671
D7A,0.905,3.0,5.0,-0.06223929848037945,130,2671
