,percentile,thresh_ly49c,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0,1.0,96.0,726,100.0,17,17,17,0.0,0.0,0.0,0.0
1,0.995,40.875,722,99.44903581267218,17,17,17,0.0,0.0,-0.003924407966484274,-0.004552974681301601
2,0.99,17.25,718,98.89807162534436,17,17,17,0.0,0.0,-0.005249672074593749,-0.0042192544529503825
3,0.985,11.125,715,98.48484848484848,17,17,17,0.0,0.0,-0.0035896388134312764,-0.004499361372656679
4,0.98,9.0,713,98.20936639118457,17,17,17,0.0,0.0,-0.004380460417215646,-0.0044345118535161245
5,0.975,8.0,710,97.7961432506887,17,17,17,0.0,0.0,-0.020043027328646556,-0.005018042178251319
6,0.97,7.25,704,96.96969696969697,17,17,17,0.0,0.0,-0.03710736367278941,-0.004228583294573028
7,0.965,6.625,700,96.41873278236915,17,17,17,0.0,0.0,-0.03870349071369407,-0.003842435237163593
8,0.96,6.0,700,96.41873278236915,17,17,17,0.0,0.0,-0.03870349071369407,-0.003842435237163593
9,0.955,6.0,700,96.41873278236915,17,17,17,0.0,0.0,-0.03870349071369407,-0.003842435237163593
10,0.95,6.0,700,96.41873278236915,17,17,17,0.0,0.0,-0.03870349071369407,-0.003842435237163593
11,0.945,5.0,688,94.76584022038567,17,17,17,0.0,0.0,-0.043123489808681394,-0.004156112110771669
12,0.94,5.0,688,94.76584022038567,17,17,17,0.0,0.0,-0.043123489808681394,-0.004156112110771669
13,0.935,5.0,688,94.76584022038567,17,17,17,0.0,0.0,-0.043123489808681394,-0.004156112110771669
14,0.9299999999999999,4.0,676,93.1129476584022,17,17,17,0.0,0.0,-0.046534026241999094,-0.004184592410091722
15,0.925,4.0,676,93.1129476584022,17,17,17,0.0,0.0,-0.046534026241999094,-0.004184592410091722
16,0.92,4.0,676,93.1129476584022,17,17,17,0.0,0.0,-0.046534026241999094,-0.004184592410091722
17,0.915,4.0,676,93.1129476584022,17,17,17,0.0,0.0,-0.046534026241999094,-0.004184592410091722
18,0.91,4.0,676,93.1129476584022,17,17,17,0.0,0.0,-0.046534026241999094,-0.004184592410091722
19,0.905,4.0,676,93.1129476584022,17,17,17,0.0,0.0,-0.046534026241999094,-0.004184592410091722
20,0.9,4.0,676,93.1129476584022,17,17,17,0.0,0.0,-0.046534026241999094,-0.004184592410091722
21,0.895,4.0,676,93.1129476584022,17,17,17,0.0,0.0,-0.046534026241999094,-0.004184592410091722
22,0.89,4.0,676,93.1129476584022,17,17,17,0.0,0.0,-0.046534026241999094,-0.004184592410091722
23,0.885,3.625,642,88.4297520661157,17,17,17,0.00015035749479097582,0.031065201320844674,-0.07518343903660807,-0.013198165622350974
24,0.88,3.0,642,88.4297520661157,17,17,17,0.00015035749479097582,0.031065201320844674,-0.07518343903660807,-0.013198165622350974
