,sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
0,D7B,1.0,69.0,0.0,0.0,98,1284
1,D7B,1.0,69.0,1.0,0.0,98,1284
2,D7B,1.0,69.0,2.0,0.0,98,1284
3,D7B,1.0,69.0,5.0,0.0,98,1284
4,D7B,0.995,17.585000000000036,0.0,-0.005479811268701118,98,1277
5,D7B,0.995,17.585000000000036,1.0,-0.0036021363528040157,98,1277
6,D7B,0.995,17.585000000000036,2.0,-0.0025649218738925173,98,1277
7,D7B,0.995,17.585000000000036,5.0,-0.0017368803048776974,98,1277
8,D7B,0.99,12.170000000000073,0.0,-0.009918924172292565,97,1271
9,D7B,0.99,12.170000000000073,1.0,-0.007714342102893669,97,1271
10,D7B,0.99,12.170000000000073,2.0,-0.006441859208649746,97,1271
11,D7B,0.99,12.170000000000073,5.0,-0.0052114936057889635,97,1271
12,D7B,0.985,8.0,0.0,-0.010922995549653432,97,1265
13,D7B,0.985,8.0,1.0,-0.00901504685297352,97,1265
14,D7B,0.985,8.0,2.0,-0.008036857170524518,97,1265
15,D7B,0.985,8.0,5.0,-0.007052888890785718,97,1265
16,D7B,0.98,7.0,0.0,-0.013109233708161543,97,1261
17,D7B,0.98,7.0,1.0,-0.01125606470146412,97,1261
18,D7B,0.98,7.0,2.0,-0.010294993938605166,97,1261
19,D7B,0.98,7.0,5.0,-0.00918057540166617,97,1261
20,D7B,0.975,7.0,0.0,-0.013109233708161543,97,1261
21,D7B,0.975,7.0,1.0,-0.01125606470146412,97,1261
22,D7B,0.975,7.0,2.0,-0.010294993938605166,97,1261
23,D7B,0.975,7.0,5.0,-0.00918057540166617,97,1261
24,D7B,0.97,6.0,0.0,-0.014421637786665812,95,1248
25,D7B,0.97,6.0,1.0,-0.011379952043553743,95,1248
26,D7B,0.97,6.0,2.0,-0.009570423447263122,95,1248
27,D7B,0.97,6.0,5.0,-0.007937801879079812,95,1248
28,D7B,0.965,5.0,0.0,-0.016369944208392478,95,1241
29,D7B,0.965,5.0,1.0,-0.013260795845724099,95,1241
30,D7B,0.965,5.0,2.0,-0.011432119810205373,95,1241
31,D7B,0.965,5.0,5.0,-0.009754658032540905,95,1241
32,D7B,0.96,5.0,0.0,-0.016369944208392478,95,1241
33,D7B,0.96,5.0,1.0,-0.013260795845724099,95,1241
34,D7B,0.96,5.0,2.0,-0.011432119810205373,95,1241
35,D7B,0.96,5.0,5.0,-0.009754658032540905,95,1241
36,D7B,0.955,5.0,0.0,-0.016369944208392478,95,1241
37,D7B,0.955,5.0,1.0,-0.013260795845724099,95,1241
38,D7B,0.955,5.0,2.0,-0.011432119810205373,95,1241
39,D7B,0.955,5.0,5.0,-0.009754658032540905,95,1241
40,D7B,0.95,4.0,0.0,-0.021347599673838213,94,1224
41,D7B,0.95,4.0,1.0,-0.016528196603809497,94,1224
42,D7B,0.95,4.0,2.0,-0.013689354330241316,94,1224
43,D7B,0.95,4.0,5.0,-0.01117608715169346,94,1224
44,D7B,0.945,4.0,0.0,-0.021347599673838213,94,1224
45,D7B,0.945,4.0,1.0,-0.016528196603809497,94,1224
46,D7B,0.945,4.0,2.0,-0.013689354330241316,94,1224
47,D7B,0.945,4.0,5.0,-0.01117608715169346,94,1224
48,D7B,0.94,4.0,0.0,-0.021347599673838213,94,1224
49,D7B,0.94,4.0,1.0,-0.016528196603809497,94,1224
50,D7B,0.94,4.0,2.0,-0.013689354330241316,94,1224
51,D7B,0.94,4.0,5.0,-0.01117608715169346,94,1224
52,D7B,0.935,4.0,0.0,-0.021347599673838213,94,1224
53,D7B,0.935,4.0,1.0,-0.016528196603809497,94,1224
54,D7B,0.935,4.0,2.0,-0.013689354330241316,94,1224
55,D7B,0.935,4.0,5.0,-0.01117608715169346,94,1224
56,D7B,0.9299999999999999,4.0,0.0,-0.021347599673838213,94,1224
57,D7B,0.9299999999999999,4.0,1.0,-0.016528196603809497,94,1224
58,D7B,0.9299999999999999,4.0,2.0,-0.013689354330241316,94,1224
59,D7B,0.9299999999999999,4.0,5.0,-0.01117608715169346,94,1224
60,D7B,0.925,4.0,0.0,-0.021347599673838213,94,1224
