,percentile,thresh_ly49c,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0,1.0,69.0,1284,100.0,98,98,98,0.0,0.0,0.0,0.0
1,0.995,17.585000000000036,1277,99.45482866043614,98,98,98,0.0,0.0,-0.0036021363528040157,-0.0007051468243804758
2,0.99,12.170000000000073,1271,98.98753894080997,98,97,97,0.0,0.0,-0.007714342102893669,-0.001899577201357078
3,0.985,8.0,1265,98.5202492211838,98,97,97,0.0,0.0,-0.00901504685297352,-0.0024428586160809905
4,0.98,7.0,1261,98.20872274143302,98,97,97,0.0,0.0,-0.01125606470146412,-0.002824819313327726
5,0.975,7.0,1261,98.20872274143302,98,97,97,0.0,0.0,-0.01125606470146412,-0.002824819313327726
6,0.97,6.0,1248,97.19626168224299,98,95,95,0.0,0.0,-0.011379952043553743,-0.0031439782482061106
7,0.965,5.0,1241,96.65109034267913,98,95,95,0.0,0.0,-0.013260795845724099,-0.003508608066502276
8,0.96,5.0,1241,96.65109034267913,98,95,95,0.0,0.0,-0.013260795845724099,-0.003508608066502276
9,0.955,5.0,1241,96.65109034267913,98,95,95,0.0,0.0,-0.013260795845724099,-0.003508608066502276
10,0.95,4.0,1224,95.32710280373831,98,94,94,0.0,0.0,-0.0165281966038095,-0.00405941659371854
11,0.945,4.0,1224,95.32710280373831,98,94,94,0.0,0.0,-0.0165281966038095,-0.00405941659371854
12,0.94,4.0,1224,95.32710280373831,98,94,94,0.0,0.0,-0.0165281966038095,-0.00405941659371854
13,0.935,4.0,1224,95.32710280373831,98,94,94,0.0,0.0,-0.0165281966038095,-0.00405941659371854
14,0.9299999999999999,4.0,1224,95.32710280373831,98,94,94,0.0,0.0,-0.0165281966038095,-0.00405941659371854
15,0.925,4.0,1224,95.32710280373831,98,94,94,0.0,0.0,-0.0165281966038095,-0.00405941659371854
16,0.92,3.0,1185,92.28971962616822,98,92,92,0.0012170946743807476,0.052858928559261976,-0.033870672526030744,-0.008378980229685756
17,0.915,3.0,1185,92.28971962616822,98,92,92,0.0012170946743807476,0.052858928559261976,-0.033870672526030744,-0.008378980229685756
18,0.91,3.0,1185,92.28971962616822,98,92,92,0.0012170946743807476,0.052858928559261976,-0.033870672526030744,-0.008378980229685756
19,0.905,3.0,1185,92.28971962616822,98,92,92,0.0012170946743807476,0.052858928559261976,-0.033870672526030744,-0.008378980229685756
20,0.9,3.0,1185,92.28971962616822,98,92,92,0.0012170946743807476,0.052858928559261976,-0.033870672526030744,-0.008378980229685756
21,0.895,3.0,1185,92.28971962616822,98,92,92,0.0012170946743807476,0.052858928559261976,-0.033870672526030744,-0.008378980229685756
22,0.89,3.0,1185,92.28971962616822,98,92,92,0.0012170946743807476,0.052858928559261976,-0.033870672526030744,-0.008378980229685756
23,0.885,3.0,1185,92.28971962616822,98,92,92,0.0012170946743807476,0.052858928559261976,-0.033870672526030744,-0.008378980229685756
24,0.88,3.0,1185,92.28971962616822,98,92,92,0.0012170946743807476,0.052858928559261976,-0.033870672526030744,-0.008378980229685756
25,0.875,3.0,1185,92.28971962616822,98,92,92,0.0012170946743807476,0.052858928559261976,-0.033870672526030744,-0.008378980229685756
26,0.87,3.0,1185,92.28971962616822,98,92,92,0.0012170946743807476,0.052858928559261976,-0.033870672526030744,-0.008378980229685756
27,0.865,2.0,1115,86.8380062305296,98,87,87,0.006102505162899008,0.10255113468366839,-0.04757817496688255,-0.010101603114743962
28,0.86,2.0,1115,86.8380062305296,98,87,87,0.006102505162899008,0.10255113468366839,-0.04757817496688255,-0.010101603114743962
29,0.855,2.0,1115,86.8380062305296,98,87,87,0.006102505162899008,0.10255113468366839,-0.04757817496688255,-0.010101603114743962
30,0.85,2.0,1115,86.8380062305296,98,87,87,0.006102505162899008,0.10255113468366839,-0.04757817496688255,-0.010101603114743962
31,0.845,2.0,1115,86.8380062305296,98,87,87,0.006102505162899008,0.10255113468366839,-0.04757817496688255,-0.010101603114743962
32,0.84,2.0,1115,86.8380062305296,98,87,87,0.006102505162899008,0.10255113468366839,-0.04757817496688255,-0.010101603114743962
33,0.835,2.0,1115,86.8380062305296,98,87,87,0.006102505162899008,0.10255113468366839,-0.04757817496688255,-0.010101603114743962
34,0.83,2.0,1115,86.8380062305296,98,87,87,0.006102505162899008,0.10255113468366839,-0.04757817496688255,-0.010101603114743962
35,0.825,2.0,1115,86.8380062305296,98,87,87,0.006102505162899008,0.10255113468366839,-0.04757817496688255,-0.010101603114743962
36,0.8200000000000001,2.0,1115,86.8380062305296,98,87,87,0.006102505162899008,0.10255113468366839,-0.04757817496688255,-0.010101603114743962
37,0.815,2.0,1115,86.8380062305296,98,87,87,0.006102505162899008,0.10255113468366839,-0.04757817496688255,-0.010101603114743962
38,0.81,2.0,1115,86.8380062305296,98,87,87,0.006102505162899008,0.10255113468366839,-0.04757817496688255,-0.010101603114743962
39,0.8049999999999999,2.0,1115,86.8380062305296,98,87,87,0.006102505162899008,0.10255113468366839,-0.04757817496688255,-0.010101603114743962
