sample,percentile,thresh_eeepvkki,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7C,1.0,47.0,0.0,0.0,126,2816
D7C,1.0,47.0,1.0,0.0,126,2816
D7C,1.0,47.0,2.0,0.0,126,2816
D7C,1.0,47.0,5.0,0.0,126,2816
D7C,0.995,15.0,0.0,-0.0013752785887518745,126,2809
D7C,0.995,15.0,1.0,-0.0010404964723502647,126,2809
D7C,0.995,15.0,2.0,-0.0008415537098181974,126,2809
D7C,0.995,15.0,5.0,-0.0006703008359921876,126,2809
D7C,0.99,11.63000000000011,0.0,-0.012194839460786717,125,2787
D7C,0.99,11.63000000000011,1.0,-0.01033092918223547,125,2787
D7C,0.99,11.63000000000011,2.0,-0.009281194708221238,125,2787
D7C,0.99,11.63000000000011,5.0,-0.00807771867205637,125,2787
D7C,0.985,10.0,0.0,-0.014707682071064957,124,2782
D7C,0.985,10.0,1.0,-0.012731606096349529,124,2782
D7C,0.985,10.0,2.0,-0.011690464066479929,124,2782
D7C,0.985,10.0,5.0,-0.010437909335491312,124,2782
D7C,0.98,8.0,0.0,-0.02254231696146272,124,2763
D7C,0.98,8.0,1.0,-0.020209640194188493,124,2763
D7C,0.98,8.0,2.0,-0.018914104082944787,124,2763
D7C,0.98,8.0,5.0,-0.01696095908814161,124,2763
D7C,0.975,7.0,0.0,-0.02878786539929077,124,2748
D7C,0.975,7.0,1.0,-0.026147502501861732,124,2748
D7C,0.975,7.0,2.0,-0.024629278932763864,124,2748
D7C,0.975,7.0,5.0,-0.02224029464556268,124,2748
D7C,0.97,6.0,0.0,-0.0331624458353139,124,2734
D7C,0.97,6.0,1.0,-0.030054098995478003,124,2734
D7C,0.97,6.0,2.0,-0.028249368614435364,124,2734
D7C,0.97,6.0,5.0,-0.02543567940684486,124,2734
D7C,0.965,6.0,0.0,-0.0331624458353139,124,2734
D7C,0.965,6.0,1.0,-0.030054098995478003,124,2734
D7C,0.965,6.0,2.0,-0.028249368614435364,124,2734
D7C,0.965,6.0,5.0,-0.02543567940684486,124,2734
D7C,0.96,5.0,0.0,-0.04383938151302998,123,2710
D7C,0.96,5.0,1.0,-0.039935474562773854,123,2710
D7C,0.96,5.0,2.0,-0.037608847902161256,123,2710
D7C,0.96,5.0,5.0,-0.0339237062861329,123,2710
D7C,0.955,5.0,0.0,-0.04383938151302998,123,2710
D7C,0.955,5.0,1.0,-0.039935474562773854,123,2710
D7C,0.955,5.0,2.0,-0.037608847902161256,123,2710
D7C,0.955,5.0,5.0,-0.0339237062861329,123,2710
D7C,0.95,4.0,0.0,-0.061380604340521644,120,2672
D7C,0.95,4.0,1.0,-0.05641901228170474,120,2672
D7C,0.95,4.0,2.0,-0.05306626229281353,120,2672
D7C,0.95,4.0,5.0,-0.04758447986548691,120,2672
D7C,0.945,4.0,0.0,-0.061380604340521644,120,2672
D7C,0.945,4.0,1.0,-0.05641901228170474,120,2672
D7C,0.945,4.0,2.0,-0.05306626229281353,120,2672
D7C,0.945,4.0,5.0,-0.04758447986548691,120,2672
D7C,0.94,4.0,0.0,-0.061380604340521644,120,2672
D7C,0.94,4.0,1.0,-0.05641901228170474,120,2672
D7C,0.94,4.0,2.0,-0.05306626229281353,120,2672
D7C,0.94,4.0,5.0,-0.04758447986548691,120,2672
D7C,0.935,3.0,0.0,-0.06805989005245214,120,2637
D7C,0.935,3.0,1.0,-0.06286333826299194,120,2637
D7C,0.935,3.0,2.0,-0.05929812292977763,120,2637
D7C,0.935,3.0,5.0,-0.05353172663105902,120,2637
D7C,0.9299999999999999,3.0,0.0,-0.06805989005245214,120,2637
D7C,0.9299999999999999,3.0,1.0,-0.06286333826299194,120,2637
