,sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
0,D7C,1.0,76.0,0.0,0.0,24,941
1,D7C,1.0,76.0,1.0,0.0,24,941
2,D7C,1.0,76.0,2.0,0.0,24,941
3,D7C,1.0,76.0,5.0,0.0,24,941
4,D7C,0.995,30.899999999999864,0.0,-0.0023891188544538366,24,936
5,D7C,0.995,30.899999999999864,1.0,-0.002573979444438592,24,936
6,D7C,0.995,30.899999999999864,2.0,-0.002590862112748421,24,936
7,D7C,0.995,30.899999999999864,5.0,-0.002441295687535141,24,936
8,D7C,0.99,16.200000000000045,0.0,-0.004162222898329802,24,931
9,D7C,0.99,16.200000000000045,1.0,-0.004627079087068479,24,931
10,D7C,0.99,16.200000000000045,2.0,-0.004676879040845049,24,931
11,D7C,0.99,16.200000000000045,5.0,-0.00436982388693651,24,931
12,D7C,0.985,12.899999999999977,0.0,-0.0037291759993641573,24,926
13,D7C,0.985,12.899999999999977,1.0,-0.004220585590492876,24,926
14,D7C,0.985,12.899999999999977,2.0,-0.004319812158942259,24,926
15,D7C,0.985,12.899999999999977,5.0,-0.004038854119351019,24,926
16,D7C,0.98,9.399999999999864,0.0,-0.003947839709422992,24,922
17,D7C,0.98,9.399999999999864,1.0,-0.004247573075896488,24,922
18,D7C,0.98,9.399999999999864,2.0,-0.004320488624605448,24,922
19,D7C,0.98,9.399999999999864,5.0,-0.004030959916702261,24,922
20,D7C,0.975,7.5,0.0,-0.002565837939937162,24,917
21,D7C,0.975,7.5,1.0,-0.003353394553583846,24,917
22,D7C,0.975,7.5,2.0,-0.00356776480694553,24,917
23,D7C,0.975,7.5,5.0,-0.0033436316442955333,24,917
24,D7C,0.97,7.0,0.0,-0.002565837939937162,24,917
25,D7C,0.97,7.0,1.0,-0.003353394553583846,24,917
26,D7C,0.97,7.0,2.0,-0.00356776480694553,24,917
27,D7C,0.97,7.0,5.0,-0.0033436316442955333,24,917
28,D7C,0.965,6.0,0.0,-0.006416923616276544,24,911
29,D7C,0.965,6.0,1.0,-0.000509949773459431,24,911
30,D7C,0.965,6.0,2.0,0.00039392999097590903,24,911
31,D7C,0.965,6.0,5.0,0.0005184535891442493,24,911
32,D7C,0.96,5.399999999999977,0.0,-0.010063426536457483,23,903
33,D7C,0.96,5.399999999999977,1.0,8.459935865510965e-05,23,903
34,D7C,0.96,5.399999999999977,2.0,0.0033588613967682006,23,903
35,D7C,0.96,5.399999999999977,5.0,0.00487714008585916,23,903
36,D7C,0.955,5.0,0.0,-0.010063426536457483,23,903
37,D7C,0.955,5.0,1.0,8.459935865510965e-05,23,903
38,D7C,0.955,5.0,2.0,0.0033588613967682006,23,903
39,D7C,0.955,5.0,5.0,0.00487714008585916,23,903
40,D7C,0.95,5.0,0.0,-0.010063426536457483,23,903
41,D7C,0.95,5.0,1.0,8.459935865510965e-05,23,903
42,D7C,0.95,5.0,2.0,0.0033588613967682006,23,903
43,D7C,0.95,5.0,5.0,0.00487714008585916,23,903
44,D7C,0.945,5.0,0.0,-0.010063426536457483,23,903
45,D7C,0.945,5.0,1.0,8.459935865510965e-05,23,903
46,D7C,0.945,5.0,2.0,0.0033588613967682006,23,903
47,D7C,0.945,5.0,5.0,0.00487714008585916,23,903
48,D7C,0.94,4.599999999999909,0.0,-0.01575889228616294,23,884
49,D7C,0.94,4.599999999999909,1.0,-0.0037649245491555815,23,884
50,D7C,0.94,4.599999999999909,2.0,0.0003549912570370174,23,884
51,D7C,0.94,4.599999999999909,5.0,0.0024065605794093897,23,884
52,D7C,0.935,4.0,0.0,-0.01575889228616294,23,884
53,D7C,0.935,4.0,1.0,-0.0037649245491555815,23,884
54,D7C,0.935,4.0,2.0,0.0003549912570370174,23,884
55,D7C,0.935,4.0,5.0,0.0024065605794093897,23,884
56,D7C,0.9299999999999999,4.0,0.0,-0.01575889228616294,23,884
57,D7C,0.9299999999999999,4.0,1.0,-0.0037649245491555815,23,884
