,sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
0,D7C,1.0,817.0,0.0,0.0,100,1814
1,D7C,1.0,817.0,1.0,0.0,100,1814
2,D7C,1.0,817.0,2.0,0.0,100,1814
3,D7C,1.0,817.0,5.0,0.0,100,1814
4,D7C,0.995,59.73999999999978,0.0,-0.006315973209583985,100,1804
5,D7C,0.995,59.73999999999978,1.0,-0.006044287678761742,100,1804
6,D7C,0.995,59.73999999999978,2.0,-0.00568638007707004,100,1804
7,D7C,0.995,59.73999999999978,5.0,-0.00488699360697157,100,1804
8,D7C,0.99,25.0,0.0,-0.015196412702953147,100,1796
9,D7C,0.99,25.0,1.0,-0.014488522850518158,100,1796
10,D7C,0.99,25.0,2.0,-0.013703567577543638,100,1796
11,D7C,0.99,25.0,5.0,-0.011845731181489398,100,1796
12,D7C,0.985,16.805000000000064,0.0,-0.0203813987018142,100,1786
13,D7C,0.985,16.805000000000064,1.0,-0.018716934842257213,100,1786
14,D7C,0.985,16.805000000000064,2.0,-0.017415175125484388,100,1786
15,D7C,0.985,16.805000000000064,5.0,-0.015002122050720037,100,1786
16,D7C,0.98,11.0,0.0,-0.02229169535948149,100,1779
17,D7C,0.98,11.0,1.0,-0.020673766646370835,100,1779
18,D7C,0.98,11.0,2.0,-0.019407298739748793,100,1779
19,D7C,0.98,11.0,5.0,-0.016976652203283874,100,1779
20,D7C,0.975,9.0,0.0,-0.022613445460946305,99,1773
21,D7C,0.975,9.0,1.0,-0.02054093698574406,99,1773
22,D7C,0.975,9.0,2.0,-0.019163076934551677,99,1773
23,D7C,0.975,9.0,5.0,-0.01688713356262134,99,1773
24,D7C,0.97,8.0,0.0,-0.02626849938123268,99,1765
25,D7C,0.97,8.0,1.0,-0.024162146933663517,99,1765
26,D7C,0.97,8.0,2.0,-0.022868542808314678,99,1765
27,D7C,0.97,8.0,5.0,-0.02051119529741893,99,1765
28,D7C,0.965,7.0,0.0,-0.028774645161273354,99,1758
29,D7C,0.965,7.0,1.0,-0.027016465378019244,99,1758
30,D7C,0.965,7.0,2.0,-0.025884296826462098,99,1758
31,D7C,0.965,7.0,5.0,-0.023487194139254267,99,1758
32,D7C,0.96,6.0,0.0,-0.03215985700328834,98,1743
33,D7C,0.96,6.0,1.0,-0.029679390860098756,98,1743
34,D7C,0.96,6.0,2.0,-0.02815215051553307,98,1743
35,D7C,0.96,6.0,5.0,-0.02536043909165352,98,1743
36,D7C,0.955,6.0,0.0,-0.03215985700328834,98,1743
37,D7C,0.955,6.0,1.0,-0.029679390860098756,98,1743
38,D7C,0.955,6.0,2.0,-0.02815215051553307,98,1743
39,D7C,0.955,6.0,5.0,-0.02536043909165352,98,1743
40,D7C,0.95,5.0,0.0,-0.03800939235666743,96,1726
41,D7C,0.95,5.0,1.0,-0.03454116476059132,96,1726
42,D7C,0.95,5.0,2.0,-0.03238632954757644,96,1726
43,D7C,0.95,5.0,5.0,-0.029018902410015923,96,1726
44,D7C,0.945,5.0,0.0,-0.03800939235666743,96,1726
45,D7C,0.945,5.0,1.0,-0.03454116476059132,96,1726
46,D7C,0.945,5.0,2.0,-0.03238632954757644,96,1726
47,D7C,0.945,5.0,5.0,-0.029018902410015923,96,1726
48,D7C,0.94,5.0,0.0,-0.03800939235666743,96,1726
49,D7C,0.94,5.0,1.0,-0.03454116476059132,96,1726
50,D7C,0.94,5.0,2.0,-0.03238632954757644,96,1726
51,D7C,0.94,5.0,5.0,-0.029018902410015923,96,1726
52,D7C,0.935,4.0,0.0,-0.046864176499624266,95,1697
53,D7C,0.935,4.0,1.0,-0.04057364081008355,95,1697
54,D7C,0.935,4.0,2.0,-0.0377016926098103,95,1697
55,D7C,0.935,4.0,5.0,-0.03396483770387586,95,1697
56,D7C,0.9299999999999999,4.0,0.0,-0.046864176499624266,95,1697
57,D7C,0.9299999999999999,4.0,1.0,-0.04057364081008355,95,1697
58,D7C,0.9299999999999999,4.0,2.0,-0.0377016926098103,95,1697
59,D7C,0.9299999999999999,4.0,5.0,-0.03396483770387586,95,1697
60,D7C,0.925,4.0,0.0,-0.046864176499624266,95,1697
61,D7C,0.925,4.0,1.0,-0.04057364081008355,95,1697
62,D7C,0.925,4.0,2.0,-0.0377016926098103,95,1697
63,D7C,0.925,4.0,5.0,-0.03396483770387586,95,1697
64,D7C,0.92,4.0,0.0,-0.046864176499624266,95,1697
65,D7C,0.92,4.0,1.0,-0.04057364081008355,95,1697
66,D7C,0.92,4.0,2.0,-0.0377016926098103,95,1697
67,D7C,0.92,4.0,5.0,-0.03396483770387586,95,1697
68,D7C,0.915,4.0,0.0,-0.046864176499624266,95,1697
69,D7C,0.915,4.0,1.0,-0.04057364081008355,95,1697
70,D7C,0.915,4.0,2.0,-0.0377016926098103,95,1697
71,D7C,0.915,4.0,5.0,-0.03396483770387586,95,1697
72,D7C,0.91,4.0,0.0,-0.046864176499624266,95,1697
73,D7C,0.91,4.0,1.0,-0.04057364081008355,95,1697
74,D7C,0.91,4.0,2.0,-0.0377016926098103,95,1697
75,D7C,0.91,4.0,5.0,-0.03396483770387586,95,1697
76,D7C,0.905,4.0,0.0,-0.046864176499624266,95,1697
77,D7C,0.905,4.0,1.0,-0.04057364081008355,95,1697
78,D7C,0.905,4.0,2.0,-0.0377016926098103,95,1697
79,D7C,0.905,4.0,5.0,-0.03396483770387586,95,1697
80,D7C,0.9,4.0,0.0,-0.046864176499624266,95,1697
81,D7C,0.9,4.0,1.0,-0.04057364081008355,95,1697
82,D7C,0.9,4.0,2.0,-0.0377016926098103,95,1697
