dataset,sample,class,mean_coherence
B10BR_HIL,BL6-B10BR_HTxA,dual,0.9968049947699286
B10BR_HIL,BL6-B10BR_HTxA,single,0.8933650510913502
B10BR_HIL,BL6-B10BR_HTxB,dual,0.8265384601259537
B10BR_HIL,BL6-B10BR_HTxB,single,0.8362819231538966
B10BR_HIL,BL6-B10BR_HTxC,dual,0.8242652923501015
B10BR_HIL,BL6-B10BR_HTxC,single,0.8358996437339332
BALBc_HIL,BL6-BALBc_HTxA,dual,0.947322171042066
BALBc_HIL,BL6-BALBc_HTxA,single,0.9627595714015839
BALBc_HIL,BL6-BALBc_HTxB,dual,0.8912825108075024
BALBc_HIL,BL6-BALBc_HTxB,single,0.8739883607666818
BALBc_HIL,BL6-BALBc_HTxC,dual,0.8660995787879343
BALBc_HIL,BL6-BALBc_HTxC,single,0.8957892757960795
D7ABC_LL,D7A,dual,0.30282342315277677
D7ABC_LL,D7A,single,0.25859219346518053
D7ABC_LL,D7B,dual,0.27968307617994104
D7ABC_LL,D7B,single,0.33459941746614297
D7ABC_LL,D7C,dual,0.3080925036413054
D7ABC_LL,D7C,single,0.32612638316355763
